archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,endpoint_extractor_sha256,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type
TP_k09_05.zip,c2dbf519f7bb8ec9b40b236af4d615f1c9b0682467798d51c91431afb640a162,615374,TP_k09_05/TP_k09_05_02_AT_T23.csv,TP_k09_05/TP_k09_05_02_AT_T23_meta.txt,5,0.3255519068214074,0.3596201540164706,171.361,,,605767,TP_k09_05/TP_k09_05_01_ET_T23.csv,TP_k09_05/TP_k09_05_01_ET_T23_meta.txt,47629381,HM,exact-archive-serial-plus-internal-serial,,4.733132763043348,4.860398633961002,4.748566689727133,4.8779090925834,97.3815754529184,97.34840481031256,97.36496030953647,4.740849726385241,4.869153863272201,manual,TP_k09_05,TP_k09_05,2,extracted-stage2,9,k
TP_k10_04.zip,2f72d59c98eb49c2521a2ff6812ae23cc6f582f355f3daa0b15b585067c28141,611148,TP_k10_04/TP_k10_04_02_AT_T23.csv,TP_k10_04/TP_k10_04_02_AT_T23_meta.txt,4,0.33929824636747513,0.3448838641423362,198.864,,,605379,TP_k10_04/TP_k10_04_01_ET_T23.csv,TP_k10_04/TP_k10_04_01_ET_T23_meta.txt,47629387,HM,exact-archive-serial-plus-internal-serial,,4.618399063016851,4.846982601439976,4.634095839491577,4.863727938312564,95.28400332290825,95.27868125574771,95.28133770059024,4.626247451254214,4.85535526987627,manual,TP_k10_04,TP_k10_04,2,extracted-stage2,10,k
TP_k09_06.zip,f91d40069c1b17b8fe0168132fcf5bafd0f95f0620b72ecef73d7ec4f3cd185a,607059,TP_k09_06/TP_k09_06_02_AT_T23.csv,TP_k09_06/TP_k09_06_02_AT_T23_meta.txt,6,0.31996424486505065,0.3074551986697075,276.336,,,607167,TP_k09_06/TP_k09_06_01_ET_T23.csv,TP_k09_06/TP_k09_06_01_ET_T23_meta.txt,47629390,HM,exact-archive-serial-plus-internal-serial,,4.729341386241813,4.8626937389172085,4.744497835304288,4.877667362204509,97.25764442847496,97.26981122304262,97.26373717761938,4.73691961077305,4.870180550560859,manual,TP_k09_06,TP_k09_06,2,extracted-stage2,9,k
TP_k08_05.zip,a62c3d9391bcd4fe664331bdb66dbdc4f4f63784bd8b4e6d6f58f9fad55cc67b,609032,TP_k08_05/TP_k08_05_02_AT_T23.csv,TP_k08_05/TP_k08_05_02_AT_T23_meta.txt,5,0.2811270312967186,0.35309171939582207,196.466,,,604315,TP_k08_05/TP_k08_05_01_ET_T23.csv,TP_k08_05/TP_k08_05_01_ET_T23_meta.txt,47629393,HM,exact-archive-serial-plus-internal-serial,,4.742453055377562,4.849783098294833,4.755804139616169,4.866937566326634,97.78691045059298,97.71656354337942,97.75167489971014,4.749128597496865,4.858360332310733,manual,TP_k08_05,TP_k08_05,2,extracted-stage2,8,k
TP_k09_04.zip,47f8d43366d42b2c4eeb29cd28e587ab8be12dfb1ff1a4d4dd41e3b8df44bd90,607145,TP_k09_04/TP_k09_04_02_AT_T23.csv,TP_k09_04/TP_k09_04_02_AT_T23_meta.txt,4,0.3303681494296526,0.30833435199596493,198.505,,,608818,TP_k09_04/TP_k09_04_01_ET_T23.csv,TP_k09_04/TP_k09_04_01_ET_T23_meta.txt,47629396,HM,exact-archive-serial-plus-internal-serial,,4.725592138809617,4.856407204581572,4.741229821068942,4.871404296859751,97.30634066993923,97.3277833688589,97.31707854820074,4.733410979939279,4.863905750720662,manual,TP_k09_04,TP_k09_04,2,extracted-stage2,9,k
TP_k08_06.zip,f1e5c766a6249b46f6056e60f568c379755761ca15faee1c542e1cfc20ba9c8a,614545,TP_k08_06/TP_k08_06_02_AT_T23.csv,TP_k08_06/TP_k08_06_02_AT_T23_meta.txt,6,0.28679938602418265,0.333034410956168,198.334,,,604181,TP_k08_06/TP_k08_06_01_ET_T23.csv,TP_k08_06/TP_k08_06_01_ET_T23_meta.txt,47629402,HM,exact-archive-serial-plus-internal-serial,,4.745863786596633,4.836120185171225,4.759494441114871,4.852252993444544,98.13370232503027,98.0883405614878,98.11098367568853,4.752679113855752,4.844186589307885,manual,TP_k08_06,TP_k08_06,2,extracted-stage2,8,k
TP_k11_04.zip,2e9b2aa6ec8be1ef9e3f3970885845b3321badf7aa0df5735f6e4e79c2a57f59,610531,TP_k11_04/TP_k11_04_02_AT_T23.csv,TP_k11_04/TP_k11_04_02_AT_T23_meta.txt,4,0.2910361735013782,0.33485264720048497,159.116,,,608419,TP_k11_04/TP_k11_04_01_ET_T23.csv,TP_k11_04/TP_k11_04_01_ET_T23_meta.txt,47629411,HM,exact-archive-serial-plus-internal-serial,,4.585502489466124,4.851459397169376,4.598867408822219,4.867731881811449,94.51800198805277,94.47659650290402,94.4972645836376,4.592184949144171,4.859595639490412,manual,TP_k11_04,TP_k11_04,2,extracted-stage2,11,k
TP_k10_06.zip,c2b0b5da59b1d0ee8bf19a08cbb5b2bad761067cd4b6e62d95906b5714708721,614675,TP_k10_06/TP_k10_06_02_AT_T23.csv,TP_k10_06/TP_k10_06_02_AT_T23_meta.txt,6,0.30902327757269704,0.3624090487641141,155.577,,,605114,TP_k10_06/TP_k10_06_01_ET_T23.csv,TP_k10_06/TP_k10_06_01_ET_T23_meta.txt,47629423,HM,exact-archive-serial-plus-internal-serial,,4.603047887648484,4.843550082944997,4.617294389602775,4.861135412139139,95.03458844901047,94.98386689810269,95.00918171868405,4.610171138625629,4.8523427475420675,manual,TP_k10_06,TP_k10_06,2,extracted-stage2,10,k
TP_k11_06.zip,e85f0dd9ac5eaa5e66692e2026869e2e5c7e817319dc5fb88f2e61dbd8fbc9a4,605113,TP_k11_06/TP_k11_06_02_AT_T23.csv,TP_k11_06/TP_k11_06_02_AT_T23_meta.txt,6,0.23604121493350533,0.34205369229336535,147.105,,,608999,TP_k11_06/TP_k11_06_01_ET_T23.csv,TP_k11_06/TP_k11_06_01_ET_T23_meta.txt,47629687,HM,exact-archive-serial-plus-internal-serial,,4.5769598846690105,4.85527543678654,4.587776161823806,4.871911537888117,94.26777006287139,94.16788720701037,94.21774322169176,4.582368023246408,4.8635934873373285,manual,TP_k11_06,TP_k11_06,2,extracted-stage2,11,k
TP_z20_02.zip,27bfe6c32db77425b4ff6d01eab31eb735f2c6621f2d809cabac7a3b1b9fbd10,577629,TP_z20_02/TP_z20_02_08_AT_T23.csv,TP_z20_02/TP_z20_02_08_AT_T23_meta.txt,2,0.2879638730871502,0.3688388507098841,122.412,e7eb16f1bd555f2c0236900422826e507de922180a306140be24b028f7b68d42,,609593,TP_z20_02/TP_z20_02_01_ET_T23.csv,TP_z20_02/TP_z20_02_01_ET_T23_meta.txt,47629771,HM,exact-archive-serial-plus-internal-serial,,4.59625718947931,4.836407643268244,4.609511833993034,4.854279152169338,95.03452828003037,94.95769998997856,94.99604329185895,4.602884511736172,4.845343397718791,pi,TP_z20_02,TP_z20_02,2,extracted-stage2,20,z
