archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type
TP_k10_02.zip,66abc52ebe11f43d88e0e47201e72d984bdbdecfc7504798c8980c0c69746388,311097,TP_k10_02/TP_k10_02_08_AT_T23.csv,TP_k10_02/TP_k10_02_08_AT_T23_meta.txt,2,0.23014521635442742,0.3242724255012336,24.214,,321282,TP_k10_02/TP_k10_02_01_ET_T23.csv,TP_k10_02/TP_k10_02_01_ET_T23_meta.txt,47628358,HM,exact-archive-serial-plus-internal-serial,,4.501519750967093,4.891086623624712,4.5118917186309035,4.906972826139614,92.03516717990742,91.94857763621391,91.99180221155729,4.506705734798999,4.899029724882164,FF,TP_k10_02,HM011,1,extracted-stage1,10,k
TP_k11_01.zip,cb508fe84395b1f9dcf2911bf293f3999253fa19e8b665c0a66f68a8f0db26a1,298987,TP_k11_01/TP_k11_01_08_AT_T23.csv,TP_k11_01/TP_k11_01_08_AT_T23_meta.txt,1,0.27209605196659353,0.0313677876117477,24.881,,313043,TP_k11_01/TP_k11_01_01_ET_T23.csv,TP_k11_01/TP_k11_01_01_ET_T23_meta.txt,47628388,HM,exact-archive-serial-plus-internal-serial,,4.459270495617674,4.823027166088119,4.471420524457153,4.821514526411004,92.45791786063104,92.73892051893391,92.59839715370322,4.465345510037414,4.822270846249562,FF,TP_k11_01,HM013,1,extracted-stage1,11,k
TP_k10_03.zip,36e3a4469fb5381c0ae9e4834f0f1c3e7927f308749a8de1e8a135688ced9dbf,310329,TP_k10_03/TP_k10_03_08_AT_T23.csv,TP_k10_03/TP_k10_03_08_AT_T23_meta.txt,3,0.2796430233373803,0.3074550837890458,23.568,,321597,TP_k10_03/TP_k10_03_01_ET_T23.csv,TP_k10_03/TP_k10_03_01_ET_T23_meta.txt,47628403,HM,exact-archive-serial-plus-internal-serial,,4.498061509630301,4.856986327532869,4.510657636922999,4.8719423704729845,92.61013324521987,92.58437998487837,92.59723682012208,4.50435957327665,4.864464349002927,FF,TP_k10_03,HM012,1,extracted-stage1,10,k
TP_k11_02.zip,5f82caa1b4ef253185a8441b65af0b5845d9c7d2204de72af83d5882f69c13e0,308765,TP_k11_02/TP_k11_02_08_AT_T23.csv,TP_k11_02/TP_k11_02_08_AT_T23_meta.txt,2,0.2574165790164294,0.31403888319340006,24.081,,321651,TP_k11_02/TP_k11_02_01_ET_T23.csv,TP_k11_02/TP_k11_02_01_ET_T23_meta.txt,47628406,HM,exact-archive-serial-plus-internal-serial,,4.49956151708369,4.863863621682036,4.511159061412637,4.87916206621179,92.51002633021272,92.45765974146309,92.48380192297527,4.505360289248163,4.871512843946913,FF,TP_k11_02,HM014,1,extracted-stage1,11,k
TP_k11_03.zip,826a7de6350722c9b7c6244edf671689a38d732ce00c6f255fc4471187937acb,308792,TP_k11_03/TP_k11_03_08_AT_T23.csv,TP_k11_03/TP_k11_03_08_AT_T23_meta.txt,3,0.2610035611680246,0.33540664692576255,18.585,,321297,TP_k11_03/TP_k11_03_01_ET_T23.csv,TP_k11_03/TP_k11_03_01_ET_T23_meta.txt,47628409,HM,exact-archive-serial-plus-internal-serial,,4.500390056660254,4.874711894749543,4.512151583977161,4.89108946819799,92.32114951260066,92.25248512249277,92.28675974131458,4.506270820318708,4.8829006814737665,FF,TP_k11_03,HM015,1,extracted-stage1,11,k
TP_z04_01.zip,2342f70feda9bec97ae412ec24ba7e1539b769d487abb61f9b0ce83b26c41bac,,,,1,,,3.249,CapacityExtractionError: expected exactly one *_AT_T23.csv; found 0,,,,47629486,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,,,,,,,,,,cLH,TP_z04_01,INT019,1,missing-endpoint,4,z
TP_z04_03.zip,b94dbfb15ed8cb735be9fcc8c5312b8d23f385543cb6166be204ec03ad2c35c7,,,,3,,,3.272,CapacityExtractionError: expected exactly one *_AT_T23.csv; found 0,,,,47629642,INT,archive-serial-plus-validated-lab-date-envelope,archive_internal_serial_conflicts_with_experiments_meta;validated_lab_date_envelope_required_after_both_twin_internal_serials_conflicted,,,,,,,,,,cLH,TP_z04_03,INT021,1,missing-endpoint,4,z
TP_z04_02.zip,5f917b8d0c20bc8a853675540dd04553c08ba04e008e44d3d3329648922681ff,,,,2,,,7.788,CapacityExtractionError: expected exactly one *_AT_T23.csv; found 0,,,,47630293,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,,,,,,,,,,cLH,TP_z04_02,INT020,1,missing-endpoint,4,z
TP_z13_01.zip,08d8093a02a14c4848a19bdeef7918c2d08a7cd2fb28ea5a1c0495e54c659308,316192,TP_z13_01/TP_z13_01_25_AT_T23.csv,TP_z13_01/TP_z13_01_25_AT_T23_meta.txt,1,0.23993409007365757,0.2762521480831009,22.433,,318551,TP_z13_01/TP_z13_01_01_ET_T23.csv,TP_z13_01/TP_z13_01_01_ET_T23_meta.txt,47632228,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,4.580961235980847,4.818579047306029,4.591965725399802,4.831908887416114,95.06871612995475,95.03419522993896,95.0514318387649,4.586463480690324,4.825243967361072,cLH,TP_z13_01,INT046,1,extracted-stage1,13,z
TP_z25_03.zip,96f1d1fcfab49d518a59f73b1b84d7879d0a6dfda50aa7253b13cbde3e3efa3b,324009,TP_z25_03/TP_z25_03_31_AT_T23.csv,TP_z25_03/TP_z25_03_31_AT_T23_meta.txt,3,0.25961283083143255,0.2794519441406664,43.014,,321798,TP_z25_03/TP_z25_03_01_ET_T23.csv,TP_z25_03/TP_z25_03_01_ET_T23_meta.txt,47632234,HM,exact-archive-serial-plus-internal-serial,,4.182773387107493,4.889361939278361,4.193646517525866,4.903044474328851,85.5484506783076,85.53148027685207,85.53995362155064,4.188209952316679,4.896203206803606,cLH,TP_z25_03,HM060,1,extracted-stage1,25,z
