archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type,amb_temp_tp,soc_max_tp,dod_tp,c_ch_tp,c_dch_tp,m_0,scale,R_1khz_0,resistance_meter,U_0, volt_meter,condition_group
TP_k08_06.zip,6541875514ae116969dd93d06e521e99eebeca85a1d27a340026fa691556cb23,314828.0,TP_k08_06/TP_k08_06_02_AT_T23.csv,TP_k08_06/TP_k08_06_02_AT_T23_meta.txt,6,0.3739872484744812,0.3723629582372848,31.491,,322393.0,TP_k08_06/TP_k08_06_01_ET_T23.csv,TP_k08_06/TP_k08_06_01_ET_T23_meta.txt,47627425,HM,exact-archive-serial-plus-internal-serial,,4.768836294234395,4.851424452451015,4.786704546367707,4.869523056307168,98.29765135938796,98.29924801706828,98.29845117456856,4.777770420301051,4.860473754379092,FF,TP_k08_06,HM021,1,extracted-stage1,8,k,45,0.2,0.0,0.0,0.0,68.36,KERN ABT 220-5DM,12.91,HIOKI 3554,3.574,HIOKI 3554,k|45|0.2
TP_k07_04.zip,0806f4b4ba38af2a6b1a7e8ab592d30cf90690fdef684a96663738ba76bc7881,313842.0,TP_k07_04/TP_k07_04_02_AT_T23.csv,TP_k07_04/TP_k07_04_02_AT_T23_meta.txt,4,0.3548802069405121,0.3386434476967224,33.499,,321157.0,TP_k07_04/TP_k07_04_01_ET_T23.csv,TP_k07_04/TP_k07_04_01_ET_T23_meta.txt,47627428,HM,exact-archive-serial-plus-internal-serial,,4.824707103237871,4.882934106620623,4.84185946896561,4.899497889110088,98.8075406689637,98.82358516221451,98.81557649899536,4.83328328610174,4.891215997865356,FF,TP_k07_04,HM016,1,extracted-stage1,7,k,45,0.05,0.0,0.0,0.0,68.73,KERN ABT 220-5DM,12.01,HIOKI 3554,3.575,HIOKI 3554,k|45|0.05
TP_k07_06.zip,212fc010345f76c6f550e126dc0c0ced42ba4bfbb8169a082a283f56b93ad8e5,313788.0,TP_k07_06/TP_k07_06_02_AT_T23.csv,TP_k07_06/TP_k07_06_02_AT_T23_meta.txt,6,0.3848324449631562,0.3727207238330845,33.536,,320900.0,TP_k07_06/TP_k07_06_01_ET_T23.csv,TP_k07_06/TP_k07_06_01_ET_T23_meta.txt,47627431,HM,exact-archive-serial-plus-internal-serial,,4.824950082101224,4.887160957132321,4.843553852141977,4.905410428607722,98.72705491845308,98.7390132310845,98.73304521754612,4.834251967121601,4.896285692870022,FF,TP_k07_06,HM018,1,extracted-stage1,7,k,45,0.05,0.0,0.0,0.0,68.68,KERN ABT 220-5DM,11.84,HIOKI 3554,3.576,HIOKI 3554,k|45|0.05
TP_k06_05.zip,b61a6b3b1c5fd331f5cb583b1161da057bdea28a55c652a820052ec4ed311dc2,317605.0,TP_k06_05/TP_k06_05_02_AT_T23.csv,TP_k06_05/TP_k06_05_02_AT_T23_meta.txt,5,0.2229094099371478,0.3135132409505044,34.851,,318525.0,TP_k06_05/TP_k06_05_01_ET_T23.csv,TP_k06_05/TP_k06_05_01_ET_T23_meta.txt,47627434,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,4.775544096575022,4.889029599202435,4.7862011114865135,4.90438141934436,97.67877243684664,97.59031164681222,97.63447270775696,4.780872604030767,4.8967055092733975,FF,TP_k06_05,INT017,1,extracted-stage1,6,k,23,1.0,0.0,0.0,0.0,68.45,KERN FCB 6k0.5,12.96,HIOKI BT3563,3.57148,HIOKI BT3563,k|23|1.0
TP_k08_05.zip,31b727db3c4079ee68888a97927d81174ec3936b67637edb80e490e857514f72,314863.0,TP_k08_05/TP_k08_05_02_AT_T23.csv,TP_k08_05/TP_k08_05_02_AT_T23_meta.txt,5,0.3498879932090748,0.3636616400459767,29.144,,321652.0,TP_k08_05/TP_k08_05_01_ET_T23.csv,TP_k08_05/TP_k08_05_01_ET_T23_meta.txt,47627437,HM,exact-archive-serial-plus-internal-serial,,4.782722369876745,4.875744911302791,4.799485867930935,4.893508424753866,98.09213682999692,98.07862685292793,98.08536955881138,4.79110411890384,4.884626668028329,FF,TP_k08_05,HM020,1,extracted-stage1,8,k,45,0.2,0.0,0.0,0.0,68.72,KERN ABT 220-5DM,12.72,HIOKI 3554,3.577,HIOKI 3554,k|45|0.2
TP_k07_05.zip,7c67eac301bc496627aef4a911df7d5ec9334ae96b68b881c24e82dc5a87b251,313605.0,TP_k07_05/TP_k07_05_02_AT_T23.csv,TP_k07_05/TP_k07_05_02_AT_T23_meta.txt,5,0.333404031822305,0.3400712917554897,29.44,,321510.0,TP_k07_05/TP_k07_05_01_ET_T23.csv,TP_k07_05/TP_k07_05_01_ET_T23_meta.txt,47627440,HM,exact-archive-serial-plus-internal-serial,,4.829885013209886,4.877864257554738,4.846014933478561,4.894480727467422,99.01638828365216,99.0097868050256,99.01308193190546,4.837949973344223,4.88617249251108,FF,TP_k07_05,HM017,1,extracted-stage1,7,k,45,0.05,0.0,0.0,0.0,68.69,KERN ABT 220-5DM,12.31,HIOKI 3554,3.576,HIOKI 3554,k|45|0.05
TP_k06_04.zip,4c6b2df4177613268c39e01fe6ddabaf8165dbfec69975fc51c940e6cc6b2a87,317700.0,TP_k06_04/TP_k06_04_02_AT_T23.csv,TP_k06_04/TP_k06_04_02_AT_T23_meta.txt,4,0.2001365300008224,0.359562793321473,30.168,,318543.0,TP_k06_04/TP_k06_04_01_ET_T23.csv,TP_k06_04/TP_k06_04_01_ET_T23_meta.txt,47627446,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,4.73373695626777,4.821486880806292,4.743220383052057,4.838854377242205,98.18002357555211,98.02362322288664,98.1016828098502,4.738478669659914,4.8301706290242485,FF,TP_k06_04,INT016,1,extracted-stage1,6,k,23,1.0,0.0,0.0,0.0,68.45,KERN FCB 6k0.5,12.533,HIOKI BT3563,3.57244,HIOKI BT3563,k|23|1.0
TP_k05_05.zip,5ed98de740c72984cca80b4b2f07ebef1545ad7794e8541c8ce7e8a75f0f06b7,318218.0,TP_k05_05/TP_k05_05_02_AT_T23.csv,TP_k05_05/TP_k05_05_02_AT_T23_meta.txt,5,0.3009738763196419,0.2840757397665302,29.39,,319024.0,TP_k05_05/TP_k05_05_01_ET_T23.csv,TP_k05_05/TP_k05_05_01_ET_T23_meta.txt,47627449,INT,archive-serial-plus-validated-lab-date-envelope,archive_internal_serial_conflicts_with_experiments_meta;validated_lab_date_envelope_required_after_both_twin_internal_serials_conflicted,4.787172218577839,4.876104107538223,4.801602071413903,4.889975639181565,98.1761691916524,98.1927605720659,98.1844766648808,4.794387144995871,4.883039873359895,FF,TP_k05_05,INT014,1,extracted-stage1,5,k,23,0.5,0.0,0.0,0.0,68.261,KERN FCB 6k0.5,12.437,HIOKI BT3563,3.5757,HIOKI BT3563,k|23|0.5
TP_k05_06.zip,feb58e691cc17936d1a54b0ca089bc79fbd3e0e5fc7a0595581fe13088e8ec00,318348.0,TP_k05_06/TP_k05_06_02_AT_T23.csv,TP_k05_06/TP_k05_06_02_AT_T23_meta.txt,6,0.2935283649749179,0.384336321526544,29.454,,318823.0,TP_k05_06/TP_k05_06_01_ET_T23.csv,TP_k05_06/TP_k05_06_01_ET_T23_meta.txt,47627452,INT,archive-serial-plus-complement-of-exactly-mapped-twin-stage,archive_internal_serial_conflicts_with_experiments_meta,4.761958319343936,4.833840280887853,4.775956562146105,4.852454254943473,98.5129429735582,98.42352572990389,98.46814843599476,4.76895744074502,4.843147267915663,FF,TP_k05_06,INT015,1,extracted-stage1,5,k,23,0.5,0.0,0.0,0.0,68.261,KERN FCB 6k0.5,12.105,HIOKI BT3563,3.5778,HIOKI BT3563,k|23|0.5
TP_k09_06.zip,f3fb56fd7e22a9cddbefbdbdf3524664516358659421c2a03c02bc9e1516ab04,313483.0,TP_k09_06/TP_k09_06_02_AT_T23.csv,TP_k09_06/TP_k09_06_02_AT_T23_meta.txt,6,0.3391615800902023,0.3106267528055205,28.65,,321593.0,TP_k09_06/TP_k09_06_01_ET_T23.csv,TP_k09_06/TP_k09_06_01_ET_T23_meta.txt,47627455,HM,exact-archive-serial-plus-internal-serial,,4.658808858259706,4.869315444814586,4.674636588787236,4.8844643695712,95.67687513900844,95.70418033774328,95.69054894268888,4.666722723523471,4.8768899071928935,FF,TP_k09_06,HM024,1,extracted-stage1,9,k,45,0.5,0.0,0.0,0.0,68.86,KERN ABT 220-5DM,11.91,HIOKI 3554,3.576,HIOKI 3554,k|45|0.5
