file_id,serial_internal,serial,condition_group,lab,type,tp,cell,sampling,source_prediction,source_prediction_center,source_prediction_centered,source_uncertainty_normalized,source_distance,provenance_compatibility,wrong_property_mass_prediction
47630380,TP_k08_02,TP_k08_02,k|23|0.65,HM,k,8,2,manual,95.54420989026367,97.13499497149634,-1.5907850812326672,1.9956798772824411,0.1578947368421052,0.5,68.31181911428575
47630680,TP_k08_03,TP_k08_03,k|23|0.65,HM,k,8,3,manual,95.54296289120107,97.13499497149634,-1.5920320802952688,1.9865553736529464,0.1578947368421052,0.5,68.38246992380951
47628571,TP_k08_04,TP_k08_04,k|23|0.65,HM,k,8,4,manual,95.54296289120107,97.13499497149634,-1.5920320802952688,1.9865553736529464,0.1578947368421052,0.5,68.38246992380951
47629393,TP_k08_05,TP_k08_05,k|23|0.65,HM,k,8,5,manual,95.54296289120107,97.13499497149634,-1.5920320802952688,1.9865553736529464,0.1578947368421052,0.5,68.38246992380951
47629402,TP_k08_06,TP_k08_06,k|23|0.65,HM,k,8,6,manual,95.48079183922178,97.13499497149634,-1.65420313227456,2.0228482769843685,0.1578947368421052,0.5,68.36778028095243
47630383,INT085,TP_k04_01,k|23|0.8,INT,k,4,1,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.2504271571431
47630371,INT004,TP_k04_02,k|23|0.8,INT,k,4,2,pi,97.97587798610228,97.13499497149634,0.8408830146059358,0.41598649519661485,0.21052631578947367,0.5,68.25265149047641
47630440,INT103,TP_k04_03,k|23|0.8,INT,k,4,3,pi,97.90686523205373,97.13499497149634,0.7718702605573924,0.507423236401391,0.21052631578947367,0.5,68.21586202380983
47629915,INT090,TP_k04_04,k|23|0.8,INT,k,4,4,pi,97.9776827723718,97.13499497149634,0.8426878008754528,0.44692305311105224,0.21052631578947367,0.5,68.2571255571431
47629822,INT165,TP_k04_05,k|23|0.8,INT,k,4,5,pi,98.00745274185334,97.13499497149634,0.872457770357002,0.3707273111719992,0.21052631578947367,0.5,68.29544389047639
47629819,INT190,TP_k04_06,k|23|0.8,INT,k,4,6,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.25891415714308
47630362,INT195,TP_k05_01,k|23|0.8,INT,k,5,1,pi,98.00745274185334,97.13499497149634,0.872457770357002,0.3707273111719992,0.21052631578947367,0.5,68.3023978904764
47630686,INT114,TP_k05_02,k|23|0.8,INT,k,5,2,pi,97.90686523205373,97.13499497149634,0.7718702605573924,0.507423236401391,0.21052631578947367,0.5,68.22993735714316
47630359,INT051,TP_k05_03,k|23|0.8,INT,k,5,3,pi,97.97346753540386,97.13499497149634,0.8384725639075157,0.43664524939086147,0.21052631578947367,0.5,68.25333049047643
47629906,INT066,TP_k05_04,k|23|0.8,INT,k,5,4,pi,97.98001869900551,97.13499497149634,0.8450237275091723,0.4474842291487455,0.21052631578947367,0.5,68.26270172380973
47629804,INT023,TP_k05_05,k|23|0.8,INT,k,5,5,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.25891415714308
47629846,INT119,TP_k05_06,k|23|0.8,INT,k,5,6,pi,97.90871906615179,97.13499497149634,0.7737240946554493,0.5063972173396005,0.21052631578947367,0.5,68.21858602380983
47630443,INT009,TP_k06_01,k|23|0.8,INT,k,6,1,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.24634282380975
47630689,INT140,TP_k06_02,k|23|0.8,INT,k,6,2,pi,98.00745274185334,97.13499497149634,0.872457770357002,0.3707273111719992,0.21052631578947367,0.5,68.3023978904764
47630692,INT091,TP_k06_03,k|23|0.8,INT,k,6,3,pi,97.90686523205373,97.13499497149634,0.7718702605573924,0.507423236401391,0.21052631578947367,0.5,68.22993735714316
47629813,INT043,TP_k06_04,k|23|0.8,INT,k,6,4,pi,97.97412753586951,97.13499497149634,0.8391325643731733,0.42977278064576224,0.21052631578947367,0.5,68.25289282380976
47629942,INT176,TP_k06_05,k|23|0.8,INT,k,6,5,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.24640982380976
