file_id,archive_name,archive_bytes,archive_sha256,zip_entries,metadata_entries,numeric_csv_entries_present_but_not_opened,numeric_csv_entries_opened,mapping_evidence_entry,archive_internal_serial,archive_testpoint_raw,archive_lab_raw,measurement_start_date,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags,candidate_stages,status,error,elapsed_seconds
47627506,TP_k10_05.zip,11291095,115a867d383be40835101737cf853956547cb48303f3f8ae1b2e57732df66a6f,13,6,6,False,TP_k10_05/TP_k10_05_01_ET_T10_meta.txt,HM026,,HM,,HM026,TP_k10_05,1,HM,k,10,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.238
47627509,TP_k11_05.zip,11283342,8f3d6cf7f06c8ff8a1243c9f4a3c2a26ee7fc1afc65e8d7c53a8baabad941171,13,6,6,False,TP_k11_05/TP_k11_05_01_ET_T10_meta.txt,HM029,,HM,,HM029,TP_k11_05,1,HM,k,11,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,4.58
47627515,TP_k11_06.zip,11333635,35bfdd5559c2d95165aa47af59d4e4afc39130888618d800d8469854e21a4f2f,13,6,6,False,TP_k11_06/TP_k11_06_01_ET_T10_meta.txt,HM030,,HM,,HM030,TP_k11_06,1,HM,k,11,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,14.687
47627518,TP_k10_06.zip,11403755,80da0d2ff75ef552177e354cfdad12e1a9531ad114b6d49cff60131ba6fdd797,13,6,6,False,TP_k10_06/TP_k10_06_01_ET_T10_meta.txt,HM027,,HM,,HM027,TP_k10_06,1,HM,k,10,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.635
47627524,TP_k03_02.zip,11134373,0b2a76a0c2ec9e4003acf3149596bd66c9482f5657449aea23a83ceea4a8f4be,27,13,13,False,TP_k03_02/TP_k03_02_01_ET_T10_meta.txt,039,,SIE,,039,TP_k03_02,2,SIE,k,3,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.774
47627599,TP_k01_02.zip,11338881,d29d37efcdf851281a0004c1fdaba69c4f86b83d5a0c17bb43dfaa2bdd1e3712,27,13,13,False,TP_k01_02/TP_k01_02_01_ET_T10_meta.txt,167,,SIE,,167,TP_k01_02,2,SIE,k,1,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.751
47627620,TP_k01_01.zip,9666605,60b28208872c536af93f88d75b7db3d88c64038e6ba6cdf9fe269ac4bd1e3091,27,13,13,False,TP_k01_01/TP_k01_01_01_ET_T10_meta.txt,057,,SIE,,057,TP_k01_01,2,SIE,k,1,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.025
47627623,TP_k02_05.zip,11712423,57ab68951c98723e3be348a5e19a0829fd93d2c97792f3e1193dd517480cdbda,13,6,6,False,TP_k02_05/TP_k02_05_01_ET_T10_meta.txt,186,,SIE,,186,TP_k02_05,2,SIE,k,2,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.349
47627626,TP_k03_01.zip,9467586,6284c4242a1ceca8980421c997661a49f4dbce4d88754cb2b4ec10d83e68cc45,27,13,13,False,TP_k03_01/TP_k03_01_01_ET_T10_meta.txt,055,,SIE,,055,TP_k03_01,2,SIE,k,3,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,14.94
47627629,TP_k02_02.zip,10887635,b4b433e8c2c4a382aef50947f2b0d5e1b07516cc6645eeb335cc1e51bcf14409,27,13,13,False,TP_k02_02/TP_k02_02_01_ET_T10_meta.txt,019,,SIE,,019,TP_k02_02,2,SIE,k,2,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.829
