source_row_id,material_key,UTS_MPa,YS_MPa,dataset_label,log_ys,log_uts,uts_ys_ratio
1051,Co:0.1799669785|Cr:0.1249312053|Fe:0.5503577325|Mo:0.07484865162|Ni:0.06989543203,1078.0,684.0,borg,2.835056101720116,3.03261876085072,1.5760233918128654
1052,Co:0.1749174917|Cr:0.1248624862|Fe:0.5500550055|Mo:0.0500550055|Ni:0.100110011,673.0,261.0,borg,2.416640507338281,2.828015064223977,2.578544061302682
1053,Co:0.1799669785|Cr:0.1249312053|Fe:0.5503577325|Mo:0.07484865162|Ni:0.06989543203,933.0,506.0,borg,2.7041505168397992,2.9698816437465,1.8438735177865613
1054,Co:0.1749174917|Cr:0.1248624862|Fe:0.5500550055|Mo:0.0500550055|Ni:0.100110011,638.0,231.0,borg,2.3636119798921444,2.8048206787211623,2.761904761904762
1055,Co:0.1799669785|Cr:0.1249312053|Fe:0.5503577325|Mo:0.07484865162|Ni:0.06989543203,693.0,296.0,borg,2.4712917110589387,2.8407332346118066,2.3412162162162162
1059,Cr:0.2|Cu:0.2|Fe:0.2|Mn:0.2|Ni:0.2,950.0,615.0,borg,2.788875115775417,2.9777236052888476,1.5447154471544715
106,Al:0.1724137931|Co:0.1724137931|Cr:0.1724137931|Fe:0.1724137931|Ni:0.1724137931|Si:0.1379310345,2664.0,2179.0,borg,3.3382572302462554,3.4255342204982635,1.2225791647544746
1073,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,696.0,520.0,borg,2.716003343634799,2.842609239610562,1.3384615384615384
1074,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,561.0,470.0,borg,2.6720978579357175,2.7489628612561616,1.1936170212765957
1075,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,560.0,461.0,borg,2.663700925389648,2.7481880270062002,1.2147505422993492
1076,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,536.0,445.0,borg,2.6483600109809315,2.72916478969277,1.2044943820224718
1077,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,312.0,219.0,borg,2.3404441148401185,2.494154594018443,1.4246575342465753
1078,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,1197.0,627.0,borg,2.7972675408307164,3.0780941504064105,1.9090909090909092
1079,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,1006.0,594.0,borg,2.7737864449811935,3.0025979807199086,1.6936026936026936
108,Al:0.04545454545|Co:0.1818181818|Cr:0.1818181818|Cu:0.1363636364|Fe:0.1818181818|Ni:0.1818181818|Ti:0.09090909091,1970.0,750.0,borg,2.8750612633917,3.294466226161593,2.6266666666666665
1080,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,840.0,547.0,borg,2.737987326333431,2.9242792860618816,1.5356489945155394
1081,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,575.0,399.0,borg,2.6009728956867484,2.7596678446896306,1.4411027568922306
1082,Al:0.1000719942|Co:0.2498200144|Cr:0.07991360691|Fe:0.1501079914|Ni:0.3599712023|Ti:0.06011519078,319.0,243.0,borg,2.385606273598312,2.503790683057181,1.3127572016460904
1083,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,717.0,401.0,borg,2.603144372620182,2.8555191556678,1.7880299251870324
