composition_key,experimental_prediction,experimental_ensemble_sd,experimental_distance,hse_prediction_calibrated,hse_ensemble_sd,hse_distance,hse_contract_eligible,contract_fusion_prediction,retrieval_routed_prediction,exact_lookup_available,exact_lookup_sources,exact_lookup_dois
Br:0.00083333|C:0.08333333|Cu:0.00083333|H:0.50000000|I:0.24916667|N:0.08333333|Pb:0.08250000,1.9707026666666674,0.041066851685434606,2.2816573635306017,2.5646907138921393,0.02920031521348337,2.376415890984066,False,1.9707026666666674,1.9707026666666674,False,0,0
Br:0.00083333|C:0.08333333|H:0.50000000|I:0.24916667|N:0.08333333|Pb:0.08333333,1.9803933611111124,0.048239256950679085,2.1093953661683016,2.560844086266721,0.030690516943603006,1.6115160540345135,False,1.9803933611111126,1.9803933611111126,False,0,0
Br:0.00090089|C:0.12462275|Cs:0.00025525|H:0.62311377|I:0.00036035|N:0.24924551|Pb:0.00150148,2.408654693121691,0.03456579155791019,10.060375960167146,3.4658545688911295,0.0296414388332458,11.962517292202277,False,2.408654693121691,2.408654693121691,False,0,0
Br:0.00125000|C:0.08333333|H:0.50000000|I:0.24875000|N:0.08333333|Pb:0.08333333,1.9744750277777787,0.044232575626247515,2.1008676623785636,2.5626158493391973,0.02978365640306906,1.6135133103040527,False,1.9744750277777787,1.9744750277777787,False,0,0
Br:0.00166667|C:0.08333333|H:0.43083333|I:0.24833333|N:0.15250000|Pb:0.08333333,1.6799528611111127,0.036073183825601186,1.8112168371292676,2.6130294216367167,0.03492562708101533,1.6126760132188487,False,1.6799528611111127,1.6799528611111127,False,0,0
Br:0.00166667|C:0.08333333|H:0.50000000|I:0.24833333|N:0.08333333|Pb:0.08333333,1.9699648888888899,0.04223106984446892,2.0923600346204894,2.5652816413036152,0.028670149998349135,1.6155763878639213,False,1.9699648888888897,1.9699648888888897,False,0,0
Br:0.00208333|C:0.08333333|H:0.46666667|I:0.24791667|N:0.11666667|Pb:0.08333333,1.777690111111113,0.04472543145257322,2.0231271150152295,2.575928369204552,0.03484108978208603,1.5947341206064904,False,1.777690111111113,1.777690111111113,False,0,0
Br:0.00209556|C:0.08298407|Cs:0.00083822|H:0.46521375|I:0.24937133|N:0.11567477|Pb:0.08382230,1.760471500000002,0.0489670746150721,2.1194187181695714,2.574292194465399,0.028487250658443618,2.341771338010135,False,1.760471500000002,1.760471500000002,False,0,0
Br:0.00210793|C:0.08263069|Cs:0.00168634|H:0.46374368|I:0.25084317|N:0.11467116|Pb:0.08431703,1.7450447222222238,0.04974363141506691,1.9844721416860391,2.5815121677871913,0.030364071998145555,2.3406318543330844,False,1.7450447222222238,1.7450447222222238,False,0,0
Br:0.00212044|C:0.08227311|Cs:0.00254453|H:0.46225615|I:0.25233249|N:0.11365564|Pb:0.08481764,1.7388078888888905,0.049803058489411224,1.8528205793758856,2.5871481588689482,0.030924223564243868,2.351322018546188,False,1.7388078888888905,1.7388078888888905,False,0,0
