repetition,comparator,relative_log_rmse_gain,spearman_gain,raw_r2_gain
4,chemistry_permuted,0.25478594302898516,0.134639279654735,0.1746560669866306
4,without_LiPF6,0.16454820129883974,0.029340620008630136,0.2472029007519535
4,LiPF6_only,0.2612032019611238,0.04683322107367549,-0.03772001117368906
4,LiBOB_wrong_salt_control,0.3196998211707742,0.12363424492147268,0.32895949933465884
4,LiBF4_fluorinated_control,0.38134595549768613,0.10482579903077938,0.6979206241739617
5,state_only,0.2874942101492832,0.1783103777779056,0.22425075570843445
5,chemistry_permuted,0.2683106847107537,0.14217888831425463,0.17345832262892225
5,without_LiPF6,0.13694566375510386,0.03182631261467039,0.25668909175596977
5,LiPF6_only,0.30746326587569905,0.05586414305465881,-0.023102405552249294
5,LiBOB_wrong_salt_control,0.27734784393030854,0.12509080789373905,0.3124770953427545
5,LiBF4_fluorinated_control,0.41410753981212434,0.13635773399845286,0.7659665929149275
6,state_only,0.2566739767518239,0.15035904367969732,0.21217800186407842
6,chemistry_permuted,0.24686725078284988,0.1246475854202379,0.15987947805779634
6,without_LiPF6,0.19002996217071544,0.057004682231504344,0.2815982713373967
6,LiPF6_only,0.27090510312449034,0.04177801150377791,-0.059756552206577274
6,LiBOB_wrong_salt_control,0.3251391251470439,0.12155452866521943,0.3987586206448315
6,LiBF4_fluorinated_control,0.40239467564723674,0.12911029480652136,0.7460190944805523
7,state_only,0.22265530944138923,0.12228951831979373,0.16893190071031894
7,chemistry_permuted,0.20797323919001354,0.09429921821965737,0.12873425034153707
7,without_LiPF6,0.16629468697710614,0.042605510671471,0.2514599287663183
7,LiPF6_only,0.24099968809380246,0.03192595764454442,-0.05607183432254903
7,LiBOB_wrong_salt_control,0.2974958441286224,0.10000452795052572,0.2642154327578863
7,LiBF4_fluorinated_control,0.3806076111525183,0.102452383414676,0.7297119220845605
8,state_only,0.31018541743532,0.1989687162557432,0.2662623632188095
8,chemistry_permuted,0.2935333246402765,0.15920863438633825,0.18242001916104067
8,without_LiPF6,0.13528669173559682,0.029036925833461846,0.24766765021455805
8,LiPF6_only,0.3005858897403275,0.06277619593328188,-0.018795071083906767
8,LiBOB_wrong_salt_control,0.299405561112274,0.1329244302279693,0.38019315514309626
8,LiBF4_fluorinated_control,0.40541103323390315,0.1522036429439546,0.7648899978116425
9,state_only,0.26647532164503296,0.1595301798148897,0.20210105004951118
9,chemistry_permuted,0.257090861308779,0.1316644390437668,0.14632587707987865
9,without_LiPF6,0.1571071194212531,0.04442290966264484,0.25058095503052136
9,LiPF6_only,0.27257513283826296,0.046295752104259624,-0.05684927089322778
9,LiBOB_wrong_salt_control,0.28045666767632416,0.10497341624089473,0.3492250990808111
9,LiBF4_fluorinated_control,0.38355502913493733,0.13585529943805041,0.6828535905726845
10,state_only,0.2587590634970026,0.16584307759779904,0.2177759876152654
10,chemistry_permuted,0.2541543098076645,0.1389927950284212,0.17272030146451345
10,without_LiPF6,0.15078159340337438,0.04603226839239283,0.2953552350845361
10,LiPF6_only,0.31827495492323243,0.043596255908891934,-0.09229687664579134
