repeat,anchor_budget,macro_rmse_neighbor_delta,macro_rmse_neighbor_absolute,relative_gain_vs_neighbor_absolute
20,2,0.4417585608815615,0.46469587661976436,0.049359843485272004
20,3,0.3972188986959067,0.44096046587565996,0.09919611975393572
21,1,0.5382378022190683,0.5699062565889487,0.05556783068047921
21,2,0.4515695745768344,0.483523056679825,0.06608471232458568
21,3,0.4134621761995307,0.42965603140162684,0.03769027784683587
22,1,0.43163324114501705,0.4597298751099497,0.06111552780469842
22,2,0.5290076521853373,0.5767151864750205,0.08272286807857376
22,3,0.39875579134965256,0.4393371833264375,0.09236958199058709
23,1,0.5297145421833798,0.5483296627996795,0.03394877548891684
23,2,0.41460070783719105,0.4388752173555787,0.05531073197673941
23,3,0.44794896219738445,0.49693318830427463,0.0985730622541896
24,1,0.4231767888077551,0.4542715765569385,0.06844977619964732
24,2,0.40595418370499964,0.4517031009916751,0.1012809457943451
24,3,0.4418930886454643,0.4711817542423645,0.06216001645478586
25,1,0.41683711490993697,0.4571891830941863,0.08826120493742384
25,2,0.4582235018999625,0.48835287105536873,0.061695898480732314
25,3,0.4002239385352947,0.42734178072395856,0.06345703465437802
26,1,0.5165843389432729,0.5551189873536162,0.06941691653179993
26,2,0.422116869545831,0.45306210965567273,0.06830242355371563
26,3,0.40198033117451276,0.42362896786941134,0.0511028242562771
27,1,0.4319571657034798,0.4553189712413244,0.05130865835472198
27,2,0.40817270720540777,0.43383164051837486,0.059144909952413505
27,3,0.35380922462605097,0.3871524323136999,0.08612423661755986
28,1,0.4248826767239524,0.44660585439869727,0.04864060213449861
28,2,0.4812277335292332,0.4935848215344226,0.025035388986992202
28,3,0.40092133636343075,0.4319687656615199,0.07187424593197833
29,1,0.5454388315790933,0.5652920658985032,0.03512031305066021
29,2,0.4297892858375649,0.4825180508198263,0.10927832625675271
29,3,0.42766836455911666,0.4452222034009633,0.0394271415660683
30,1,0.43676914752619234,0.46674786565621784,0.06422893458308021
30,2,0.4566779999710612,0.486523986997649,0.06134535567458477
30,3,0.40816718309380884,0.4298874557037673,0.050525485965623895
31,1,0.42721920731760255,0.4546722664703639,0.06037988497930691
31,2,0.46224461552898527,0.5026844643478777,0.08044777924727442
31,3,0.4298628866475347,0.4567161469497899,0.05879638913928609
32,1,0.4482925294586794,0.48070738009788466,0.06743156435960007
32,2,0.3384176266634363,0.37998109648285394,0.10938299353345105
