scope,seed,policy,auc20,first_hit,recall20,recall40,regret20
external_candidate,94,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,95,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,95,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,96,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,96,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,97,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,97,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,98,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,98,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
external_candidate,99,neighbor_round_robin,53.0,1,0.625,0.625,0.0
external_candidate,99,neighbor_consensus_top40,58.0,3,0.625,0.625,0.0
hard_ood_40pct,0,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,0,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,1,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,1,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,2,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,2,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,3,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,3,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,4,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,4,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,5,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,5,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,6,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,6,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,7,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,7,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,8,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,8,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,9,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,9,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,10,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,10,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
