budget,repeat,method,scope,evaluation_rows,rmse,mae,r2,spearman,selected_alpha,selected_correction_weight,mean_absolute_correction,active_training_rows,inner_hurdle_fallback_folds,training_scaffolds,insufficient_scaffold_abstention,target_only_rmse,relative_rmse_gain
30,2,state_blind_pretrained_residual,full_scaffold_separated_evaluation,540,0.6291804122888686,0.3119287845112121,-0.01164538349138855,0.2543440035795722,0.1,0.0,0.0,10,0,19,False,0.6291804122888686,0.0
30,2,target_only_direct_regression,full_scaffold_separated_evaluation,540,0.6395695282674192,0.27296487355707527,-0.04533007281222412,0.3455601049354992,,,,10,0,19,False,0.6291804122888686,-0.016512141471086986
30,3,scalar_optical_residual,dynamic_hard_ood_40pct,216,0.6172420079847655,0.271885199441169,-0.018894311075515535,0.23778417886350517,1000.0,0.5,0.011015079367950783,15,0,20,False,0.6199578373381802,0.004380667829082205
30,3,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,216,0.6199578373381802,0.2669999866932134,-0.027880189150595314,0.2098653379507475,0.1,0.0,0.0,15,0,20,False,0.6199578373381802,0.0
30,3,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,216,0.6199578373381802,0.2669999866932134,-0.027880189150595314,0.2098653379507475,0.1,0.0,0.0,15,0,20,False,0.6199578373381802,0.0
30,3,state_blind_pretrained_residual,dynamic_hard_ood_40pct,216,0.6199578373381802,0.2669999866932134,-0.027880189150595314,0.2098653379507475,0.1,0.0,0.0,15,0,20,False,0.6199578373381802,0.0
30,3,target_only_direct_regression,dynamic_hard_ood_40pct,216,0.6241436535725182,0.2574557524306049,-0.0418070794629275,0.2211328280291445,,,,15,0,20,False,0.6199578373381802,-0.006751775656728548
30,3,scalar_optical_residual,full_scaffold_separated_evaluation,540,0.6418398481616806,0.3133368398239826,-0.040288526189351304,0.27814023272292243,1000.0,0.5,0.011015079367950783,15,0,20,False,0.6453730594143039,0.005474680421010742
30,3,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,540,0.6453730594143039,0.3086662404051458,-0.05177324711602638,0.2528463281747778,0.1,0.0,0.0,15,0,20,False,0.6453730594143039,0.0
30,3,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,540,0.6453730594143039,0.3086662404051458,-0.05177324711602638,0.2528463281747778,0.1,0.0,0.0,15,0,20,False,0.6453730594143039,0.0
30,3,state_blind_pretrained_residual,full_scaffold_separated_evaluation,540,0.6453730594143039,0.3086662404051458,-0.05177324711602638,0.2528463281747778,0.1,0.0,0.0,15,0,20,False,0.6453730594143039,0.0
30,3,target_only_direct_regression,full_scaffold_separated_evaluation,540,0.6484679891970961,0.3035441679966706,-0.06188513350204361,0.27019608349781954,,,,15,0,20,False,0.6453730594143039,-0.004795567056364251
30,4,scalar_optical_residual,dynamic_hard_ood_40pct,215,0.6388595585228524,0.26580631572700303,-0.04508777700448041,0.12317043243194138,0.1,0.0,0.0,11,0,18,False,0.6388595585228524,0.0
30,4,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,215,0.6388595585228524,0.26580631572700303,-0.04508777700448041,0.12317043243194138,0.1,0.0,0.0,11,0,18,False,0.6388595585228524,0.0
30,4,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,215,0.6399391897136651,0.2637144819707193,-0.04862302268069052,0.11974651459375844,0.1,0.1,0.013238129790471554,11,0,18,False,0.6388595585228524,-0.0016899350982695844
30,4,state_blind_pretrained_residual,dynamic_hard_ood_40pct,215,0.6388595585228524,0.26580631572700303,-0.04508777700448041,0.12317043243194138,0.1,0.0,0.0,11,0,18,False,0.6388595585228524,0.0
30,4,target_only_direct_regression,dynamic_hard_ood_40pct,215,0.6417380166490659,0.2441823055102458,-0.054526528791994044,0.19261082034921953,,,,11,0,18,False,0.6388595585228524,-0.004505619565071599
30,4,scalar_optical_residual,full_scaffold_separated_evaluation,537,0.6386888943079563,0.30286478644225345,-0.031789808953183174,0.29373701450917855,0.1,0.0,0.0,11,0,18,False,0.6386888943079563,0.0
30,4,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,537,0.6386888943079563,0.30286478644225345,-0.031789808953183174,0.29373701450917855,0.1,0.0,0.0,11,0,18,False,0.6386888943079563,0.0
30,4,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,537,0.6361069593363371,0.30521475186697655,-0.023464536655918522,0.28269911205053866,0.1,0.1,0.013238129790471554,11,0,18,False,0.6386888943079563,0.0040425549819788345
30,4,state_blind_pretrained_residual,full_scaffold_separated_evaluation,537,0.6386888943079563,0.30286478644225345,-0.031789808953183174,0.29373701450917855,0.1,0.0,0.0,11,0,18,False,0.6386888943079563,0.0
30,4,target_only_direct_regression,full_scaffold_separated_evaluation,537,0.6356633362518109,0.2894105515019831,-0.022037499375110015,0.35291215615077903,,,,11,0,18,False,0.6386888943079563,0.004737138978161907
30,5,scalar_optical_residual,dynamic_hard_ood_40pct,208,0.6192190925587204,0.2727396161309088,-0.0014438742940878768,0.09145589980086354,0.1,0.25,0.05727275763507767,17,1,6,False,0.6130708618929404,-0.01002858078558255
30,5,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,208,0.6110660846529731,0.28309170507991366,0.024753730854816136,0.26960481239316475,0.1,0.1,0.03092554353134661,17,1,6,False,0.6130708618929404,0.0032700579404104394
30,5,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,208,0.7938457574172989,0.367821739178698,-0.6459255744616752,0.24204669872378404,0.1,0.25,0.12631687007630882,17,1,6,False,0.6130708618929404,-0.2948678639956746
30,5,state_blind_pretrained_residual,dynamic_hard_ood_40pct,208,0.610598758626192,0.2747538310544817,0.02624484188239995,0.2747173724043783,0.1,0.1,0.01668954214469747,17,1,6,False,0.6130708618929404,0.004032328757422016
30,5,target_only_direct_regression,dynamic_hard_ood_40pct,208,0.6152064275866248,0.254853304849581,0.011493189795984793,0.2123408832043483,,,,17,1,6,False,0.6130708618929404,-0.0034833912789307866
30,5,scalar_optical_residual,full_scaffold_separated_evaluation,520,0.6178226669349722,0.32530131989284133,0.05541637944201794,0.2658454550174545,0.1,0.25,0.05727275763507767,17,1,6,False,0.6130788395211202,-0.00773771187007119
30,5,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,520,0.611749477472275,0.3313383156778496,0.07389559708228988,0.3318643441168853,0.1,0.1,0.03092554353134661,17,1,6,False,0.6130788395211202,0.0021683378436018505
30,5,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,520,0.7154579721240992,0.3913962951728738,-0.26672105500378995,0.29538846354689624,0.1,0.25,0.12631687007630882,17,1,6,False,0.6130788395211202,-0.16699178964152153
30,5,state_blind_pretrained_residual,full_scaffold_separated_evaluation,520,0.612382945384915,0.321575969507708,0.07197663781175279,0.3360373237386929,0.1,0.1,0.01668954214469747,17,1,6,False,0.6130788395211202,0.0011350809901525159
30,5,target_only_direct_regression,full_scaffold_separated_evaluation,520,0.6141597535477792,0.3082688801698643,0.06658356917898567,0.3395013788162508,,,,17,1,6,False,0.6130788395211202,-0.0017630913953959096
30,6,scalar_optical_residual,dynamic_hard_ood_40pct,215,0.6064586992195544,0.3082307219401437,0.11361155815145729,0.23246152339566178,10.0,0.75,0.08150216934429039,15,0,8,False,0.6088227834443147,0.003883041648648384
30,6,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,215,0.6071523339503627,0.31107135340801606,0.11158279209163591,0.23180918892931973,1000.0,0.1,0.009347315532500835,15,0,8,False,0.6088227834443147,0.0027437368301194568
30,6,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,215,0.6174122668998715,0.3606155615641528,0.08130335147556222,0.2927316540631044,100.0,0.5,0.11197003467553339,15,0,8,False,0.6088227834443147,-0.014108347599876565
30,6,state_blind_pretrained_residual,dynamic_hard_ood_40pct,215,0.616348577296392,0.3333256431770984,0.08446612082692584,0.21962100376006816,0.1,0.1,0.04861218200865521,15,0,8,False,0.6088227834443147,-0.012361222438985216
