repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
55,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.62749851129519,4.385154170819474,0.05237048480603108,-0.1633655114119743,2.8928546532302826,0.30185480068201875,44
56,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.683140405964083,3.6900758320463947,-0.0018830197380151684,0.1762090175369846,3.033881407152924,0.40905719054805395,44
57,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.631547389085295,4.4922762081686995,0.03007011895091517,-0.22089791924610336,3.6922943951946863,-0.02272888512130436,44
58,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.181732372642261,4.150549117833206,0.007457018295351062,-0.0422155937357831,3.4748962490018993,0.3596712646528343,44
59,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.368582412178652,3.2032499759410107,0.04908071586430672,0.3792337249539235,2.8360474669438713,0.6812915094013777,44
60,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.220308741754918,4.171661008301265,0.011527055585375067,-0.0528450794480102,2.9308293234150966,0.24283746206253512,44
61,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.7719513362840553,3.9291231844328096,-0.04166857791532179,0.06601964575037322,2.804532059721683,0.34419239802264495,44
62,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.01951238046192,3.8513777224379844,0.04182961566214011,0.10261526140562549,3.0498978882435095,0.21934448126892517,44
63,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.290517935916348,4.188897363299427,0.023684919661154578,-0.0615632862187534,3.138506713527631,0.0937014660430607,44
64,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.42684684434572,3.3656343744309223,0.01786262202403292,0.314700648685606,2.615732277562962,0.5218021239545931,44
65,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.0479715415461826,3.9748348355098644,0.018067495110991448,0.044161265112926174,3.3268014378682165,0.26923628052037096,44
