repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
13,15,15,extra-trees-primary,all,alloy_control,3.314721957823626,3.324155651592638,-0.0028459985148213017,0.0592070180766513,2.2965353442098393,0.33628999370335694,110
14,15,15,extra-trees-primary,all,alloy_control,3.618348337860643,3.5840668120089725,0.009474357538483896,-0.09366310298150693,2.7356803711257256,0.36574635747215456,110
15,15,15,extra-trees-primary,all,alloy_control,3.275077929499579,3.3473993547993866,-0.022082352498664946,0.0460042875517338,2.500745426480367,0.3699901906629019,110
16,15,15,extra-trees-primary,all,alloy_control,3.3258905074969105,3.401409706737621,-0.0227064598399984,0.014970447669810705,2.124860497577352,0.25062066106732295,110
17,15,15,extra-trees-primary,all,alloy_control,4.137105187340344,4.032385361571716,0.025312343057912447,-0.38438034811639077,2.9251790068959695,0.07793619285991536,110
18,15,15,extra-trees-primary,all,alloy_control,3.5228589837438262,3.5371674203299883,-0.004061597881773906,-0.06522806274261383,2.8428188062446234,0.5784581668447192,110
19,15,15,extra-trees-primary,all,alloy_control,2.996911943738255,3.0698894380120643,-0.024350897071329838,0.19762602113103922,2.057861599554475,0.3063638170682625,110
20,15,15,extra-trees-primary,all,alloy_control,4.446256721497169,4.391931867673367,0.012218110025259334,-0.6422624207114394,3.3193538365950523,0.10123377278644817,110
21,15,15,extra-trees-primary,all,alloy_control,3.366347981122831,3.3749056681915492,-0.0025421278836015304,0.030261487915584473,2.321917215307049,0.30830653636058086,110
22,15,15,extra-trees-primary,all,alloy_control,3.498902702921633,3.39345995041419,0.030135948741700325,0.01956947842440382,2.570571842065202,0.14893434742097705,110
23,15,15,extra-trees-primary,all,alloy_control,3.3517486223164363,3.1647786351191765,0.055782819138758245,0.1472572360404788,2.448343484306489,0.5080541174946974,110
24,15,15,extra-trees-primary,all,alloy_control,3.5360066295060153,3.524676857980916,0.003204114899151665,-0.0577182087252921,2.282609459510525,0.14295152022739982,110
25,15,15,extra-trees-primary,all,alloy_control,5.970228859519776,5.942261638668508,0.0046844470303133105,-2.0063179267231415,5.113239908255809,0.011436276414503439,110
26,15,15,extra-trees-primary,all,alloy_control,3.7077809393785306,3.763688826602702,-0.015078530295681987,-0.20603187488465058,3.238052824815814,0.39685778925966647,110
27,15,15,extra-trees-primary,all,alloy_control,3.845395474487177,3.830127293929264,0.0039705098368195985,-0.24898661032792768,3.285279470191802,0.05819899524107528,110
28,15,15,extra-trees-primary,all,alloy_control,4.793684142898228,4.648189303541184,0.030351361295381338,-0.8394965624493198,4.014415078375238,-0.02872584868994993,110
29,15,15,extra-trees-primary,all,alloy_control,5.731974958314053,5.8900755072076585,-0.027582212072347838,-1.9537456232229204,5.484619806978997,-0.14282363586860322,110
30,15,15,extra-trees-primary,all,alloy_control,3.3373514315136186,3.2192818812497435,0.035378219131787986,0.11763275638663828,2.363025250663295,0.4431778976475698,110
31,15,15,extra-trees-primary,all,alloy_control,3.5493869367191673,3.5880499611524077,-0.01089287393078032,-0.09609533659917657,2.5428011984999186,0.3049355770831937,110
32,15,15,extra-trees-primary,all,alloy_control,3.3097481391415706,3.479011971638812,-0.05114100088024893,-0.03048865083116281,2.722720440176945,0.22765740117883906,110
33,15,15,extra-trees-primary,all,alloy_control,3.5505295361015956,3.6504290400862813,-0.0281365083627422,-0.13453836950612552,3.195454691329548,0.1943432954358186,110
34,15,15,extra-trees-primary,all,alloy_control,3.4044152541991557,3.3776029425883816,0.007875746525839538,0.028710809851716257,2.140612887042196,0.30147528224840764,110
35,15,15,extra-trees-primary,all,alloy_control,3.7147957201977735,3.7387992159339367,-0.006461592384650776,-0.1901334250120792,2.83131110672252,0.27979136741579086,110
36,15,15,extra-trees-primary,all,alloy_control,5.353053936807018,5.345710473781412,0.001371826832364438,-1.433000698468462,4.606745043599425,0.20464006577010105,110
37,15,15,extra-trees-primary,all,alloy_control,5.1884276168238035,4.882713280285211,0.05892234779324946,-1.029802635207293,4.357646878002954,0.06439318777585304,110
38,15,15,extra-trees-primary,all,alloy_control,3.9521000962183397,4.0041094949513925,-0.013159939643942518,-0.3650333333930029,3.404904121686257,0.03615381684837516,110
39,15,15,extra-trees-primary,all,alloy_control,4.5525577655410805,4.433575933002423,0.02613516152156196,-0.6735537626889667,3.6010850866282205,0.09602713222093881,110
40,15,15,extra-trees-primary,all,alloy_control,3.3188857370975056,3.258187091988355,0.01828886256332337,0.09617696785070351,2.1170594313206936,0.30559338776427514,110
41,15,15,extra-trees-primary,all,alloy_control,3.845568853432205,3.7343816987532694,0.028913057837906098,-0.1873227210236319,2.9816941643913255,0.2901023278681354,110
42,15,15,extra-trees-primary,all,alloy_control,4.806228009000326,4.8204145106283,-0.0029516913474367254,-0.9783363778194003,4.285006696081923,0.3269314918825583,110
43,15,15,extra-trees-primary,all,alloy_control,3.668478271421641,3.638169949969739,0.008261823897939257,-0.12693101489979708,2.898369169133952,0.34721351550773977,110
44,15,15,extra-trees-primary,all,alloy_control,3.410978815032118,3.6210739786206187,-0.06159380488164147,-0.11636487058623657,2.8393701775259093,0.2533021842710698,110
45,15,15,extra-trees-primary,all,alloy_control,5.686814260544501,4.901048870200631,0.13817321163371957,-1.0450759091035735,4.46952877572866,0.2780770610618979,110
46,15,15,extra-trees-primary,all,alloy_control,3.046702194919671,3.0223078916123467,0.008006789553636486,0.22230594871825116,1.928110753709783,0.5243057356453106,110
47,15,15,extra-trees-primary,all,alloy_control,3.786976299550095,3.760374157360328,0.0070246392069914735,-0.20390851314595593,3.001681687183154,0.47460008220136457,110
48,15,15,extra-trees-primary,all,alloy_control,3.467492000258047,3.4798406802189876,-0.003561271362708757,-0.030979638791566844,2.1810879511582475,0.2917616553779824,110
49,15,15,extra-trees-primary,all,alloy_control,3.5888926517220114,3.6143335724025896,-0.0070887939956552175,-0.11221264982091705,3.075181625618092,0.23494538304988702,110
50,15,15,extra-trees-primary,all,alloy_control,3.029013664779456,3.033621149887172,-0.0015211173066965087,0.2164728430157402,2.2518558849043715,0.5519259584195573,110
51,15,15,extra-trees-primary,all,alloy_control,4.004455767627297,3.910499334569509,0.023462971876814724,-0.301954476975657,2.53913555143469,0.32960188857213785,110
52,15,15,extra-trees-primary,all,alloy_control,3.656559049471572,3.810955435228663,-0.0422245022350737,-0.23651419719229239,3.209305193816385,0.19504539248102679,110
53,15,15,extra-trees-primary,all,alloy_control,3.9840604065029517,3.8892517929015846,0.023796981955046773,-0.2878446787963713,2.617580505499947,0.30442782804943286,110
54,15,15,extra-trees-primary,all,alloy_control,3.58485467586076,3.5873336163127063,-0.0006915037501070534,-0.09565771512405874,2.629068013173683,0.10557077635259858,110
55,15,15,extra-trees-primary,all,alloy_control,3.4324009158835036,3.297102315746344,0.039418064338306955,0.07445782065593987,2.0054136859729734,0.33362046999471295,110
56,15,15,extra-trees-primary,all,alloy_control,4.461680682676008,4.475147788611677,-0.003018393043670759,-0.7050853814952824,3.949639148895823,0.040427571166242605,110
57,15,15,extra-trees-primary,all,alloy_control,3.5797888973566727,3.5608972467771522,0.005277308556789514,-0.0795686151280599,2.7454315046440527,0.394976669984602,110
58,15,15,extra-trees-primary,all,alloy_control,4.188432628356059,4.178724440497159,0.002317856993371558,-0.4866845669598905,3.5261213530879734,0.20354433480067405,110
59,15,15,extra-trees-primary,all,alloy_control,5.059355716527823,4.9528046140473,0.021060211704910133,-1.0884965292568345,4.131053732964447,0.21499072073093242,110
60,15,15,extra-trees-primary,all,alloy_control,3.346582686649306,3.349359975110179,-0.0008298878948823152,0.04488642204543325,2.6077090513521175,0.19291369660324414,110
61,15,15,extra-trees-primary,all,alloy_control,4.401688270883007,4.522694982711229,-0.027490977184521932,-0.741509970466681,3.213626895395192,0.1377161116206051,110
62,15,15,extra-trees-primary,all,alloy_control,3.9788136604317352,3.844622586682664,0.03372640319489362,-0.25845819374379797,3.2944819326522468,0.01500926683646487,110
63,15,15,extra-trees-primary,all,alloy_control,3.25135234719787,3.2482419783982546,0.0009566384899181606,0.10168610791811772,2.3455159512576333,0.4442780917164723,110
64,15,15,extra-trees-primary,all,alloy_control,3.5655061598116573,3.3729221865008903,0.05401308108269823,0.03140101212754809,2.7719646840500354,0.475383888294138,110
65,15,15,extra-trees-primary,all,alloy_control,3.571838689294289,3.532247604470478,0.011084230915151731,-0.062266890338623426,2.9633439390522427,0.49127079525733214,110
66,15,15,extra-trees-primary,all,alloy_control,6.825937090211721,6.602855505796789,0.03268145918526371,-2.7118887688375892,6.140966887472256,0.0741370412029477,110
67,15,15,extra-trees-primary,all,alloy_control,3.40045897104463,3.440686225282531,-0.011829948421798858,-0.007909420136115841,2.5134212677794685,0.24764829665966967,110
68,15,15,extra-trees-primary,all,alloy_control,6.270162262703027,6.565271323534492,-0.04706561783685718,-2.6697520734119284,5.976243537149003,0.2525172118044826,110
69,15,15,extra-trees-primary,all,alloy_control,3.481842239546959,3.6557641884363874,-0.049951128432532965,-0.13785707734076524,2.9314032606550384,0.08739603777055555,110
