anchor_budget,draw,model,comparator,relative_log_rmse_gain,spearman_gain,top_quartile_precision_gain,normalized_regret_reduction
3,3,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.8452989030950314,0.8888888888888888,0.35407663474104484
3,4,bamboo_all_frozen,target_only_ridge,0.4347422142873739,0.5229380815450131,0.4444444444444445,0.2895043306298306
3,4,bamboo_all_adapted,target_only_ridge,0.43429210053186995,0.5286203745371929,0.4444444444444445,0.2895043306298306
3,4,programme_balanced_portfolio_frozen,target_only_ridge,0.3299629910486185,0.5465028848361115,0.5555555555555556,0.2895043306298306
3,4,programme_balanced_portfolio_adapted,target_only_ridge,0.3437128897169339,0.5413219706373593,0.4444444444444445,0.2702334405638492
3,4,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.5249241393953574,0.5555555555555556,0.2702334405638492
3,5,bamboo_all_frozen,target_only_ridge,0.34360082764387756,0.422829449123964,0.5555555555555556,0.2895043306298306
3,5,bamboo_all_adapted,target_only_ridge,0.34406104028536155,0.428177489587192,0.5555555555555556,0.2895043306298306
3,5,programme_balanced_portfolio_frozen,target_only_ridge,0.20011338126409073,0.4502381564980075,0.6666666666666666,0.2895043306298306
3,5,programme_balanced_portfolio_adapted,target_only_ridge,0.2037092509265599,0.4502381564980075,0.6666666666666666,0.2895043306298306
3,5,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.43082710828414456,0.6666666666666666,0.2702334405638492
3,6,bamboo_all_frozen,target_only_ridge,0.22971320979007848,0.6553020830099062,0.8888888888888888,0.11023842194502584
3,6,bamboo_all_adapted,target_only_ridge,0.22978616027524346,0.660984376002086,0.8888888888888888,0.11023842194502584
3,6,programme_balanced_portfolio_frozen,target_only_ridge,0.08761332305264768,0.6770284973917701,0.8888888888888888,0.11023842194502584
3,6,programme_balanced_portfolio_adapted,target_only_ridge,0.10448674809067426,0.666332416465314,0.8888888888888888,0.09096753187904444
3,6,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6459111508554569,0.8888888888888888,0.09096753187904444
3,7,bamboo_all_frozen,target_only_ridge,0.21249460500077255,0.5092337278579913,0.4444444444444445,0.1517419489540139
3,7,bamboo_all_adapted,target_only_ridge,0.21134812751876686,0.5149160208501711,0.4444444444444445,0.1517419489540139
3,7,programme_balanced_portfolio_frozen,target_only_ridge,0.054420359498678295,0.5369766877609867,0.5555555555555556,0.1517419489540139
3,7,programme_balanced_portfolio_adapted,target_only_ridge,0.07103927681704203,0.5306258897109033,0.5555555555555556,0.1324710588880325
3,7,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.512881242693147,0.5555555555555556,0.1324710588880325
3,8,bamboo_all_frozen,target_only_ridge,0.36998562301783067,1.0532297187269648,0.8888888888888888,0.08961610479116268
3,8,bamboo_all_adapted,target_only_ridge,0.36933556393209543,1.0435363953873642,0.8888888888888888,0.08961610479116268
3,8,programme_balanced_portfolio_frozen,target_only_ridge,0.2521224122122462,1.0772959008114908,1.0,0.08961610479116268
3,8,programme_balanced_portfolio_adapted,target_only_ridge,0.26143725868260514,1.0619202844797102,0.8888888888888888,0.07034521472518128
3,8,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.0543727284102684,1.0,0.07034521472518128
3,9,bamboo_all_frozen,target_only_ridge,0.5118628337172788,0.5446644959268769,0.5555555555555556,0.15815279752373917
3,9,bamboo_all_adapted,target_only_ridge,0.5367700636034549,0.48583605083136894,0.22222222222222227,0.13888190745775778
3,9,programme_balanced_portfolio_frozen,target_only_ridge,0.385641060755443,0.5720732033009205,0.6666666666666667,0.15815279752373917
3,9,programme_balanced_portfolio_adapted,target_only_ridge,0.44985632059301295,0.5090666015935156,0.4444444444444445,0.13888190745775778
3,9,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.5469765093716693,0.6666666666666667,0.13888190745775778
3,10,bamboo_all_frozen,target_only_ridge,0.38651531123863825,1.1381298610807093,0.8888888888888888,0.11023842194502584
3,10,bamboo_all_adapted,target_only_ridge,0.3858406971695221,1.1284365377411085,0.8888888888888888,0.11023842194502584
3,10,programme_balanced_portfolio_frozen,target_only_ridge,0.2726063979237541,1.162864548223139,1.0,0.11023842194502584
3,10,programme_balanced_portfolio_adapted,target_only_ridge,0.281007680166907,1.143812154072889,0.8888888888888888,0.09096753187904444
3,10,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.1399433874558416,1.0,0.09096753187904444
3,11,bamboo_all_frozen,target_only_ridge,0.22971320979007848,0.6553020830099062,0.8888888888888888,0.11023842194502584
3,11,bamboo_all_adapted,target_only_ridge,0.22978616027524346,0.660984376002086,0.8888888888888888,0.11023842194502584
3,11,programme_balanced_portfolio_frozen,target_only_ridge,0.08761332305264768,0.6770284973917701,0.8888888888888888,0.11023842194502584
3,11,programme_balanced_portfolio_adapted,target_only_ridge,0.10448674809067426,0.666332416465314,0.8888888888888888,0.09096753187904444
3,11,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6459111508554569,0.8888888888888888,0.09096753187904444
3,12,bamboo_all_frozen,target_only_ridge,0.4347422142873739,0.5229380815450131,0.4444444444444445,0.2895043306298306
3,12,bamboo_all_adapted,target_only_ridge,0.43429210053186995,0.5286203745371929,0.4444444444444445,0.2895043306298306
3,12,programme_balanced_portfolio_frozen,target_only_ridge,0.3299629910486185,0.5465028848361115,0.5555555555555556,0.2895043306298306
3,12,programme_balanced_portfolio_adapted,target_only_ridge,0.3437128897169339,0.5413219706373593,0.4444444444444445,0.2702334405638492
3,12,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.5249241393953574,0.5555555555555556,0.2702334405638492
3,13,bamboo_all_frozen,target_only_ridge,0.3420108339683512,0.48082226289709257,0.5555555555555556,0.08758882980983045
3,13,bamboo_all_adapted,target_only_ridge,0.34106506206244414,0.47547422243386456,0.5555555555555556,0.08758882980983045
3,13,programme_balanced_portfolio_frozen,target_only_ridge,0.23345977977634347,0.5112392430317019,0.6666666666666666,0.08758882980983045
3,13,programme_balanced_portfolio_adapted,target_only_ridge,0.22504293440984646,0.46878917185482954,0.4444444444444444,0.08758882980983045
3,13,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.48028663394457877,0.6666666666666666,0.08758882980983045
3,14,bamboo_all_frozen,target_only_ridge,0.2784080403069741,0.4879679144385027,0.5555555555555556,0.04018091667945723
3,14,bamboo_all_adapted,target_only_ridge,0.27792463061282247,0.4936497326203208,0.5555555555555556,0.04018091667945723
3,14,programme_balanced_portfolio_frozen,target_only_ridge,0.14468602649476525,0.5153743315508021,0.6666666666666666,0.04018091667945723
