canonical_smiles,solid_real__absorption_nm__mean,solid_real__absorption_nm__std,solid_real__emission_nm__mean,solid_real__emission_nm__std,solid_real__quantum_yield__mean,solid_real__quantum_yield__std,solid_shuffled__absorption_nm__mean,solid_shuffled__absorption_nm__std,solid_shuffled__emission_nm__mean,solid_shuffled__emission_nm__std,solid_shuffled__quantum_yield__mean,solid_shuffled__quantum_yield__std,global_state_blind__absorption_nm__mean,global_state_blind__absorption_nm__std,global_state_blind__emission_nm__mean,global_state_blind__emission_nm__std,global_state_blind__quantum_yield__mean,global_state_blind__quantum_yield__std
C=CCCCCCCCCCN1C(=O)c2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6sc(-c7sc(-c8cc(CCCCCC)cs8)c8c7C(=O)N(CCCCCCCC)C8=O)cc6CCCCCC)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,517.32904,22.32294,672.5676,17.30705,-0.04230421,0.030070076,373.28,24.985416,519.45825,37.815453,0.39701715,0.0863425,525.6173,17.73801,638.9621,13.675917,0.081764325,0.019633977
C=CCCCCCCCCCN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cc7c8c(c(-c9cccs9)cc9c8c6C(=O)N(CC(CCCCCC)CCCCCCCC)C9=O)C(=O)N(CC(CCCCCC)CCCCCCCC)C7=O)s5)cc(c24)C1=O)C(=O)N(CCCCCCCCCC=C)C3=O,525.5234,23.884111,620.9618,20.7223,0.024572741,0.06625325,412.55704,22.820122,560.07574,22.558994,0.38349223,0.08188124,526.4749,21.40654,605.5133,19.386456,0.19773161,0.073701285
C=CCCCCCCCCCOc1c2cc(-c3sc(-c4cc5c(OCC(CC)CCCC)c6sccc6c(OCC(CC)CCCC)c5s4)c4c3C(=O)N(CCCCCCC)C4=O)sc2c(OCCCCCCCCCC=C)c2cc(-c3scc4c3C(=O)N(CCCCCCC)C4=O)sc12,525.14685,28.655367,675.5901,24.586304,0.017532695,0.048775036,381.04565,22.251348,521.61523,70.66535,0.32402706,0.07587713,521.9836,26.15865,621.1442,12.803001,0.07089647,0.041834656
C=CCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6cccs6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCC=C)s3)c3ccsc23)s1,457.84082,12.355095,631.05945,12.841707,0.05323389,0.04319339,381.79727,37.64856,508.40613,71.614944,0.36917865,0.09886115,432.9524,8.660607,554.44116,25.107866,0.06757423,0.0731542
C=Cc1cc(OCC(CC)CCCC)c(C=C)cc1OC,413.5288,15.978302,502.04965,10.568044,0.112259746,0.05349601,394.45023,85.84447,565.9428,88.05006,0.24138387,0.2932799,346.73697,13.238099,399.69855,21.05437,0.6800171,0.0939176
C=Cc1cc(OCCCCCCCCCCCC)c(/C=C/c2ccc(-c3sc(-c4ccccc4)cc3CCCCCC)cc2)cc1OCCCCCCCCCCCC,388.6888,10.111296,491.8581,9.416491,0.16362795,0.03339705,437.83545,43.99433,530.69794,23.247717,0.34472665,0.16504124,394.35587,6.0439878,485.59454,6.432816,0.45544672,0.033901133
C=Cc1cc2c(=O)n(C(CCCCC)CCCCC)c(=O)c3cc4c5c6cc(C(C)(C)C)cc7c6c6c(cc(C(C)(C)C)cc6c5c5cc6c(=O)n(C(CCCCC)CCCCC)c(=O)c8ccc9c1c(c23)c4c5c9c86)c1c2cc3c(=O)n(C(CCCCC)CCCCC)c(=O)c4ccc5c6ccc8c(=O)n(C(CCCCC)CCCCC)c(=O)c9cc(c71)c(c6c89)c2c5c43,758.7899,26.974953,718.0046,35.893276,-0.3569231,0.09022081,356.86475,26.081572,582.63336,48.000477,0.12629773,0.170413,506.12897,23.485327,564.3581,20.95035,0.23515037,0.08316752
C=Cc1cc2c3c(ccc4c5ccc6c7c(ccc(c1c34)c75)C(=O)N(C(CCCCC)CCCCC)C6=O)C(=O)N(C(CCCCC)CCCCC)C2=O,606.9393,15.18571,627.1012,12.264715,-0.0765272,0.08434611,383.6508,15.432711,567.30896,40.57638,0.26428652,0.09351065,540.3834,9.640216,573.1011,7.7645836,0.7290947,0.026194135
C=Cc1cc2c3c(ccc4c5ccc6c7c(ccc(c1c34)c75)C(=O)N(C(CCCCCC)CCCCCC)C6=O)C(=O)N(C(CCCCCC)CCCCCC)C2=O,588.4523,17.06275,617.06287,11.8058195,-0.076127455,0.082051784,396.29895,30.863413,569.1911,32.427776,0.2854199,0.07309962,540.2892,11.5774145,573.0114,9.178818,0.7171365,0.026419643
C=Cc1cc2c3c(ccc4c5ccc6c7c(ccc(c1c34)c75)C(=O)N(C(CCCCCCC)CCCCCCC)C6=O)C(=O)N(C(CCCCCCC)CCCCCCC)C2=O,569.82935,17.835855,606.9346,11.0450325,-0.07479216,0.07449021,408.2015,45.07548,571.9024,26.087093,0.31060234,0.09376839,539.0488,10.215989,572.7875,8.652003,0.7091635,0.023918888
C=Cc1cc2c3c(ccc4c5ccc6c7c(ccc(c1c34)c75)C(=O)N(C(CCCCCCCC)CCCCCCCC)C6=O)C(=O)N(C(CCCCCCCC)CCCCCCCC)C2=O,553.1263,17.900541,597.01917,10.249777,-0.07423579,0.06734271,419.13748,56.011417,573.4339,22.504068,0.3352807,0.12732682,536.2037,9.294585,572.1609,7.958935,0.7004541,0.017869746
C=Cc1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3cccs3)c3nsnc23)s1,522.21436,24.636639,789.126,18.956951,0.0025992692,0.046544854,373.38696,45.892807,464.66763,82.92573,0.3706859,0.16849947,544.1781,19.243992,715.2539,23.840067,0.22921315,0.102484524
C=Cc1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(/C=C/c5cc(CCCCCC)c(-c6ccc(-c7ccc(-c8sccc8CCCCCC)s7)s6)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,479.99976,15.395473,644.04285,10.595937,-0.010163486,0.021657664,402.08243,19.273245,546.1097,20.141174,0.52173936,0.1094569,566.16046,9.385671,650.60803,16.290071,0.15176132,0.06377906
C=Cc1ccc2c(c1)C(=O)/C(=C/c1sc3c(sc4c5c6nc7cc(F)c(F)cc7nc6c6c7sc8c(CCCCCCCCCCC)c(/C=C9\C(=O)c%10ccccc%10C9=C(C#N)C#N)sc8c7n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c6c5n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c34)c1CCCCCCCCCCC)C2=C(C#N)C#N,546.69617,12.788046,699.183,14.277674,-0.09371563,0.028737282,406.87683,6.114656,532.9898,3.6757388,0.36546925,0.20530395,610.3849,5.6760836,694.1952,14.243897,0.11389448,0.040268753
C=Cc1ccc2c(c1)C(=O)/C(=C\c1sc3c(sc4c5c6nn(CC(CC)CCCC)nc6c6c7sc8c(CCCCCCCCC)c(/C=C9\C(=O)c%10ccccc%10C9=C(C#N)C#N)sc8c7n(CC(CCCCCCCC)CCCCCCCCCC)c6c5n(CC(CCCCCCCC)CCCCCCCCCC)c34)c1CCCCCCCCC)C2=C(C#N)C#N,524.8082,10.804666,683.08026,15.782746,-0.06878263,0.031145977,392.0719,3.412255,525.3111,7.6790786,0.38635492,0.17529647,576.5968,15.724268,657.41296,17.76311,0.15286025,0.016933288
C=Cc1ccc2c(c1)C(=O)/C(=C\c1sc3c(sc4c5c6nsnc6c6c7sc8c(CCCCCCCCCCC)c(/C=C9\C(=O)c%10ccccc%10C9=C(C#N)C#N)sc8c7n(CC(CCCCCCCC)CCCCCCCCCC)c6c5n(CC(CCCCCCCC)CCCCCCCCCC)c34)c1CCCCCCCCCCC)C2=C(C#N)C#N,552.51227,13.932673,730.971,22.234846,-0.09395231,0.035044823,394.24854,3.2936146,513.6999,8.404384,0.39684835,0.19324628,596.1513,9.931685,680.84625,11.479601,0.14855206,0.03476485
C=Cc1ccc2c(c1)c1cc(/C=C/c3ccc4c5ccccc5n(-c5ccc6c7c5cccc7c(=O)n5c7cccc8cccc(nc65)c87)c4c3)ccc1n2-c1ccc(CCCCCCCC)cc1,432.0834,11.696861,518.59845,10.332389,0.20968442,0.099011675,407.37012,19.62553,532.28485,23.8963,0.23750715,0.12467443,400.2377,2.721018,498.60556,11.709788,0.3884252,0.054393765
CC#Cc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C)C(C#Cc3cc(CC(CC)CCCC)c(C)s3)=C(C)C1C2c1c(C)cc(C)cc1C,418.83676,12.457129,485.95718,18.351189,0.23744619,0.045720782,366.72473,28.8185,557.41626,62.09428,0.3944842,0.033642128,442.83954,22.664623,498.10382,15.903825,0.30724573,0.1250762
CC#Cc1ccc2c(c1)C(=C(C#N)C#N)/C(=C/c1cc3sc4c(c3s1)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc3c(cc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1c-3sc3cc(/C=C4\C(=O)c5ccc(C#CC)cc5C4=C(C#N)C#N)sc13)C2=O,536.36005,11.346953,670.84393,11.193146,0.04398056,0.023057738,386.1787,44.0105,524.483,53.276554,0.23070984,0.12222726,570.29767,28.674883,654.36536,24.972422,0.1397694,0.034609724
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)cc1,349.5949,10.053987,416.60376,7.8107176,0.0595155,0.063007616,369.50174,72.90924,502.8787,52.433674,0.29756644,0.16892302,338.7232,20.007103,414.39365,13.272608,-0.065822,0.034601018
CC(C)(C)c1cc(/C2=C3\C=CC(=N3)/C(c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)=c3/cc/c4[n]3[Zn][n]3c2ccc3/C(c2ccc(/C=C3\C(=O)c5cc(F)c(F)cc5C3=C(C#N)C#N)s2)=C2/C=CC(=N2)\C=4c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc(C(C)(C)C)c1,503.41876,26.572216,719.8877,23.42119,0.08823197,0.07358416,377.48715,51.920654,555.7151,109.91906,0.22198248,0.22547917,735.7684,26.16495,767.3502,12.006121,0.10543585,0.03746801
CC(C)CC(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(N)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)O)C(C)C,385.36224,26.313265,476.85245,28.880024,0.2711063,0.11081629,479.41684,11.334997,605.1807,134.89986,0.3531368,0.27914828,341.84097,21.87714,381.1778,16.169174,0.21933559,0.11134187
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)Oc2cc(-c3c(F)c(F)cc4nsnc34)sc2-c2sccc21,442.4008,17.400755,615.9786,21.082006,-0.0025445758,0.030025452,391.9996,23.566298,531.63654,18.098158,0.5069195,0.19962998,459.38922,17.2602,563.60864,13.862058,0.34795153,0.06049759
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)Oc2cc(-c3cc(F)cc4nsnc34)sc2-c2sccc21,433.8751,16.300142,612.4629,21.166246,-0.04747097,0.014764244,390.09512,16.61403,529.2429,30.982464,0.5383134,0.15362956,459.91235,15.566636,561.1092,15.147518,0.3613211,0.042646084
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)Oc2cc(-c3cccc4nsnc34)sc2-c2sccc21,424.16437,13.561808,606.62286,15.457077,-0.054999717,0.024136985,391.78525,17.201767,521.665,30.84153,0.53554314,0.15879442,453.74185,14.432426,556.183,17.249643,0.39498267,0.059398144
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)c2ccsc2-c2sc(-c3c(F)c(F)cc4nsnc34)cc21,436.79718,13.39217,609.3977,16.720068,-0.029909473,0.033075582,384.5857,24.93984,527.3674,35.897865,0.5298179,0.16303705,467.82452,26.462103,565.3666,22.443428,0.26691467,0.058238063
CC(C)CCCC(C)CCC1(CCC(C)CCCC(C)C)c2ccsc2-c2sc(-c3cc(F)cc4nsnc34)cc21,429.63525,13.225448,606.48553,18.06553,-0.07343642,0.02160465,384.27502,19.990765,524.5691,53.948906,0.55600154,0.12662461,467.8742,25.793121,559.874,23.682173,0.2824658,0.028657725
CC(C)CCCCCOC(=O)c1sc2c(-c3cc4c(-c5ccc(SCCC(C)CCCC(C)C)s5)c5sccc5c(-c5ccc(SCCC(C)CCCC(C)C)s5)c4s3)scc2c1F,451.2492,12.219677,601.1117,8.375215,-0.025173724,0.030641887,380.6163,22.46116,507.52356,37.230896,0.38952383,0.13560468,446.89825,16.09933,563.15155,17.043766,0.10272582,0.0699846
CC(C)Cc1cc(/C=c2\c(=O)c3ccc4c5c(ccc2c53)C(=O)N(CC(C)C)C4=O)sc1/C=C/c1sc(/C=c2\c(=O)c3ccc4c5c(ccc2c53)C(=O)N(CC(C)C)C4=O)cc1CC(C)C,551.6704,20.429405,619.3536,18.15429,0.040563535,0.061771445,332.4303,39.40329,526.4985,42.84366,0.25826296,0.29823673,617.64435,23.958422,680.8959,25.130316,0.17423409,0.05954342
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc3cc4c(cc3cc2C1=O)/C1=N/c2c3cc5cc6c(cc5cc3c3n2B(Cl)n2c(c5cc7cc8c(cc7cc5/c2=N/C4=N1)C(=O)N(c1c(C(C)C)cccc1C(C)C)C8=O)=N3)C(=O)N(c1c(C(C)C)cccc1C(C)C)C6=O,505.39453,19.554438,610.9969,28.270697,0.18367532,0.018937904,369.98697,44.830383,522.39417,66.41847,0.25873494,0.14965095,649.493,18.035833,650.1267,17.542105,0.44371414,0.09444026
CC1(C)c2ccccc2-c2ccc(N(c3ccccc3)c3ccc(-c4ccc(N(c5ccccc5)c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4)cc3)cc21,364.09735,11.794525,468.02133,13.143253,0.54797876,0.079076745,434.12637,44.373417,479.43997,40.2075,0.23186253,0.05724584,379.27277,12.2420635,479.46597,16.755144,0.51054275,0.07662042
CCC(=O)c1cc2c3cc(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc4C5(CC)CC)sc3c3sc(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc4C5(CC)CC)cc3c2s1,529.3496,30.118732,684.31775,25.461098,-0.050877027,0.037812833,387.39575,42.96229,530.7751,84.25344,0.23196857,0.2128162,582.60535,19.213924,638.6256,22.682528,0.12901488,0.09072458
CCC(=O)c1cc2c3cc(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc8cc(F)c(F)cc8cc7C6=C(C#N)C#N)cc4C5(CC)CC)sc3c3sc(-c4cc5c(s4)-c4sc(/C=C6\C(=O)c7cc8cc(F)c(F)cc8cc7C6=C(C#N)C#N)cc4C5(CC)CC)cc3c2s1,549.74884,32.264286,690.18713,24.961653,-0.069972284,0.03125562,384.35855,36.807095,530.0293,79.44773,0.25199544,0.19996813,600.1078,17.504595,652.48694,23.402872,0.10098915,0.07357447
CCC(CC)N1C(=O)c2c(CCC(C)(C)C)cc3c4c5c(c6cc(CCC(C)(C)C)c(c2c36)C1=O)=CC(CCC(C)(C)C)=C1C(=O)N(C(CC)CC)C(=O)C(C(CCC(C)(C)C)=C4)C15,463.7674,16.87015,511.28198,29.503738,0.15235619,0.05934828,354.38956,45.045567,544.97754,66.2986,0.335982,0.09959638,531.9522,12.812134,570.8456,10.352151,0.38212135,0.058074534
CCC(CC)N1C(=O)c2ccc3c4c5c(c6ccc(c2c36)C1=O)=CC=C1C(=O)N(C(CC)CC)C(=O)C(C=C4)C15,522.625,7.8869405,590.2122,18.5152,0.11485765,0.06442848,355.85605,31.603188,523.966,62.594143,0.39241675,0.19949165,558.39764,8.045037,592.6029,13.192003,0.6534479,0.084085874
CCC1(CC)C2=C(c3ccc(-c4ccc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s4)cc31)C(CC)(CC)c1cc(-c3ccc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)s3)ccc12,499.53882,21.295115,672.02625,28.33259,0.09379352,0.030693565,367.35342,24.800442,567.1536,94.05592,0.25485277,0.2674598,552.4891,14.479683,631.9139,10.604027,0.15558152,0.06616004
