edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,edge_role
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,13,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.7636363636363636,0.7610389610389611,0.0,0.0,0.0,0.0,-0.0025974025974024872,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,13,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.14900612403626923,0.09523809523809526,-0.14285714285714288,0.0,0.0,0.0,-0.08250027248124914,-0.23809523809523814,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,14,year1_to_year2,21,0.09523809523809523,0.09523809523809523,2.0,2.0,0.5,0.5,3.5,3.5,0.0,0.0,0.8259740259740259,0.7909090909090909,0.0,0.0,0.0,0.0,-0.03506493506493502,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,14,years1_2_to_year3,8,0.75,0.875,6.0,7.0,0.0,0.0,0.0,0.0,0.16382916328419084,0.14900612403626923,0.19047619047619052,0.07142857142857144,-0.125,0.0,0.0,0.01482303924792161,-0.11904761904761908,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,15,year1_to_year2,21,0.19047619047619047,0.19047619047619047,4.0,4.0,0.0,0.0,0.0,0.0,0.14810344330653047,0.14810344330653047,0.6597402597402597,0.6142857142857143,0.0,0.0,0.0,0.0,-0.045454545454545414,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,15,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.06650585155502009,0.07142857142857144,0.09523809523809526,0.0,0.0,0.0,0.0,0.023809523809523822,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,16,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.7584415584415585,0.7688311688311688,0.0,0.0,0.0,0.0,0.010389610389610282,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,16,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.14900612403626923,0.023809523809523815,-0.023809523809523815,0.0,0.0,0.0,-0.08250027248124914,-0.04761904761904763,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,17,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.8688311688311688,0.8441558441558441,0.0,0.0,0.0,0.0,-0.02467532467532474,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,17,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.06650585155502009,0.14900612403626923,0.023809523809523815,-0.023809523809523815,0.0,0.0,0.0,-0.08250027248124914,-0.04761904761904763,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,18,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0237927537807896,0.0237927537807896,0.5181818181818182,0.5220779220779221,0.0,0.0,0.0,0.0,0.003896103896103953,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,18,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.14900612403626923,0.14900612403626923,0.0,-0.023809523809523815,0.0,0.0,0.0,0.0,-0.023809523809523815,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,19,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0237927537807896,0.0237927537807896,0.7792207792207791,0.803896103896104,0.0,0.0,0.0,0.0,0.02467532467532485,named-edge
