target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,discovery_selected,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,permutation_p_raw,permutation_p_holm,learners_positive_of_three,edge_status,permutation_p_raw_refined,permutation_p_holm_refined,permutations,amendment,edge_status_refined
solubility,pka_acid,confirmation,ridge-primary,100,30,750,395,0.1300489735679148,0.1295414359376378,-0.0005075376302769,2.6652858869837326,2.6660812246465286,-0.0003054386323107,-0.0009160661533992,0.0001818453623284,0.4,-0.0041702584983748,Aqueous solubility,Molecular pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,2,cross-dataset-ionization,ionization controls apparent solubility,0.2801971413180322,61,0,False,34.35099913355666,0.1266629572153048,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
solubility,pka_base,confirmation,ridge-primary,100,30,750,395,0.1300489735679148,0.1296292031970502,-0.0004197703708645,2.6652858869837326,2.6659694643773397,-0.0002744268585995,-0.0010172141355975,0.0007812229868063,0.38,-0.0034491057451418,Aqueous solubility,Molecular conjugate-acid pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,2,cross-dataset-ionization,protonation controls apparent solubility,0.380264346927831,60,0,False,34.36051313766579,0.1269047735170701,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
solubility,photo_e_pipi,confirmation,ridge-primary,100,30,750,395,0.1300489735679148,0.1297266016091321,-0.0003223719587827,2.6652858869837326,2.665749491306836,-0.0001631881543417,-0.0007566676244658,0.0007262375127371,0.43,-0.0026488171921708,Aqueous solubility,Photoswitch E π-π* wavelength,aqueous molecular thermodynamics,molecular photoswitch,0,distant-control,optical endpoint,-0.2948152287337262,0,0,False,34.37923915462911,0.1273803394814062,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
solubility,polymer_tg,confirmation,ridge-primary,100,30,750,395,0.1300489735679148,0.1292929427491469,-0.0007560308187679,2.6652858869837326,2.666491792602617,-0.000470941052322,-0.0007691674606516,-0.0001549305200081,0.36,-0.0062120397758083,Aqueous solubility,Polymer glass-transition temperature,aqueous molecular thermodynamics,polymer,0,distant-control,polymer thermal endpoint,0.3316237910651871,0,0,False,34.31604802571097,0.1257734580181614,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
hydration,solubility,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1508157860622247,-0.0019592306668084,3.5855713464357333,3.5894478339680016,-0.0010346337246547,-0.01535272471563,0.0118553656879393,0.5,-0.0297992704455889,Hydration free energy,Aqueous solubility,aqueous molecular thermodynamics,aqueous molecular thermodynamics,3,cross-dataset-thermodynamic,aqueous dissolution relation,0.4096569899012556,208,0,False,30.92018429310291,0.0297599873396668,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
hydration,pka_acid,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1551261263557729,0.0023511096267397,3.5855713464357333,3.580538131581114,0.0014155570556944,-0.0013880527489336,0.0056553129406992,0.77,0.0357596238163073,Hydration free energy,Molecular pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,1,cross-dataset-ionization,charge-state context,0.2672451463592924,21,0,False,31.948957954749467,0.0610022385553184,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
hydration,pka_base,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1534516030500184,0.0006765863209851,3.5855713464357333,3.584158894811351,0.0003871441047129,-0.0026129943323794,0.003326616987951,0.64,0.0102906610744646,Hydration free energy,Molecular conjugate-acid pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,1,cross-dataset-ionization,charge-state context,0.380404898658279,59,0,False,31.53088048318224,0.0485517835126351,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
hydration,photo_e_pipi,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1592453438969609,0.0064703271679276,3.5855713464357333,3.571989058900728,0.0037397453788833,-0.0011863846440559,0.0105983353069248,0.83,0.0984116022758063,Hydration free energy,Photoswitch E π-π* wavelength,aqueous molecular thermodynamics,molecular photoswitch,0,distant-control,optical endpoint,-0.2948152287337262,0,0,False,32.93609090523122,0.0891450935595055,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
hydration,polymer_tg,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1648882520599203,0.012113235330887,3.5855713464357333,3.5597185140414727,0.007231633326786,0.0025119569112789,0.0125540113852403,0.93,0.184238426700501,Hydration free energy,Polymer glass-transition temperature,aqueous molecular thermodynamics,polymer,0,distant-control,polymer thermal endpoint,0.3316237910651871,0,0,False,34.35292985417664,0.1267120409424818,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
photo_z_pipi,photo_e_pipi,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.4261285626648821,0.1248102630045264,25.94309418848532,24.841345826919557,0.0432749907050125,-0.002527183599463,0.0483768768296509,0.93,54.94576812738335,Photoswitch Z π-π* wavelength,Photoswitch E π-π* wavelength,molecular photoswitch,molecular photoswitch,3,physical-neighbor,paired E/Z electronic transition,-0.2385782814668441,45,0,True,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,0.01,0.05,3,suggestive-not-confirmed,0.001,0.005,999.0,uniform-post-discovery-resolution-refinement,suggestive-not-confirmed
