target,source,programme_cluster,primary_edge_class,relation,neighborhood,is_designated_primary,is_wrong_control,is_shuffled_control,repeats,gain_all_mean,gain_id_mean,gain_id_ci_lo,gain_id_ci_hi,gain_ood_mean,gain_ood_ci_lo,gain_ood_ci_hi,gain_specific_mean,gain_specific_ci_lo,gain_specific_ci_hi,base_ood_r2_mean,aug_ood_r2_mean,positive_ood_repeat_fraction,positive_ood_learners,learners_evaluated,one_sided_sign_flip_p,holm_p,primary_minus_wrong_mean,primary_minus_wrong_ci_lo,primary_minus_wrong_ci_hi,primary_minus_shuffled_mean,primary_minus_shuffled_ci_lo,primary_minus_shuffled_ci_hi,post_exclusion_overlap,interval_method,classification,relation_family
electrolyte_conductivity,te_electrical,obelix,cross-database-neighbor,cross-domain-transport,2,True,False,False,100,0.0022616433159363,-0.0027689994501962,-0.0248191426653099,0.0207634137010241,0.0097670013605859,-0.0313794417926978,0.036950952071301,0.0125360008107822,-0.0355938401060329,0.0468748125992063,-7.760126655312997,-7.683386654253062,0.64,3,3,0.0338,0.2027999999999999,0.0167125408080977,-0.0029127495856574,0.0339926974230986,0.0102858470485282,-0.0055629802026124,0.0249424884553297,0,hierarchical-repeat-and-group-bootstrap,directional-ood-improvement,Cross-database neighbor
electrolyte_conductivity,te_power_factor,obelix,real-inherited-edge,cross-domain-transport,1,False,False,False,100,-0.0060325414595728,-0.0135212977847286,-0.0276834304900705,-0.0003209396467298,0.0070756316123897,-0.009114385768592,0.0215196724552183,0.0205969293971183,0.0053247685939002,0.03741194022321,-7.760126655312997,-7.66564267224451,0.59,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement,Within-domain neighbor
electrolyte_conductivity,te_thermal,obelix,real-inherited-edge,cross-domain-transport,1,False,False,False,100,0.0165871023318183,0.0275535263578493,0.0145099447405372,0.04064993355678,0.0286619751690796,0.0175607253140867,0.0404475210307397,0.0011084488112303,-0.0130227497442335,0.0167207860873681,-7.760126655312997,-7.289028650474436,0.68,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific,Within-domain neighbor
electrolyte_conductivity,alloy_ys,obelix,real-inherited-edge,distant-control,0,False,True,False,100,0.0016250527074691,-0.0013693917506005,-0.0120173157121942,0.0092740774557271,-0.0069455394475117,-0.019451633161587,0.0054580278852916,-0.0055761476969112,-0.0195704015179192,0.0081429496438378,-7.760126655312997,-7.650604748768585,0.43,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved,Distant control
electrolyte_conductivity,catalysis_h2,obelix,real-inherited-edge,distant-control,0,False,False,False,100,-0.000482535185052,-0.0013505723830658,-0.0056114031997069,0.0027793323528252,-0.0002184726154724,-0.0063144838335601,0.0049652865889033,0.0011320997675934,-0.0055297761603384,0.0077114112995616,-7.760126655312997,-7.6968905469604305,0.58,0,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved,Distant control
hydration,solubility,freesolv,cross-database-neighbor,cross-dataset-thermodynamic,3,True,False,False,100,-0.0007777794370985,0.0367305536328863,0.0228515046584092,0.0488347871510799,-0.0035013589121708,-0.0180099917161115,0.0097158416521824,-0.0402319125450572,-0.058293641938468,-0.0216452614077229,-0.1192869735986236,-0.1281822778934914,0.29,1,3,1.0,1.0,-0.0032542387782869,-0.0050927607205888,-0.0014472007974681,-0.0012206957640571,-0.0028065440282604,0.0005191432659803,0,hierarchical-repeat-and-group-bootstrap,unresolved,Cross-database neighbor
hydration,pka_acid,freesolv,real-inherited-edge,cross-dataset-ionization,1,False,False,False,100,0.0019080987411952,-0.0026210317498478,-0.0049459046836542,-0.0005354002925733,0.0003839493858545,-0.0007078218682467,0.0013808997351932,0.0030049811357024,0.0008092516820517,0.0052887678058436,-0.1192869735986236,-0.117309970585409,0.7,2,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement,Within-domain neighbor
hydration,pka_base,freesolv,real-inherited-edge,cross-dataset-ionization,1,False,False,False,100,0.0001930416955449,-0.0075894346128386,-0.0104998922101185,-0.0049269708034636,0.0007887310107454,-0.001323526898536,0.0028644599649456,0.0083781656235841,0.0046559935130329,0.0123750790428964,-0.1192869735986236,-0.1168385061995658,0.59,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,directional-ood-improvement,Within-domain neighbor
hydration,photo_e_pipi,freesolv,real-inherited-edge,distant-control,0,False,True,False,100,-0.0006464860696552,-0.0016053308743968,-0.0039868555376974,0.0004771003731301,-0.0002471201338839,-0.0016862677863595,0.0011042616596148,0.0013582107405128,-0.0003835936080335,0.0034180951243343,-0.1192869735986236,-0.1188395293363536,0.51,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,unresolved,Distant control
hydration,polymer_tg,freesolv,real-inherited-edge,distant-control,0,False,False,False,100,0.008519166375203,0.0011598104500118,-0.0004430317328705,0.0025565981073801,0.0102297183515482,0.0084646390778769,0.011998802604066,0.0090699079015364,0.0068590278820085,0.0114905733199829,-0.1192869735986236,-0.0971749559989426,0.89,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific,Distant control
polymer_tensile,polymer_young,openpoly,within-database-neighbor,physical-neighbor,3,True,False,False,100,0.0089948763199005,0.0123654826290865,0.0100668481724758,0.05540043639704,-0.000569416732812,-0.0083102952098953,0.0317688000557902,-0.0129348993618986,-0.0543402003976702,0.0133320714336922,-0.3488263069393369,-0.3425292243855476,0.48,1,3,0.6447,1.0,0.0046847633078807,0.0010606674312978,0.0085284895884279,0.0001326670378717,-0.0027917055325062,0.0030375257867226,0,hierarchical-repeat-and-group-bootstrap,unresolved,Within-domain neighbor
polymer_tensile,polymer_elongation,openpoly,real-inherited-edge,same-domain,2,False,False,False,100,0.0090465485610728,0.0167336454467802,0.0135860649827687,0.0201024471950873,0.0114310716115977,0.0081189369195308,0.0150347795029257,-0.0053025738351825,-0.0082103106868159,-0.0024108789216806,-0.3488263069393369,-0.3131335422349591,0.82,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific,Within-domain neighbor
polymer_tensile,polymer_hardness,openpoly,real-inherited-edge,physical-neighbor,2,False,False,False,100,-0.0035194099000006,-0.0018001055650994,-0.0028214377824386,-0.0006852796131058,-0.0062290552233459,-0.0082868083794639,-0.0042881080213256,-0.0044289496582465,-0.0058873216206272,-0.002979092916361,-0.3488263069393369,-0.3679936788890512,0.25,1,3,,,,,,,,,0,repeat-bootstrap-exploratory,harmful,Within-domain neighbor
polymer_tensile,polymer_tg,openpoly,real-inherited-edge,same-domain,1,False,False,False,100,0.0018928498639246,-0.0017582636418537,-0.0026589518877705,-0.0008814832480909,0.0135919496487939,0.0107444913887616,0.0164938962809578,0.0153502132906476,0.0120965413033084,0.0186046084229874,-0.3488263069393369,-0.3131798817085528,0.79,3,3,,,,,,,,,0,repeat-bootstrap-exploratory,ood-improvement-not-specific,Within-domain neighbor
