target,source,label,domain,kind,total_n,training_n_after_target_evaluation_exclusion,raw_evaluation_key_overlap,post_exclusion_overlap,source_groups,group_cv_r2_mean,group_cv_r2_sd,relation,neighborhood,edge_class,is_shuffled_control,parent_source
hydration,pka_acid,Molecular pKa,aqueous molecular acid-base,molecule,4966,4945,21,0,1647,0.2672451463592924,0.10860897254222104,cross-dataset-ionization,1,real-inherited-edge,False,
hydration,pka_base,Molecular conjugate-acid pKa,aqueous molecular acid-base,molecule,6711,6652,59,0,1823,0.38040489865827903,0.08764782259373835,cross-dataset-ionization,1,real-inherited-edge,False,
hydration,photo_e_pipi,Photoswitch E π-π* wavelength,molecular photoswitch,molecule,383,383,0,0,45,-0.29481522873372623,0.4571101313308629,distant-control,0,real-inherited-edge,False,
hydration,polymer_tg,Polymer glass-transition temperature,polymer,molecule,304,304,0,0,216,0.33162379106518713,0.0635445494916239,distant-control,0,real-inherited-edge,False,
hydration,shuffled::solubility,Shuffled Aqueous solubility,aqueous molecular thermodynamics,molecule,9980,9772,208,0,4775,0.40965698990125565,0.15592127572192574,shuffled-control,-1,shuffled-control,True,solubility
polymer_tensile,polymer_young,Polymer Young's modulus,polymer,molecule,82,50,32,0,39,-0.017063945536002916,0.27204409961591136,physical-neighbor,3,real-inherited-edge,False,
polymer_tensile,polymer_hardness,Polymer hardness,polymer,molecule,49,29,20,0,22,-1.2294345140638012,0.951105533858538,physical-neighbor,2,real-inherited-edge,False,
polymer_tensile,polymer_elongation,Polymer elongation at break,polymer,molecule,70,40,30,0,32,-0.15101389780188748,0.2121872733841326,same-domain,2,real-inherited-edge,False,
polymer_tensile,polymer_tg,Polymer glass-transition temperature,polymer,molecule,304,272,32,0,194,0.33195780963379984,0.20630359574796697,same-domain,1,real-inherited-edge,False,
polymer_tensile,photo_e_pipi,Photoswitch E π-π* wavelength,molecular photoswitch,molecule,383,383,0,0,45,-0.29481522873372623,0.4571101313308629,distant-control,0,real-inherited-edge,False,
polymer_tensile,shuffled::polymer_young,Shuffled Polymer Young's modulus,polymer,molecule,82,50,32,0,39,-0.017063945536002916,0.27204409961591136,shuffled-control,-1,shuffled-control,True,polymer_young
polymer_tm,polymer_tg,Polymer glass-transition temperature,polymer,molecule,304,270,34,0,194,0.3201100070924658,0.04905775327145947,physical-neighbor,3,real-inherited-edge,False,
polymer_tm,polymer_crystallization,Polymer crystallization temperature,polymer,molecule,64,41,23,0,31,0.009944019436370133,0.16023811907076066,physical-neighbor,3,real-inherited-edge,False,
polymer_tm,polymer_td,Polymer decomposition temperature,polymer,molecule,84,50,34,0,39,-0.11399311534225683,0.19913093323858083,same-domain,2,real-inherited-edge,False,
polymer_tm,polymer_tensile,Polymer tensile strength,polymer,molecule,78,46,32,0,36,-0.343311334925847,0.21887977539749823,same-domain,1,real-inherited-edge,False,
polymer_tm,photo_e_pipi,Photoswitch E π-π* wavelength,molecular photoswitch,molecule,383,383,0,0,45,-0.29481522873372623,0.4571101313308629,distant-control,0,real-inherited-edge,False,
polymer_tm,shuffled::polymer_crystallization,Shuffled Polymer crystallization temperature,polymer,molecule,64,41,23,0,31,0.009944019436370133,0.16023811907076066,shuffled-control,-1,shuffled-control,True,polymer_crystallization
