repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
1,15,15,extra-trees-primary,all,catalysis_control,3.5042391884957307,3.6448822485319226,-0.040135119913594114,-0.13109314886799894,2.5477983821416066,0.10893453510043863,110
0,15,15,extra-trees-primary,hard_ood_fixed,catalysis_control,5.284197930911279,5.211648545978601,0.013729498001632718,-0.6432237115683386,3.9252470697299247,-0.3599282028544139,44
1,15,15,extra-trees-primary,hard_ood_fixed,catalysis_control,4.670483149080191,4.689778768468024,-0.004131396853799416,-0.33061116669274204,3.351543761265724,-0.05773647866236147,44
0,15,15,extra-trees-primary,ood_q1,catalysis_control,1.800346668308812,1.7668718191129207,0.01859355744376531,-3.5024731098264335,0.9577810101635877,0.15672050369559268,28
1,15,15,extra-trees-primary,ood_q1,catalysis_control,1.6590282206258935,1.6267859079849307,0.019434457015323633,0.27734326681082666,1.1625565117570364,0.16328776928523522,28
0,15,15,extra-trees-primary,ood_q2,catalysis_control,3.4991559863152686,3.4545577513271666,0.012745426372107942,-0.2422305207778903,2.4933054294533004,0.08823080548529201,27
1,15,15,extra-trees-primary,ood_q2,catalysis_control,3.365908595643993,3.719846072476737,-0.1051536210135932,-0.6602321759799299,2.7073307689210924,-0.41550908742381454,27
0,15,15,extra-trees-primary,ood_q3,catalysis_control,5.639034048244619,5.548548507156717,0.016046283869498728,-0.5287359086990939,3.654399628701303,-0.04722691239817449,28
1,15,15,extra-trees-primary,ood_q3,catalysis_control,5.0869110356891225,5.231753008442779,-0.028473462920319194,-0.2479067415187688,4.093580932532395,-0.21846690866404983,28
0,15,15,extra-trees-primary,ood_q4,catalysis_control,4.183721822782101,4.053043995220246,0.031234827050464965,-0.8158325199423528,3.167162527987909,-0.4806106870229007,27
1,15,15,extra-trees-primary,ood_q4,catalysis_control,3.001609908185889,3.026228754753221,-0.008201880764116735,-0.10988286179121465,2.221779364244565,0.03398665690508133,27
0,15,15,extra-trees-primary,all,shuffled_thermoelectric,4.027523999073674,4.024634529271528,0.0007174308093038777,-0.37906350136249567,2.6264045522729584,0.10048293666305161,110
1,15,15,extra-trees-primary,all,shuffled_thermoelectric,3.5042391884957307,3.5962848710354076,-0.026266951993990314,-0.10113239263641738,2.4993706527436497,0.11439969910309954,110
0,15,15,extra-trees-primary,hard_ood_fixed,shuffled_thermoelectric,5.284197930911279,5.287876895587715,-0.0006962200743682247,-0.6916445871955397,3.990769794653609,-0.40745209796944254,44
1,15,15,extra-trees-primary,hard_ood_fixed,shuffled_thermoelectric,4.670483149080191,4.6718297721648465,-0.00028832629123625537,-0.3204454711998088,3.3000636616076475,-0.12735169924032447,44
0,15,15,extra-trees-primary,ood_q1,shuffled_thermoelectric,1.800346668308812,1.773175978762933,0.01509192091954282,-3.53465987775286,1.0140327451957047,0.11003147769661734,28
1,15,15,extra-trees-primary,ood_q1,shuffled_thermoelectric,1.6590282206258935,1.6957320505607514,-0.022123692339007232,0.21479020671033822,1.1902261278379986,0.14215259545082534,28
0,15,15,extra-trees-primary,ood_q2,shuffled_thermoelectric,3.4991559863152686,3.4558906865158794,0.012364495886606371,-0.24318933075538296,2.563180399496112,0.09891619715306092,27
1,15,15,extra-trees-primary,ood_q2,shuffled_thermoelectric,3.365908595643993,3.524043630216873,-0.04698138112767871,-0.4900520574956744,2.6190922833815105,-0.3165928902707536,27
0,15,15,extra-trees-primary,ood_q3,shuffled_thermoelectric,5.639034048244619,5.669556733849545,-0.0054127507200329005,-0.5961433898989212,3.6420009662170534,-0.40066012556044445,28
1,15,15,extra-trees-primary,ood_q3,shuffled_thermoelectric,5.0869110356891225,5.2532494416332085,-0.03269929526525564,-0.25818270629775397,4.0848284317233725,-0.21294167770105824,28
0,15,15,extra-trees-primary,ood_q4,shuffled_thermoelectric,4.183721822782101,4.1776057447419275,0.001461874928411661,-0.9291591497524665,3.3085068905212305,-0.5396243764237273,27
1,15,15,extra-trees-primary,ood_q4,shuffled_thermoelectric,3.001609908185889,2.9447344636632824,0.018948313159380812,-0.0509109482248189,2.0931019438067513,0.012230557365562868,27
0,15,15,extra-trees-primary,all,thermoelectric_neighbor,4.027523999073674,3.9778684154736808,0.01232905964344693,-0.3472003672568278,2.6399250817938387,0.1422870473020558,110
1,15,15,extra-trees-primary,all,thermoelectric_neighbor,3.5042391884957307,3.5407055965744805,-0.010406369576160061,-0.06736019232441981,2.3983523950802907,0.1406331408480817,110
0,15,15,extra-trees-primary,hard_ood_fixed,thermoelectric_neighbor,5.284197930911279,5.200691143266102,0.01580311501139707,-0.6363212753413576,4.008236454840039,-0.34056687393009605,44
1,15,15,extra-trees-primary,hard_ood_fixed,thermoelectric_neighbor,4.670483149080191,4.681742864237378,-0.002410824490268228,-0.3260550869595453,3.2486923392069396,-0.14290255688798853,44
0,15,15,extra-trees-primary,ood_q1,thermoelectric_neighbor,1.800346668308812,1.7729880074176625,0.015196329336310226,-3.5336985056749857,1.0097000446698519,0.1647268384913368,28
1,15,15,extra-trees-primary,ood_q1,thermoelectric_neighbor,1.6590282206258935,1.73689911503262,-0.04693765509145383,0.1762025602468058,1.206868913120962,0.1400028764585227,28
0,15,15,extra-trees-primary,ood_q2,thermoelectric_neighbor,3.4991559863152686,3.451279020951843,0.013682432435326143,-0.2398736308858498,2.6185105796506614,0.12244274809160303,27
