donor,raw_row_id,material_key,elemental_system,doi,value_raw,log_value,temperature_c,process_cast_or_melt,process_wrought,process_powder,process_heat_treated,process_additive,phase_fcc,phase_bcc,phase_hcp,phase_amorphous,phase_multiphase
borg_ys,608,Al:0.2|Cr:0.2|Nb:0.2|Ti:0.2|V:0.2,Al|Cr|Nb|Ti|V,10.1016/j.jallcom.2015.08.224,860.0,2.934498451243568,800.0,0,0,0,1,0,0,0,0,0,0
borg_ys,609,Al:0.2|Cr:0.2|Nb:0.2|Ti:0.2|V:0.2,Al|Cr|Nb|Ti|V,10.1016/j.jallcom.2015.08.224,65.0,1.8129133566428555,1000.0,0,0,0,1,0,0,0,0,0,0
borg_ys,610,Al:0.2|Cr:0.2|Nb:0.2|Ti:0.2|V:0.2,Al|Cr|Nb|Ti|V,10.1016/j.jallcom.2015.08.224,1550.0,3.1903316981702914,25.0,0,0,0,1,0,0,0,0,0,0
borg_ys,242,Al:0.2|Cu:0.2|Fe:0.2|Ni:0.2|Ti:0.2,Al|Cu|Fe|Ni|Ti,10.1016/j.apsusc.2015.07.207,1074.0,3.0310042813635367,25.0,1,0,0,0,0,1,0,0,0,0
borg_ys,249,Al:0.2|Li:0.2|Mg:0.2|Sn:0.2|Zn:0.2,Al|Li|Mg|Sn|Zn,10.1007/s11837-015-1402-z,600.0,2.7781512503836434,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,263,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1007/s11837-014-1066-0,2000.0,3.3010299956639813,25.0,0,0,0,0,0,0,0,0,0,0
borg_ys,264,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1007/s11837-014-1066-0,1597.0,3.203304916138483,800.0,0,0,0,0,0,0,0,0,0,0
borg_ys,265,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1007/s11837-014-1066-0,745.0,2.8721562727482928,1000.0,0,0,0,0,0,0,0,0,0,0
borg_ys,266,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1007/s11837-014-1066-0,250.0,2.3979400086720375,1200.0,0,0,0,0,0,0,0,0,0,0
borg_ys,529,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1016/j.matdes.2017.11.033,2197.0,3.3418300569205104,25.0,0,0,0,0,0,0,0,0,0,0
borg_ys,920,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1016/j.actamat.2019.06.032,2000.0,3.3010299956639813,23.0,0,0,0,0,0,0,0,0,0,0
borg_ys,946,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1016/j.actamat.2019.06.032,745.0,2.8721562727482928,1000.0,0,0,0,0,0,0,0,0,0,0
borg_ys,972,Al:0.2|Mo:0.1|Nb:0.2|Ta:0.1|Ti:0.2|Zr:0.2,Al|Mo|Nb|Ta|Ti|Zr,10.1016/j.actamat.2019.06.032,250.0,2.3979400086720375,1200.0,0,0,0,0,0,0,0,0,0,0
borg_ys,278,Al:0.2|Mo:0.2|Nb:0.2|Ti:0.2|V:0.2,Al|Mo|Nb|Ti|V,10.3390/e16020870,1375.0,3.1383026981662816,25.0,1,0,0,0,0,0,1,0,0,0
borg_ys,282,Al:0.2|Nb:0.2|Ta:0.2|Ti:0.2|V:0.2,Al|Nb|Ta|Ti|V,10.1016/j.proeng.2012.03.043,993.0,2.996949248495381,25.0,1,0,0,0,0,0,1,0,0,0
borg_ys,444,Al:0.2|Nb:0.2|Ti:0.2|V:0.2|Zr:0.2,Al|Nb|Ti|V|Zr,10.1016/j.msea.2017.08.019,1155.0,3.062581984228163,600.0,0,0,0,1,0,0,0,0,0,0
borg_ys,445,Al:0.2|Nb:0.2|Ti:0.2|V:0.2|Zr:0.2,Al|Nb|Ti|V|Zr,10.1016/j.msea.2017.08.019,550.0,2.7403626894942437,800.0,0,0,0,1,0,0,0,0,0,0
borg_ys,446,Al:0.2|Nb:0.2|Ti:0.2|V:0.2|Zr:0.2,Al|Nb|Ti|V|Zr,10.1016/j.msea.2017.08.019,1500.0,3.1760912590556813,25.0,0,0,0,1,0,0,0,0,0,0
borg_ys,718,Al:0.3029385035|Cr:0.2323538322|Fe:0.2323538322|Ni:0.2323538322,Al|Cr|Fe|Ni,10.1016/j.msea.2016.11.019,1122.8,3.0503024039624016,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,248,Al:0.3125|Li:0.15625|Mg:0.3125|Sn:0.0625|Zn:0.15625,Al|Li|Mg|Sn|Zn,10.1007/s11837-015-1402-z,546.0,2.7371926427047373,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,1090,Al:0.3333333333|Co:0.1666666667|Cr:0.1666666667|Fe:0.1666666667|Ni:0.1666666667,Al|Co|Cr|Fe|Ni,10.1016/j.jallcom.2019.07.100,1241.0,3.09377178149873,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,1380,Al:0.6497725796|Cr:0.05003248863|Cu:0.05003248863|Mg:0.05003248863|Si:0.1500974659|Zn:0.05003248863,Al|Cr|Cu|Mg|Si|Zn,10.1038/s41598-019-43329-w,490.0,2.690196080028514,25.0,1,0,0,0,0,1,0,0,0,0
borg_ys,1378,Al:0.6497725796|Cu:0.05003248863|Fe:0.05003248863|Mg:0.05003248863|Si:0.1500974659|Zn:0.05003248863,Al|Cu|Fe|Mg|Si|Zn,10.1038/s41598-019-43329-w,422.0,2.625312450961674,25.0,1,0,0,0,0,1,0,0,0,0
borg_ys,1381,Al:0.6497725796|Cu:0.05003248863|Mg:0.05003248863|Mn:0.05003248863|Si:0.1500974659|Zn:0.05003248863,Al|Cu|Mg|Mn|Si|Zn,10.1038/s41598-019-43329-w,622.0,2.7937903846908188,25.0,1,0,0,0,0,1,0,0,0,0
borg_ys,1379,Al:0.6497725796|Cu:0.05003248863|Mg:0.05003248863|Ni:0.05003248863|Si:0.1500974659|Zn:0.05003248863,Al|Cu|Mg|Ni|Si|Zn,10.1038/s41598-019-43329-w,534.0,2.727541257028556,25.0,1,0,0,0,0,1,0,0,0,0
borg_ys,1382,Al:0.6497725796|Cu:0.05003248863|Mg:0.05003248863|Si:0.1500974659|Zn:0.05003248863|Zr:0.05003248863,Al|Cu|Mg|Si|Zn|Zr,10.1038/s41598-019-43329-w,565.0,2.7520484478194387,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,244,Al:0.8012820513|Cu:0.04967948718|Li:0.04967948718|Mg:0.04967948718|Zn:0.04967948718,Al|Cu|Li|Mg|Zn,10.1007/s11837-015-1402-z,488.0,2.6884198220027105,25.0,1,0,0,0,0,0,0,0,0,0
