repeat,requested_budget,budget,learner,error_distance_spearman,distance_mean,distance_q25,distance_q75
48,15,15,random-forest-sensitivity,0.03583616978112391,10.413126668444528,4.066132645658151,11.354188755549842
49,15,15,random-forest-sensitivity,-0.0016455154069832968,10.59158246049426,4.537799247075053,11.216017284525671
50,15,15,random-forest-sensitivity,0.07903000029323842,10.61088324592557,4.8123790424282396,11.126411746568575
51,15,15,random-forest-sensitivity,0.24324829981870924,10.744712076790881,2.416367411066333,11.283018614976674
52,15,15,random-forest-sensitivity,-0.166179023059757,11.723430733202367,5.929903838746592,11.410777269802974
53,15,15,random-forest-sensitivity,0.13204727373582165,10.182508890649643,3.804165400640044,11.218833473574083
54,15,15,random-forest-sensitivity,-0.27141086040168605,11.30449110592799,6.465615399980537,11.562516114529858
55,15,15,random-forest-sensitivity,0.08177535333498637,10.15899944486884,3.9500038009944203,11.235075832887613
56,15,15,random-forest-sensitivity,-0.259843247398824,10.653310732329802,5.659659631264681,8.190136998425782
57,15,15,random-forest-sensitivity,0.2656493023465501,10.435512097049935,4.3881381872714975,11.277802533810583
58,15,15,random-forest-sensitivity,0.16953316953316952,10.160710267343942,4.20788610694243,9.79928121919173
59,15,15,random-forest-sensitivity,-0.380673083425377,9.930448639320336,2.7317208506019846,10.815436092381542
60,15,15,random-forest-sensitivity,-0.1133331830579537,10.73443777311375,5.124526675554437,10.654245886191857
61,15,15,random-forest-sensitivity,-0.16131911728242002,10.023517443847927,2.8288053152235717,10.9510452066009
62,15,15,random-forest-sensitivity,-0.12355791988819512,11.628021683325136,6.138228134319699,11.767547003898532
63,15,15,random-forest-sensitivity,0.03745012735838423,10.656362625615346,4.924691052486475,11.20156636386653
64,15,15,random-forest-sensitivity,0.021653179451344592,10.538599585381537,4.282453326348191,10.984917080201466
65,15,15,random-forest-sensitivity,0.1959425647499042,11.05020995629207,5.455015624308684,11.453399079973744
66,15,15,random-forest-sensitivity,-0.09916822577373036,11.078160994284127,5.720943278595448,10.369795089631946
67,15,15,random-forest-sensitivity,-0.2315037305862994,10.80928944567413,5.111579013578492,11.450784082167896
68,15,15,random-forest-sensitivity,-0.6416983560604091,10.497780863734853,4.348243899998146,10.815436092381542
69,15,15,random-forest-sensitivity,0.09631900457588531,11.017319426399137,5.164163000892735,10.813563843707625
70,15,15,random-forest-sensitivity,-0.07991794964272028,9.62598136127307,1.9487531008044636,11.128697182988404
71,15,15,random-forest-sensitivity,-0.13986880959358022,10.59511876804635,4.125052822771322,11.756866838700084
72,15,15,random-forest-sensitivity,-0.2781552194396231,11.140440215718018,5.661923516303098,11.175629124428312
73,15,15,random-forest-sensitivity,0.06455394034220657,10.433896046041458,2.8288053152235717,11.320351922512799
74,15,15,random-forest-sensitivity,-0.11743623035635586,9.76751784724689,2.6410922354023008,10.79813584114844
75,15,15,random-forest-sensitivity,-0.004143092216486712,11.031989709220145,5.505131384112843,9.915080649425057
76,15,15,random-forest-sensitivity,0.04436580032910308,9.983293298851093,3.9500112932749203,8.535657148078501
77,15,15,random-forest-sensitivity,0.307260554966977,10.511784495628525,4.154049568374095,11.170394497148349
78,15,15,random-forest-sensitivity,0.5062191465861191,10.192391810303132,1.954127229482515,11.199122624921308
79,15,15,random-forest-sensitivity,-0.17346437346437343,9.828174963338773,3.8695880496951176,10.61335827370885
80,15,15,random-forest-sensitivity,0.16498884205306222,10.302437665793368,4.077926613368352,11.088195497218907
81,15,15,random-forest-sensitivity,-0.021193336789667064,9.623317567653721,2.2118724355405575,10.79813584114844
82,15,15,random-forest-sensitivity,-0.08183846899443228,10.510955812746108,4.868147978868139,11.069445995625625
83,15,15,random-forest-sensitivity,-0.014980952595631494,10.07920953425806,2.3799682772567587,9.782882211272941
84,15,15,random-forest-sensitivity,-0.08481392151116922,11.053586069935566,6.135937885665283,8.62115429493155
85,15,15,random-forest-sensitivity,-0.05129048982259991,10.058355784654735,3.538880634140705,11.21244415158367
86,15,15,random-forest-sensitivity,-0.13598268827626628,10.026427257225832,3.7919995419514696,10.983962297527473
87,15,15,random-forest-sensitivity,0.03232874242048554,10.666227722857496,4.6426300760212325,11.640435097778141
88,15,15,random-forest-sensitivity,-0.01222189662556635,10.413801813377038,4.811118552075649,10.976203795536401
89,15,15,random-forest-sensitivity,-0.16152649730631383,10.280428061447976,4.346293689985166,11.078774087525524
90,15,15,random-forest-sensitivity,0.010184162477740458,10.409831603379327,4.459526429442019,10.976203795536401
91,15,15,random-forest-sensitivity,0.009877600703288776,10.429564456152104,5.037314377697882,8.889121609987622
92,15,15,random-forest-sensitivity,0.14908369587268672,11.012877771046428,4.385113548794838,11.03732586451326
93,15,15,random-forest-sensitivity,-0.026220107342012248,10.893204350089732,5.439646814691188,11.407984705104363
94,15,15,random-forest-sensitivity,-0.18569979487410682,10.131591614566554,4.051054430815207,11.332639201826932
95,15,15,random-forest-sensitivity,-0.04194937222460158,11.38214343699254,5.920131822256166,11.48350674864184
96,15,15,random-forest-sensitivity,-0.20302053513062687,11.882026161202358,6.5870523041135645,11.304993424213109
97,15,15,random-forest-sensitivity,0.2903455582354665,10.92513511989593,5.532762806915389,11.455571049469148
98,15,15,random-forest-sensitivity,-0.1023149922232491,11.018530730799782,5.548127822991243,11.561514751781042
99,15,15,random-forest-sensitivity,-0.01437684556950612,9.024925804556238,2.232707425230544,9.658730969176403
0,30,30,extra-trees-primary,0.2835380835380835,9.997611772898063,2.16279942151093,11.207306840591214
1,30,30,extra-trees-primary,0.5876892628765531,9.595115162762957,1.8952295909532126,11.144227823479184
2,30,30,extra-trees-primary,0.3867502197777427,10.04133410292109,3.6086197720836535,10.673468280649736
3,30,30,extra-trees-primary,-0.13905732254356107,10.409506306931625,4.394529812047438,11.724453995808139
4,30,30,extra-trees-primary,0.014719473435069765,9.497726970938047,2.3982563168836983,8.415182634353686
5,30,30,extra-trees-primary,0.2584270676013795,9.906863502920276,2.416367411066333,10.986986762010233
6,30,30,extra-trees-primary,0.15502558438338254,9.092302701582756,1.9184487743846081,8.786615398416437
7,30,30,extra-trees-primary,0.17552915718053333,9.63604370883029,1.8382857759374567,11.14001129061661
8,30,30,extra-trees-primary,-0.18866623086806575,9.709054597492132,3.944101622379339,8.415182634353686
9,30,30,extra-trees-primary,-0.1522575118905394,10.666463453434774,4.238986433042796,11.26448169441218
10,30,30,extra-trees-primary,0.4349615670716588,9.960196527956265,3.9743796436055514,8.206007780975327
11,30,30,extra-trees-primary,0.07622117530374412,9.483723192125485,1.823325018241014,10.975979080870484
12,30,30,extra-trees-primary,0.20223609764894168,10.600822555155194,5.249293069593459,11.0335870897418
13,30,30,extra-trees-primary,0.29655794242950206,9.141719406152943,1.8629622393217053,8.786615398416437
14,30,30,extra-trees-primary,0.3556161666253409,9.76118544922391,3.630676385695818,9.149638817748738
15,30,30,extra-trees-primary,0.28075197799968443,9.322259300746722,1.7985166470560672,10.702072142437672
16,30,30,extra-trees-primary,-0.31664675517886526,11.193913634433565,5.786463398019775,11.291419147408659
17,30,30,extra-trees-primary,0.3621892117304961,10.426358192583983,4.3727575290708804,11.468727261147322
