file_id,archive_name,archive_bytes,archive_sha256,download_url,supplied_md5,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags
47629834,TP_k07_04.zip,18763266,5f735422f619c812d126ea2a4ce930de0b5f0449ca7eaebe6f1e94dd7693e715,https://ndownloader.figshare.com/files/47629834,fa06098c7fa59e2b5c1d892db67ed294,INT134,TP_k07_04,2,INT,k,7,4,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629846,TP_k05_06.zip,19122719,1e77e3c43a2cd71646fda13bd13ba9669c3d6bd784ea8a56e2105b65b4cc379d,https://ndownloader.figshare.com/files/47629846,c729cb4c3d9c9103ddf14aeab9559567,INT119,TP_k05_06,2,INT,k,5,6,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629906,TP_k05_04.zip,18704149,c10d18c22c80c5347049d285a49a63004ca0e94dd9f06823bea22158d9337012,https://ndownloader.figshare.com/files/47629906,8b4dd4b4a0e9ef66d43d15983d6e1619,INT066,TP_k05_04,2,INT,k,5,4,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629909,TP_k07_05.zip,18963779,4c968dc8b6c1d3a7f791afe6acb89000993f3aedbcbe49008ab7b6aa6338d0c3,https://ndownloader.figshare.com/files/47629909,600ae7e8f17b93e33f4b17e68a40e1eb,INT052,TP_k07_05,2,INT,k,7,5,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629915,TP_k04_04.zip,18830299,138b9457fd138e034a887867d4c95ea61bde3d66e94599594d5ec339a0b79a88,https://ndownloader.figshare.com/files/47629915,0a1a71ab2e883ea3a5b2b8af92a52e98,INT090,TP_k04_04,2,INT,k,4,4,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629942,TP_k06_05.zip,19132983,a243c38ffb10c872c851f318e7ea86905f19ff8fcbb16a993b1eea1dd4e9f008,https://ndownloader.figshare.com/files/47629942,b25eaf028bde664bf6fc72614acfcdc7,INT176,TP_k06_05,2,INT,k,6,5,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629945,TP_k06_06.zip,18894615,eee9f9e069e9cee31dba9adf34e313fdb19596e8d16905f9331d88f8f12abae1,https://ndownloader.figshare.com/files/47629945,5a3b472542ae0520ec335c1048368248,INT098,TP_k06_06,2,INT,k,6,6,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47629960,TP_z23_02.zip,17356806,35c0cdf5144e74e31dec8a7f86c28c32a773523e551ee9b673168d0d5a1e0989,https://ndownloader.figshare.com/files/47629960,1e897fb10c5d7de3f6c12f95a6790d1b,TP_z23_02,TP_z23_02,2,HM,z,23,2,pi,exact-archive-serial-plus-internal-serial,
47630290,TP_z20_03.zip,20862751,2233401ab3f91745d71bd4f15578a39153e344b46851c251c31bc987163deb4e,https://ndownloader.figshare.com/files/47630290,1d68d0b7ebeab4dd6edb8f35a342d10c,TP_z20_03,TP_z20_03,2,HM,z,20,3,pi,exact-archive-serial-plus-internal-serial,
47630314,TP_z02_03.zip,20594587,ff64731955b21a7fd3e44c8985e646445cb7226127f663f198f107f94fd60161,https://ndownloader.figshare.com/files/47630314,b5ef019599b838ef2f4cb53394b8bc22,139,TP_z02_03,2,SIE,z,2,3,pi,exact-archive-serial-plus-internal-serial,
