target,train_n,repeats,rmse_mean,rmse_ci_lo,rmse_ci_hi,rmse_monotone
polymer_tensile,30,60,0.37233765106566025,0.32000110595801773,0.48315405915366827,0.37233765106566025
polymer_tensile,40,60,0.3629556634678933,0.32719234539248904,0.4212831814139636,0.3629556634678933
polymer_tensile,46,60,0.35543367726027014,0.3554336772602703,0.3554336772602703,0.35543367726027014
polymer_tm,8,60,78.06195004847646,64.02828023948398,111.00198284017259,78.06730469280461
polymer_tm,10,60,78.07265933713276,63.76813504951463,111.2990702428067,78.06730469280461
polymer_tm,15,60,76.87803577341164,65.54038574857164,98.20287881733631,76.87803577341164
polymer_tm,20,60,75.2834765036052,62.42172327317909,89.51862217685704,75.2834765036052
polymer_tm,30,60,71.29529251807867,51.528933063585214,81.04517735963415,71.29529251807867
polymer_tm,40,60,66.09257420518318,55.48894489590776,78.4295113332057,66.09257420518318
polymer_tm,49,60,62.560578541525516,62.56057854152552,62.56057854152552,62.560578541525516
