repeat,base_r2,aug_r2,delta_r2,base_rmse,aug_rmse,relative_rmse_improvement
87,0.22768866290323975,0.32522019549143333,0.09753153258819358,0.13126282027736588,0.12269491502259122,0.06527290238523129
88,0.3934856088641504,0.42786815089978314,0.034382542035632735,0.11940121973220807,0.11596749350162519,0.02875788235902458
89,-0.021783514524180037,0.04367684345961087,0.0654603579837909,0.15155796837538754,0.14662285279846154,0.0325625609120229
90,0.4571234311170862,0.4765758566360785,0.01945242551899229,0.11143603759706171,0.10942132966993653,0.018079500766261053
91,0.3185425311325838,0.32572196240557894,0.00717943127299514,0.13246569359567412,0.13176605602717065,0.005281651041204508
92,0.14993417886339377,0.44026489472537045,0.2903307158619767,0.1311085151631817,0.10638879609739921,0.18854396325834036
93,0.4178905116591025,0.4746512253509334,0.05676071369183089,0.11587578581000703,0.110081468629438,0.05000455565470373
94,0.4102747225649037,0.439787519261011,0.02951279669610729,0.09444484294689852,0.09205126626953848,0.025343646118463268
95,0.2144745976771225,0.22942974915349412,0.014955151476371609,0.13375132566724587,0.1324720013166492,0.00956494707035231
96,0.484860986206209,0.5030993172436444,0.01823833103743544,0.09968176796641495,0.09790126596460104,0.017861862185407917
97,0.4136397903382748,0.4274036784626847,0.013763888124409873,0.09364606989939978,0.09254044571556941,0.01180641307230613
98,0.3678414620045213,0.4127083207321177,0.04486685872759644,0.1226156856812204,0.11818434457640391,0.03614008338490408
99,0.4515618980979734,0.4725963119967923,0.021034413898818882,0.11399202164641627,0.11178466446483871,0.019364137504503567
100,0.46194634914944455,0.49236552847393145,0.0304191793244869,0.11257512000190346,0.10934657392442444,0.028679037405640186
101,0.356524864971009,0.3367918048570435,-0.019733060113965473,0.1188001059215694,0.12060793592747701,-0.01521741072437367
102,0.31734672644454587,0.3418703956299628,0.02452366918541693,0.12065398128979937,0.11846697034845746,0.018126305638343738
103,0.43995182242025865,0.502043591998324,0.06209176957806539,0.11333801120633594,0.10687067592528754,0.057062367798870056
104,0.4852537217068965,0.5115934758756024,0.02633975416870593,0.10603820851803594,0.10328957786867346,0.02592113435125576
105,0.5318954866769512,0.5565813113798321,0.024685824702880943,0.10440382851310775,0.10161363955278355,0.026724967848989405
106,0.24231784700501446,0.22191463906322695,-0.020403207941787516,0.13072148430482683,0.13246985590554378,-0.01337478387745318
107,0.5174322418157302,0.5802075795643333,0.06277533774860311,0.10343958694288484,0.09647725162295416,0.06730822817162833
108,-0.093581224079061,0.12761855682930878,0.22119978090836978,0.1406715151608627,0.12564171392239362,0.10684324556596972
109,0.6397643256047714,0.6757923889543909,0.0360280633496195,0.09210154851344746,0.08737459497304761,0.05132327975690522
110,0.07512266176243876,0.10230432890168317,0.027181667139244414,0.13963309480403965,0.1375659209889091,0.014804325708254283
111,0.10209574886464101,0.09584764808803581,-0.006248100776605203,0.12959283478809086,0.13004294145173884,-0.0034732372695140614
112,-0.11144642616367229,0.087545691247092,0.19899211741076428,0.13662735899525708,0.12379382151579651,0.09393094892441028
113,0.4263519284885303,0.4216877578608621,-0.004664170627668218,0.10584395043362244,0.1062733729721036,-0.004057128789334668
114,0.39243652202923907,0.5045825296855313,0.11214600765629223,0.11245904953275498,0.10155100776976517,0.09699567805623971
115,0.3265917952534274,0.414397035146001,0.0878052398925736,0.11580905123773019,0.10799531992810729,0.06747081705714911
116,0.49374073436399224,0.5283703582604853,0.034629623896493045,0.10928798686812657,0.10548397326322248,0.03480724381440244
117,0.15556710102177984,0.18018269354695282,0.02461559252517298,0.13848929924614323,0.13645585855874437,0.014683016655205485
118,0.4355534877122017,0.5588116848666099,0.12325819715440822,0.11404637752799841,0.10082821972971277,0.11590160147822827
119,0.24042318359652326,0.3046311938401459,0.06420801024362266,0.13462815807276796,0.12881239522225796,0.04319871068403473
120,0.10118597760245063,0.14541300002515123,0.0442270224227006,0.13405686879792234,0.13071706638100108,0.024913325567492383
121,0.2869560097948336,0.2854840692899322,-0.0014719405049014034,0.10808269724772251,0.10819419757836252,-0.001031620541301318
122,0.3861372270586678,0.4029578763959456,0.016820649337277782,0.1163741967459822,0.1147687190910706,0.013795821580758054
123,0.2817771776424872,0.2938795988612519,0.012102421218764703,0.12672398984996425,0.12565177184331017,0.00846104993950664
124,0.46154375899153854,0.47139039330238164,0.009846634310843094,0.11254303586464648,0.11150926272774922,0.009185580688800326
125,0.041682721772803744,0.10383176411233863,0.06214904233953489,0.13532575709240496,0.13086411711970533,0.03296962875776173
126,0.4534278957313853,0.49672968306496623,0.04330178733358092,0.1065504654652544,0.10224269256731484,0.040429414166607294
127,0.329521606398689,0.3627386259286115,0.03321701952992251,0.1203870919499437,0.11736708764496095,0.025085781673656854
128,0.23681529945261015,0.40039800850547047,0.16358270905286032,0.1318581744398648,0.11687557600264865,0.11362661815137681
129,0.41240773638949024,0.43461689112834034,0.0222091547388501,0.11445760739305987,0.11227370215009237,0.019080472610856918
130,0.4732115803852991,0.5134391424044007,0.040227562019101604,0.11833648725092559,0.11372845723675384,0.038940060848694016
131,0.26510665640942455,0.2642391305205295,-0.0008675258888950488,0.1309781814841095,0.13105546715456512,-0.0005900652275050436
132,0.3826208418096082,0.43467325822662495,0.052052416417016745,0.11421729090094486,0.10929634468330118,0.04308407403841661
133,0.30195932361845457,0.28857201729128656,-0.013387306327168003,0.11887269669880371,0.12000717746888738,-0.009543661425955415
134,0.33695204147469515,0.40354523816059507,0.06659319668589991,0.11053856957354737,0.10484075124195727,0.051545974889778405
135,0.4606609193882486,0.49077711670747604,0.030116197319227433,0.10046340836457424,0.09761822772220799,0.028320566549377833
136,0.5373959978280188,0.5385355908124648,0.0011395929844459918,0.09087987675725914,0.09076786958682885,0.0012324749375427105
137,0.39120110663393204,0.415924612254548,0.024723505620615982,0.12173339772204912,0.11923596466692,0.020515594749367337
138,0.3631510906534924,0.36791333512464475,0.004762244471152366,0.10486142760126023,0.10446862421063574,0.003745928313298755
139,0.440135598145992,0.49098954307398723,0.05085394492799522,0.10833974924913285,0.10330224291409373,0.04649730472843455
140,0.47200740420118725,0.5151309556929048,0.04312355149171754,0.10867224669979562,0.10413985261739452,0.041707006342858954
141,0.3318169471036403,0.3302466695900451,-0.0015702775135951752,0.11311895856847656,0.11325179935139527,-0.0011743458797695346
142,0.12837363925954015,0.26695734245960523,0.13858370320006508,0.14865524346293676,0.1363263096202127,0.0829364209127138
143,0.30054024288444103,0.3228137537960013,0.022273510911560268,0.11708553887659345,0.11520622791334516,0.016050752136257097
144,0.34047733890718423,0.3893798576202334,0.04890251871304918,0.11789347323904575,0.11343849718953573,0.03778814829279755
145,0.3114030505858524,0.3458649951353687,0.03446194454951634,0.129071109023375,0.12579986921628683,0.025344477411252085
146,0.11831281584133468,0.07503263204177646,-0.043280183799558225,0.12732416030316987,0.1304117618991055,-0.024249927025505467
147,0.4628310725749175,0.49675336184244934,0.033922289267531824,0.10739980752152944,0.10395335317925695,0.03208994896551943
148,0.2959658994486706,0.34617885681888194,0.050212957370211364,0.11857092468020594,0.1142643726368648,0.03632047278838563
149,0.4909168386706416,0.5159548537885001,0.025038015117858525,0.11578173981874001,0.1128986216862383,0.024901319819647907
150,0.28868445495573225,0.3342373898092651,0.045552934853532845,0.11741853278945084,0.11359656522308592,0.032549951660682794
151,0.5327409158965708,0.51620722898936,-0.0165336869072108,0.09475486205178171,0.09641671139064992,-0.01753840703139893
152,-0.2808459925897677,-0.1492834291476488,0.13156256344211892,0.13806459906932203,0.1307818425160756,0.05274890596386523
153,0.3215715693464978,0.3171079865823122,-0.00446358276418557,0.12186607935093317,0.1222663187280192,-0.0032842557930617545
154,0.19676847431599775,0.28049539455902195,0.0837269202430242,0.11788148546588571,0.11156860841359142,0.05355274432914405
155,0.3669569636868574,0.40456019306397606,0.037603229377118685,0.12653428736758837,0.1227186412846391,0.030155036728224005
156,-0.4713213358596424,-0.11975828706529956,0.35156304879434286,0.16751985189733942,0.146141868795573,0.12761462513032432
157,0.30360166062927674,0.3136469353762614,0.01004527474698469,0.12542906130916573,0.12452114265035327,0.007238503177302423
158,0.2974712856791534,0.3102194210185901,0.01274813533943675,0.12981618414371607,0.12863296508289918,0.009114572798619484
159,0.6039384269598198,0.615355203753713,0.01141677679389319,0.09065953939121284,0.08934331960306285,0.014518271292668377
160,0.2925216092280518,0.28094966831250456,-0.011571940915547252,0.12167055283043234,0.12266157509959515,-0.008145128349535501
161,0.25065231867492843,0.26828584395183497,0.017633525276906536,0.11201460085580008,0.11068880029442983,0.01183596201960304
