edge_id,pool,identity,nearest_target_l1,hard_ood_rank,hard_ood_selected,candidate_pool_n,hard_ood_n,target_reference_n
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006280531961|C:0.0174014739|Co:0.0468039643|Cr:0.05650478596|Fe:0.8250698834|Mn:0.001750148238|Mo:0.03440291393|Nb:0.005540469278|Ni:9.63081573e-05|Si:0.0002010170261|V:0.0116009826,0.031464213605769994,13,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.001869098907|C:0.0009305513812|Co:9.485427076e-05|Cr:0.0001079479583|Fe:0.7846217339|Mn:0.0001019508495|Mo:0.0001169436215|Nb:6.017099156e-05|Ni:0.1669195281|Si:0.0001989041083|Ti:0.02408838699|V:0.02088992897,0.030743256864140027,14,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006101743878|C:0.004571306479|Co:9.312661559e-05|Cr:0.1790511728|Fe:0.7402115525|Mn:0.03000857645|Mo:0.0001140325905|Nb:5.911689561e-05|Ni:0.03931123515|Si:0.005861675267|V:0.0001080308752,0.030057789562879952,15,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006060466656|C:0.0004540349607|Co:0.09720748498|Cr:0.164012629|Fe:0.6610509009|Mn:9.930764669e-05|Mo:0.0001140087787|Nb:5.870452025e-05|Ni:0.03810293393|Si:0.03750288772|Ti:0.0006840526721|V:0.0001070082396,0.029671771858630003,16,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.002770061218|C:0.0004790105861|Co:0.07710170395|Cr:0.0001110024532|Fe:0.7000154703|Mn:0.0005230115586|Mo:0.02980065859|Nb:6.190136802e-05|Ni:0.1700037571|Si:0.001020022542|Ti:0.01800039781|V:0.0001130024974,0.029169047392199957,17,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0108006718|C:0.0004780297334|Co:0.08470526867|Cr:0.0001100068424|Fe:0.6810423608|Mn:0.0001040064692|Mo:0.02930182257|Nb:6.18038442e-05|Ni:0.1810112589|Si:0.0002040126896|Ti:0.007790484568|V:0.004390273075,0.021020167526119973,18,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006167440512|C:0.01059560282|Co:0.1199502207|Cr:0.1349439982|Fe:0.7057071315|Mn:0.0001009581024|Mo:0.01139527096|Nb:0.0004778017123|Ni:0.008986270698|Si:0.007117046426|V:0.0001089547838,0.020185406949099937,19,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006359405396|C:0.0004759554982|Co:0.0974908846|Cr:0.1109896225|Fe:0.6889355845|Mn:0.0001039902769|Mo:0.03269694284|Nb:6.149425029e-05|Ni:0.06829361455|Si:0.0002039809278|V:0.000111989529,0.018250908824820056,20,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006196556577|C:0.00975031681|Co:0.1301376987|Cr:0.1501588831|Fe:0.6967372176|Mn:0.0001011069813|Mo:0.01161228696|Nb:0.000480508426|Ni:9.500052005e-05|Si:0.0001982097257|V:0.0001091154551,0.017546146301550023,21,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.00103951143|C:0.0004677801433|Co:9.545513609e-05|Cr:0.0001079492638|Fe:0.7986246464|Mn:0.02558797365|Mo:0.0001169450358|Nb:6.047157836e-05|Ni:0.1729187282|Si:0.0004008116185|Ti:0.0004697792038|V:0.0001099483243,0.016001848014380034,22,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.002499942251|C:0.0009369783558|Co:9.5497794e-05|Cr:0.0001079975053|Fe:0.8159811508|Mn:0.0001019976439|Mo:0.008209810353|Nb:6.059860017e-05|Ni:0.1469966044|Si:0.0001999953801|Ti:0.02469942944|V:0.0001099974591,0.015231645991230034,23,True,63,26,249
hard_ood_matbench_alloy_uts_to_ys,fold_0,Al:0.0006180885103|C:0.009721392103|Co:0.1500214831|Cr:0.1340191915|Fe:0.6680956713|Mn:0.004350623009|Mo:0.01190170432|Nb:5.980856459e-05|Ni:0.01120160407|Si:0.009901417883|V:0.000109015611,0.014885274449960007,24,True,63,26,249
