permutation,macro_rmse_shuffled_delta,macro_rmse_neighbor_absolute,relative_gain_vs_neighbor_absolute
66,0.6695453044296349,0.4900712720988895,-0.36622026743597824
67,0.6024431482529713,0.4900712720988895,-0.2292970075001799
68,0.634522148432488,0.4900712720988895,-0.2947548337508963
69,0.6655776021484519,0.4900712720988895,-0.3581240934566505
70,0.6274012231829071,0.4900712720988895,-0.2802244467337527
71,0.6308094371924639,0.4900712720988895,-0.28717897397008696
72,0.65450513688568,0.4900712720988895,-0.3355305118836063
73,0.6474913879714479,0.4900712720988895,-0.3212188202714996
74,0.6765249942585932,0.4900712720988895,-0.3804624608195357
75,0.73340160995295,0.4900712720988895,-0.4965203057341421
76,0.6126691980431412,0.4900712720988895,-0.2501634617740114
77,0.7117221500724874,0.4900712720988895,-0.4522829445282641
78,0.6845034807468743,0.4900712720988895,-0.39674271828925134
79,0.6866968343319589,0.4900712720988895,-0.40121829910771245
80,0.6229472950320899,0.4900712720988895,-0.27113611937324067
81,0.6745195872811439,0.4900712720988895,-0.37637038872385764
82,0.6152398391497372,0.4900712720988895,-0.25540890514714865
83,0.6807300100840978,0.4900712720988895,-0.38904287771990864
84,0.7156114217715687,0.4900712720988895,-0.4602190793733536
85,0.6534049575325839,0.4900712720988895,-0.33328557443117357
86,0.6186793459617793,0.4900712720988895,-0.26242728595798726
87,0.629851063296456,0.4900712720988895,-0.2852233933217798
88,0.6758980089257381,0.4900712720988895,-0.37918308500513653
89,0.7177444855773846,0.4900712720988895,-0.46457163771998
90,0.6753002711538342,0.4900712720988895,-0.3779633894099552
91,0.6727822344837487,0.4900712720988895,-0.37282528641668833
92,0.6618978178785067,0.4900712720988895,-0.3506154218012292
93,0.6453913109381889,0.4900712720988895,-0.31693357207838546
94,0.610253902401335,0.4900712720988895,-0.24523500385510122
95,0.699550262821774,0.4900712720988895,-0.42744597092117376
96,0.6100396025949401,0.4900712720988895,-0.24479772091566843
97,0.6560908624901383,0.4900712720988895,-0.3387662159428686
98,0.6027505536533605,0.4900712720988895,-0.22992427422216632
99,0.6503798094157791,0.4900712720988895,-0.3271127006288619
100,0.6801348654806765,0.4900712720988895,-0.387828473535651
101,0.7022668854862123,0.4900712720988895,-0.43298929251356877
102,0.6612889960878753,0.4900712720988895,-0.34937310904940455
103,0.6305792474977231,0.4900712720988895,-0.2867092674032137
104,0.7142401079388653,0.4900712720988895,-0.457420886721027
105,0.6608421893685681,0.4900712720988895,-0.34846139121417297
106,0.720734775898909,0.4900712720988895,-0.470673383510378
107,0.6588565011911425,0.4900712720988895,-0.34440955571497867
108,0.6502420667425619,0.4900712720988895,-0.3268316340145565
109,0.6167390529632593,0.4900712720988895,-0.2584680802077497
110,0.7234106484167968,0.4900712720988895,-0.4761335536330371
111,0.6639715731233555,0.4900712720988895,-0.35484695987112547
112,0.6344306611047313,0.4900712720988895,-0.2945681520721992
113,0.6601198650836814,0.4900712720988895,-0.34698747440653577
114,0.6115570150805373,0.4900712720988895,-0.2478940307219919
115,0.7033702255142775,0.4900712720988895,-0.4352406793849921
116,0.6834380361694915,0.4900712720988895,-0.3945686578249037
117,0.6657570235774357,0.4900712720988895,-0.3584902063859301
118,0.7292601271022577,0.4900712720988895,-0.4880695291094379
119,0.6123406206602637,0.4900712720988895,-0.24949299320834695
120,0.7040323720468934,0.4900712720988895,-0.43659180231407135
121,0.6010216824020967,0.4900712720988895,-0.2263964786754915
122,0.670200491085644,0.4900712720988895,-0.36755718860094055
123,0.6468978650827967,0.4900712720988895,-0.32000772522789656
124,0.6280423383579408,0.4900712720988895,-0.2815326547670205
125,0.675348896680812,0.4900712720988895,-0.37806261074723047
126,0.6661244034924164,0.4900712720988895,-0.3592398522760214
127,0.6334244845363375,0.4900712720988895,-0.29251502913747873
128,0.6929466499222777,0.4900712720988895,-0.41397116985557725
129,0.6403402721488329,0.4900712720988895,-0.30662682880056935
130,0.6958626876976977,0.4900712720988895,-0.4199214018757711
131,0.6174720360245831,0.4900712720988895,-0.2599637464568336
132,0.6308289873033709,0.4900712720988895,-0.2872188663531341
133,0.6514907049522518,0.4900712720988895,-0.32937950466272214
134,0.5959506587553908,0.4900712720988895,-0.21604895590602236
135,0.6880327472353339,0.4900712720988895,-0.403944255472495
136,0.6520124553072374,0.4900712720988895,-0.3304441464499279
137,0.6411758256861922,0.4900712720988895,-0.308331792108826
138,0.6257766588443712,0.4900712720988895,-0.2769094914792276
139,0.6992636907644849,0.4900712720988895,-0.42686121504258123
140,0.6391783840503513,0.4900712720988895,-0.30425597344823374
141,0.709643977812414,0.4900712720988895,-0.44804239345255437
142,0.6159689678291111,0.4900712720988895,-0.2568967064546017
