target,method,learner,repeat,scope,entities,coverage_fraction,relative_rmse_gain,augmented_r2
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,2,q4,25,0.32,0.057086613813489166,-5.854978616889515
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,ridge_alpha_10,2,q4_covered,8,1.0,0.06414225884950475,-43.539574480538285
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,2,q1,33,1.0,0.25912230064060227,-4.211637215606744
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,2,q4,25,0.32,0.00948783384064987,0.21261891629923624
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,random_forest,2,q4_covered,8,1.0,0.09045106106591591,0.4639580317647759
electrolyte_conductivity,caltech_features_hard_coverage_gate,random_forest,2,q1,33,1.0,0.2730949017770375,-4.01691289970861
electrolyte_conductivity,caltech_features_hard_coverage_gate,random_forest,2,q4,25,0.32,0.00864142843824217,0.21127268680686362
electrolyte_conductivity,caltech_features_hard_coverage_gate,random_forest,2,q4_covered,8,1.0,0.08205625519755975,0.4540174236188501
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,2,q1,33,1.0,-0.03521598509863006,-9.175202719810294
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,2,q4,25,0.32,-0.011245985911786575,0.17931032443655948
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,random_forest,2,q4_covered,8,1.0,-0.09857153074061474,0.21800616287803454
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,2,q1,33,1.0,0.03752620432425506,-4.470867786526603
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,2,q4,25,0.32,0.022370442794007264,0.28605450300779345
electrolyte_conductivity,caltech_scalar_hard_coverage_gate,extra_trees,2,q4_covered,8,1.0,0.14354874200466394,0.32833587560441535
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,2,q1,33,1.0,0.054871317455189826,-4.275459306913218
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,2,q4,25,0.32,0.032524939200179175,0.3008087743841922
electrolyte_conductivity,caltech_features_hard_coverage_gate,extra_trees,2,q4_covered,8,1.0,0.21607954765039336,0.4372819587666291
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,2,q1,33,1.0,-0.164920062543479,-7.014393103616959
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,2,q4,25,0.32,-0.028205391194268375,0.21027449289304978
electrolyte_conductivity,shuffled_caltech_hard_coverage_gate,extra_trees,2,q4_covered,8,1.0,-0.15956621823910255,-0.23122650964496083
