entity_id,split,component_id,size_matched_obelix_adjacent_ionic_for_borg_wrong_mechanical_rank,size_matched_borg_wrong_mechanical_for_obelix_adjacent_ionic_rank,coverage_matched_obelix_adjacent_ionic_vs_borg_wrong_mechanical,size_matched_obelix_adjacent_ionic_for_ocx_wrong_catalysis_rank,size_matched_ocx_wrong_catalysis_for_obelix_adjacent_ionic_rank,coverage_matched_obelix_adjacent_ionic_vs_ocx_wrong_catalysis,size_matched_caltech_adjacent_ionic_for_borg_wrong_mechanical_rank,size_matched_borg_wrong_mechanical_for_caltech_adjacent_ionic_rank,coverage_matched_caltech_adjacent_ionic_vs_borg_wrong_mechanical,size_matched_caltech_adjacent_ionic_for_ocx_wrong_catalysis_rank,size_matched_ocx_wrong_catalysis_for_caltech_adjacent_ionic_rank,coverage_matched_caltech_adjacent_ionic_vs_ocx_wrong_catalysis,skill_matched_wrong_rank
starry-d41caf575f607a8d1bdf,development,component-4fef417831d4fc71,0.8907875185735513,0.45083074429285425,False,0.26171822234229364,0.9739970282317979,False,0.5709171957314603,0.45265432932594896,False,0.38781575037147104,0.9815615291098203,False,0.975482912332838
starry-d4247c5b00a02feb0d61,validation,component-1cc303608ed53e22,0.3797784681885722,0.9356342023503985,False,0.950222882615156,0.8701202215318115,False,0.3820748345265433,0.9394164527894097,False,0.37910306632446306,0.8682290963123058,False,0.8124409023368905
starry-d446366683dec4e428d4,validation,component-fdbf1d3168ab5eb7,0.055382952856949885,0.06024584627853573,True,0.08901796568958531,0.09806835066864784,False,0.07307848169660948,0.05943536404160475,True,0.09698770768607322,0.07267324057814399,False,0.0503849790625422
starry-d44a1b1174dbbb313b77,development,component-022a8b75bea6ecb7,0.05362690801026611,0.06240713224368499,True,0.10104011887072809,0.11009050384979062,False,0.08591111711468323,0.04187491557476699,True,0.09442118060245847,0.06862082939348912,False,0.0516007024179386
starry-d44c70216e85f1534386,development,component-c03e03451de31342,0.4469809536674321,0.39389436714845333,False,0.8511414291503444,0.24300959070647035,False,0.5736863433743077,0.4017290287721194,False,0.68094015939484,0.29292178846413613,False,0.2442253140618668
starry-d45a121ef4789224c4a9,evaluation,component-a1ac22469be12635,0.8458732946102931,0.8442523301364312,False,0.8031878967985951,0.6754018641091449,False,0.7853572875861138,0.8803187896798595,False,0.47771173848439824,0.7315952992030258,False,0.6456841820883426
starry-d45fbaeb8fda28dbd713,development,component-cbd5e03f1b1b9552,0.34735917871133326,0.34925030393083883,False,0.11731730379575847,0.396528434418479,False,0.04734567067405106,0.35992165338376336,False,0.018708631635823314,0.40557881939754153,False,0.3888288531676347
starry-d46ad19698f55cb0a9ae,development,component-5ce59430fd895a54,0.13643117655004727,0.20181007699581252,False,0.2505740915844928,0.41348102120761854,False,0.03512089693367554,0.14602188302039715,False,0.6905308658651897,0.4561664190193165,False,0.4379305686883696
starry-d47869e40dc362db31ac,development,component-4fef417831d4fc71,0.014318519519113873,0.18938268269620423,False,0.014318519519113873,0.47913008239902743,False,0.010401188707280832,0.25597730649736594,False,0.011076590571389978,0.4948669458327705,False,0.4623801161691206
starry-d478dc894db06f0e49c9,validation,component-1cc303608ed53e22,0.5337025530190463,0.5886802647575308,False,0.8366878292584088,0.20842901526408214,False,0.6471700661893827,0.6332567877887343,False,0.8524922328785628,0.26529785222207214,False,0.2690801026610833
starry-d47ed4f41759bc3f6f8a,validation,component-1cc303608ed53e22,0.7668512765095231,0.8131838443874105,False,0.9520464676482507,0.2707010671349453,False,0.598676212346346,0.7494259084155073,False,0.9663649871673646,0.304876401458868,False,0.3139267864379306
starry-d480b31bd9f58133ecc3,development,component-e984af4a9a74e641,0.9803458057544239,0.28083209509658247,False,0.8752532756990409,0.25692286910711876,False,0.5143860597055248,0.23841685803052817,False,0.5890855058759962,0.26354180737538835,False,0.25037147102526
starry-d48189ca69cae1c0536a,development,component-d64ab8551b24477e,0.05133054167229502,0.1723625557206538,False,0.24436039443468863,0.5636903957854924,False,0.04768337160610563,0.13994326624341483,False,0.6555450493043361,0.5655139808185871,False,0.5557206537890045
starry-d482bac52f52eb57afcb,evaluation,component-8adf302c78da9172,0.78360124273943,0.004862893421585844,False,0.5311360259354316,0.5053356747264622,False,0.7810347156558152,0.011616912062677292,False,0.5569363771444009,0.4427934621099554,False,0.5183709307037687
starry-d48f50203b46a08b2d9c,development,component-d17ab4f5c598bcb1,0.49277320005403213,0.05133054167229502,False,0.3739700121572336,0.766175874645414,False,0.8637714440091855,0.07523976766175874,False,0.5493718762663785,0.6506821558827502,False,0.616169120626773
starry-d4a0f80c066b48850e0e,evaluation,component-eb9608bc147ffbe9,0.410711873564771,0.7249088207483453,False,0.6485884101040119,0.6075239767661759,False,0.3614075374848035,0.7070782115358638,False,0.913075780089153,0.6040118870728083,False,0.7058624881804674
