scope,seed,score,initial_source_spearman,source_weight,first_hit_rank,first_hit_fraction,top10_recall_top5,top10_enrichment,score_outcome_spearman,ensemble_spread_absolute_error_spearman,ensemble_spread_outcome_spearman,target_mean_outcome_spearman,mean_absolute_error
hard_ood_40pct,47,ucb_beta_0.25,0.4910186298153478,,30.0,0.6818181818181818,0.0,0.0,0.5026669966751993,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,ucb_beta_0.5,0.4910186298153478,,31.0,0.7045454545454546,0.0,0.0,0.4578755875547389,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,ucb_beta_1,0.4910186298153478,,33.0,0.75,0.0,0.0,0.4308170549157225,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,ucb_beta_2,0.4910186298153478,,37.0,0.8409090909090909,0.0,0.0,0.2725634958781334,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,ensemble_spread_only,0.4910186298153478,,32.0,0.7272727272727273,0.0,0.0,-0.4147797522811096,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,composition_novelty_only,0.4910186298153478,,2.0,0.045454545454545456,0.3333333333333333,2.933333333333333,0.051649360242670805,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,thermoelectric_prior_high,0.4910186298153478,,3.0,0.06818181818181818,0.3333333333333333,2.933333333333333,0.6674668462326426,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,thermoelectric_prior_low,0.4910186298153478,,22.0,0.5,0.0,0.0,-0.6674668462326426,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,equal_positive_rank_fusion,0.4910186298153478,,15.0,0.3409090909090909,0.0,0.0,0.681112652615413,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,credibility_weighted_signed_rank_fusion,0.4910186298153478,0.4910186298153478,24.0,0.5454545454545454,0.0,0.0,0.6228702665921912,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
hard_ood_40pct,47,target_mean_novelty_rank_fusion,0.4910186298153478,,22.0,0.5,0.0,0.0,0.5024882845182737,0.18416610959652358,-0.4147797522811096,0.5412413016906116,2.9954729409597878
official_test,48,target_mean,0.12308035940075893,,16.0,0.14545454545454545,0.0,0.0,0.539283642010028,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,ucb_beta_0.25,0.12308035940075893,,17.0,0.15454545454545454,0.0,0.0,0.5350673531147151,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,ucb_beta_0.5,0.12308035940075893,,21.0,0.19090909090909092,0.0,0.0,0.509115756759072,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,ucb_beta_1,0.12308035940075893,,39.0,0.35454545454545455,0.0,0.0,0.4226480139059953,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,ucb_beta_2,0.12308035940075893,,38.0,0.34545454545454546,0.0,0.0,0.13361351868248555,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,ensemble_spread_only,0.12308035940075893,,50.0,0.45454545454545453,0.0,0.0,-0.30833021734441274,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,composition_novelty_only,0.12308035940075893,,1.0,0.00909090909090909,0.16666666666666666,1.6666666666666665,-0.15449235207904383,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,thermoelectric_prior_high,0.12308035940075893,,3.0,0.02727272727272727,0.16666666666666666,1.6666666666666665,0.1305234985252219,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,thermoelectric_prior_low,0.12308035940075893,,78.0,0.7090909090909091,0.0,0.0,-0.1305234985252219,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
