system_id,doi,adsorbent_id,adsorbent_name,adsorbate_id,adsorbate_name,adsorption_unit,uptake_log_fraction,target_uptake,n_temperatures,n_isotherms,temperature_min_K,temperature_max_K,temperature_span_K,temperature_harmonic_K,Qst_kJ_mol,vanthoff_intercept,vanthoff_slope,vanthoff_r2,residual_sd,temperatures_json
d4c1db69de5be762ca41,10.1021/acs.langmuir.5b00655,NIST-MATDB-a6f101f386dee100047fcaf572ce237c,COMOC-2,OTMSDBZUPAUEDD-UHFFFAOYSA-N,Ethane,mmol/g,0.5,2.837328185635212,3,8,281.0,303.0,22.0,292.0555579403329,26.06675188636603,11.389485712789797,-3135.109637687664,0.9963256280358685,0.034880899185125165,"[281.0,293.0,303.0]"
90faa0ff26723b0f3042,10.1021/acs.langmuir.5b02390,NIST-MATDB-2fe240d51711eb0a08df862a62523b78,PF-600 ZnCl2,VNWKTOKETHGBQD-UHFFFAOYSA-N,Methane,mmol/g,0.5,0.34461516435003264,3,3,273.0,323.0,50.0,296.5985018078386,20.32187725351718,6.553045563381558,-2444.160036169717,0.9999999972436054,5.15108833735436e-05,"[273.0,298.0,323.0]"
086836da16cb0e60d681,10.1021/acs.langmuir.5b02390,NIST-MATDB-6879515ed690fea6c4270f2ce3f002e7,PF-800 ZnCl2,VNWKTOKETHGBQD-UHFFFAOYSA-N,Methane,mmol/g,0.5,0.2077878485378777,3,3,273.0,323.0,50.0,296.5985018078386,20.43173022852682,5.9466790409707935,-2457.372312182576,0.9970917855359402,0.053273995830143014,"[273.0,298.0,323.0]"
6476500ceb74ae7a6668,10.1021/acs.langmuir.5b02390,NIST-MATDB-a725006d4c48604d4cb358c596baabef,PF-600 KOH,IJGRMHOSHXDMSA-UHFFFAOYSA-N,Nitrogen,mmol/g,0.5,0.2025126618263658,3,3,273.0,323.0,50.0,296.5985018078386,19.06231391161483,6.745594752320205,-2292.669386713635,0.9995681754216024,0.01912879295442614,"[273.0,298.0,323.0]"
424887fa12aa798b1f14,10.1021/acs.langmuir.5b02390,NIST-MATDB-40c696858306a07479b5d9d33bf2e501,PF-800 KOH,IJGRMHOSHXDMSA-UHFFFAOYSA-N,Nitrogen,mmol/g,0.5,0.15095126167077905,3,3,273.0,323.0,50.0,296.5985018078386,18.122649330403508,5.823588171853217,-2179.653714581112,0.9988758326634811,0.029352554031699805,"[273.0,298.0,323.0]"
8e5c3bebaa07b078c812,10.1021/acs.langmuir.5b02390,NIST-MATDB-2fe240d51711eb0a08df862a62523b78,PF-600 ZnCl2,IJGRMHOSHXDMSA-UHFFFAOYSA-N,Nitrogen,mmol/g,0.5,0.06952812668265987,3,3,273.0,323.0,50.0,296.5985018078386,15.952980196126816,4.697680858923061,-1918.702498138142,0.9831720982124896,0.10076425973061255,"[273.0,298.0,323.0]"
4915d8b345d0374f7076,10.1021/acs.langmuir.5b02390,NIST-MATDB-6879515ed690fea6c4270f2ce3f002e7,PF-800 ZnCl2,IJGRMHOSHXDMSA-UHFFFAOYSA-N,Nitrogen,mmol/g,0.5,0.059930723339535974,3,3,273.0,323.0,50.0,296.5985018078386,15.593659514487301,4.199614928643792,-1875.4861535417997,0.9987241511412668,0.026908492427292763,"[273.0,298.0,323.0]"
e612ca33113832cadce9,10.1021/acs.langmuir.5b02390,NIST-MATDB-a725006d4c48604d4cb358c596baabef,PF-600 KOH,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,1.0706737569399933,3,3,273.0,323.0,50.0,296.5985018078386,29.2644483157588,9.58679368564254,-3519.704117962449,0.9999989874241269,0.001421735571789992,"[273.0,298.0,323.0]"
129fa1017dd315f2e71d,10.1021/acs.langmuir.5b02390,NIST-MATDB-40c696858306a07479b5d9d33bf2e501,PF-800 KOH,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,0.8353434078269846,3,3,273.0,323.0,50.0,296.5985018078386,27.336262348626853,8.53197142347599,-3287.796650735153,0.9997880378387216,0.01921670025611742,"[273.0,298.0,323.0]"
3cf7af20e3733b2a6e84,10.1021/acs.langmuir.5b02390,NIST-MATDB-2fe240d51711eb0a08df862a62523b78,PF-600 ZnCl2,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,0.6753560875567791,3,3,273.0,323.0,50.0,296.5985018078386,25.561766036220853,8.175056013085506,-3074.3738002274504,0.9999722770022392,0.006498026098146162,"[273.0,298.0,323.0]"
