target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,discovery_selected,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,permutation_p_raw,permutation_p_holm,learners_positive_of_three,edge_status
solubility,pka_base,confirmation,ridge-primary,100,30,750,395,0.13004897356791484,0.12962920319705026,-0.0004197703708645839,2.6652858869837326,2.6659694643773393,-0.0002744268585995347,-0.001017214135597598,0.0007812229868063304,0.38,-0.0034491057451418337,Aqueous solubility,Molecular conjugate-acid pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,2,cross-dataset-ionization,protonation controls apparent solubility,0.380264346927831,60,0,False,34.36051313766579,0.12690477351707016,interpolated,,,0,practically-equivalent
solubility,photo_e_pipi,confirmation,ridge-primary,100,30,750,395,0.13004897356791484,0.12972660160913219,-0.00032237195878270455,2.6652858869837326,2.665749491306836,-0.00016318815434178627,-0.0007566676244658988,0.0007262375127371015,0.43,-0.002648817192170876,Aqueous solubility,Photoswitch E π-π* wavelength,aqueous molecular thermodynamics,molecular photoswitch,0,distant-control,optical endpoint,-0.29481522873372623,0,0,False,34.37923915462911,0.12738033948140629,interpolated,,,0,practically-equivalent
solubility,polymer_tg,confirmation,ridge-primary,100,30,750,395,0.13004897356791484,0.12929294274914693,-0.0007560308187679133,2.6652858869837326,2.666491792602617,-0.0004709410523220738,-0.0007691674606516419,-0.00015493052000810803,0.36,-0.006212039775808336,Aqueous solubility,Polymer glass-transition temperature,aqueous molecular thermodynamics,polymer,0,distant-control,polymer thermal endpoint,0.33162379106518713,0,0,False,34.31604802571097,0.12577345801816142,interpolated,,,0,practically-equivalent
hydration,solubility,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.15081578606222473,-0.001959230666808477,3.5855713464357333,3.5894478339680016,-0.0010346337246547666,-0.015352724715630067,0.011855365687939386,0.5,-0.02979927044558899,Hydration free energy,Aqueous solubility,aqueous molecular thermodynamics,aqueous molecular thermodynamics,3,cross-dataset-thermodynamic,aqueous dissolution relation,0.40965698990125565,208,0,False,30.92018429310291,0.029759987339666897,interpolated,,,0,practically-equivalent
hydration,pka_acid,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.15512612635577294,0.0023511096267397,3.5855713464357333,3.580538131581114,0.0014155570556944699,-0.0013880527489336443,0.005655312940699296,0.77,0.03575962381630733,Hydration free energy,Molecular pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,1,cross-dataset-ionization,charge-state context,0.2672451463592924,21,0,False,31.948957954749467,0.061002238555318486,interpolated,,,1,practically-equivalent
hydration,pka_base,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1534516030500184,0.0006765863209851797,3.5855713464357333,3.584158894811351,0.00038714410471294835,-0.002612994332379446,0.0033266169879510483,0.64,0.01029066107446468,Hydration free energy,Molecular conjugate-acid pKa,aqueous molecular thermodynamics,aqueous molecular acid-base,1,cross-dataset-ionization,charge-state context,0.38040489865827903,59,0,False,31.530880483182237,0.048551783512635165,interpolated,,,1,practically-equivalent
hydration,photo_e_pipi,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1592453438969609,0.006470327167927687,3.5855713464357333,3.571989058900728,0.0037397453788833215,-0.0011863846440559069,0.010598335306924847,0.83,0.09841160227580634,Hydration free energy,Photoswitch E π-π* wavelength,aqueous molecular thermodynamics,molecular photoswitch,0,distant-control,optical endpoint,-0.29481522873372623,0,0,False,32.93609090523122,0.08914509355950559,interpolated,,,1,practically-equivalent
hydration,polymer_tg,confirmation,ridge-primary,100,30,128,80,0.1527750167290332,0.1648882520599203,0.01211323533088708,3.5855713464357333,3.5597185140414727,0.007231633326786047,0.002511956911278972,0.012554011385240333,0.93,0.18423842670050106,Hydration free energy,Polymer glass-transition temperature,aqueous molecular thermodynamics,polymer,0,distant-control,polymer thermal endpoint,0.33162379106518713,0,0,False,34.35292985417664,0.12671204094248184,interpolated,,,1,practically-equivalent
photo_z_pipi,photo_e_pipi,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.4261285626648821,0.12481026300452648,25.94309418848532,24.841345826919554,0.043274990705012575,-0.0025271835994630266,0.04837687682965097,0.93,54.945768127383346,Photoswitch Z π-π* wavelength,Photoswitch E π-π* wavelength,molecular photoswitch,molecular photoswitch,3,physical-neighbor,paired E/Z electronic transition,-0.2385782814668441,45,0,True,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,0.01,0.05,3,suggestive-not-confirmed
photo_z_pipi,photo_z_npi,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5291780085959739,0.02176081707343487,25.94309418848532,25.765913752818527,0.006622982371739764,0.004060164488548002,0.07264407912441362,0.92,9.57985970381293,Photoswitch Z π-π* wavelength,Photoswitch Z n-π* wavelength,molecular photoswitch,molecular photoswitch,2,same-state-neighbor,same-isomer electronic transition,-0.9731151172748197,44,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,1,unresolved
photo_z_pipi,photo_e_npi,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5726121691711121,-0.021673343501703288,25.94309418848532,26.125024914478228,-0.0070517563050991085,-0.009055388018268029,0.0069529846410461725,0.1,-9.541350830632659,Photoswitch Z π-π* wavelength,Photoswitch E n-π* wavelength,molecular photoswitch,molecular photoswitch,2,same-domain,other-isomer electronic transition,-2.233173711312534,35,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,0,practically-equivalent
photo_z_pipi,pka_acid,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5530289760616824,-0.0020901503922738053,25.94309418848532,25.9565391357103,-0.0003767770117531215,-0.004398824835127711,0.00032268368125183304,0.47,-0.92015605159867,Photoswitch Z π-π* wavelength,Molecular pKa,molecular photoswitch,aqueous molecular acid-base,0,distant-control,acid-base endpoint,0.2614225157137268,0,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,0,practically-equivalent
photo_z_pipi,solubility,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5388929060586558,0.012045919610752923,25.94309418848532,25.83762864657709,0.004231814656844415,-0.02462615659696758,0.012737992936005839,0.86,5.303027891140057,Photoswitch Z π-π* wavelength,Aqueous solubility,molecular photoswitch,aqueous molecular thermodynamics,0,distant-control,aqueous bulk endpoint,0.40762582364472083,0,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,1,unresolved
polymer_tensile,polymer_young,confirmation,ridge-primary,100,15,16,14,-0.05135699647273523,-0.014147506003153945,0.037209490469581274,0.4065165262286651,0.40005608670968057,0.013839789576936361,0.0017125713466934849,0.03671290512224563,0.8,0.006021067840318604,Polymer tensile strength,Polymer Young's modulus,polymer,polymer,3,physical-neighbor,paired mechanical response,-0.017063945536002916,32,0,False,17.625572830602934,0.14896382976241224,interpolated,,,1,unresolved
polymer_tensile,polymer_hardness,confirmation,ridge-primary,100,15,16,14,-0.05135699647273523,-0.052820046253667874,-0.001463049780932656,0.4065165262286651,0.40682390785240763,-0.0008125021833869297,-0.003784777534213181,0.002274761975808369,0.49,-0.0002367439562753555,Polymer tensile strength,Polymer hardness,polymer,polymer,2,physical-neighbor,mechanical resistance,-1.2294345140638012,20,0,False,15.169163175353622,0.011151780318935026,interpolated,,,0,practically-equivalent
polymer_tensile,polymer_elongation,confirmation,ridge-primary,100,15,16,14,-0.05135699647273523,-0.030580910489968624,0.020776085982766604,0.4065165262286651,0.40288918722841305,0.007898860261036252,-0.002494305222951268,0.021268220776617504,0.75,0.0033618902484245108,Polymer tensile strength,Polymer elongation at break,polymer,polymer,2,same-domain,strength-ductility relation,-0.15101389780188748,30,0,False,16.597286869472747,0.09623782983534636,interpolated,,,1,unresolved
polymer_tensile,polymer_tg,confirmation,ridge-primary,100,15,16,14,-0.05135699647273523,-0.049196316220645145,0.002160680252090067,0.4065165262286651,0.40620551036856356,0.0003882351711210605,-0.007581445701072767,0.00900364857938163,0.56,0.00034963129607233715,Polymer tensile strength,Polymer glass-transition temperature,polymer,polymer,1,same-domain,chain mobility context,0.33195780963379984,32,0,False,15.393613189333212,0.025569902562314683,interpolated,,,1,practically-equivalent
polymer_tensile,photo_e_pipi,confirmation,ridge-primary,100,15,16,14,-0.05135699647273523,-0.06174385056198891,-0.010386854089253685,0.4065165262286651,0.4084067479620319,-0.0044905357983814976,-0.017568828797836562,0.00729879535084834,0.34,-0.0016807527415623551,Polymer tensile strength,Photoswitch E π-π* wavelength,polymer,molecular photoswitch,0,distant-control,small-molecule optical endpoint,-0.29481522873372623,0,0,False,14.759962661613004,-0.016262733442495306,interpolated,,,0,practically-equivalent
polymer_tm,polymer_tg,confirmation,ridge-primary,100,15,17,15,-0.44813026599577926,-0.4663381011671571,-0.018207835171377897,79.21459063862714,79.74552014318095,-0.007120219603946209,-0.027391698190467925,0.017937940983802653,0.24,-80.23517210933255,Polymer melting temperature,Polymer glass-transition temperature,polymer,polymer,3,physical-neighbor,paired polymer thermal transitions,0.3201100070924658,34,0,False,8.0,-0.875,no-savings,,,0,unresolved
polymer_tm,polymer_crystallization,confirmation,ridge-primary,100,15,17,15,-0.44813026599577926,-0.4364294554926405,0.011700810503138663,79.21459063862714,78.91766046271009,0.003420228967228376,0.0009816715116304014,0.007083154258368012,0.79,51.56112935456511,Polymer melting temperature,Polymer crystallization temperature,polymer,polymer,3,physical-neighbor,crystallization-melting relation,0.009944019436370133,23,0,False,8.0,-0.875,no-savings,,,1,practically-equivalent
polymer_tm,polymer_td,confirmation,ridge-primary,100,15,17,15,-0.44813026599577926,-0.44629086215233515,0.0018394038434441252,79.21459063862714,79.16246008470895,0.0006907920937936494,-0.0008573338506672197,0.0022824673696705574,0.63,8.105570078386123,Polymer melting temperature,Polymer decomposition temperature,polymer,polymer,2,same-domain,polymer thermal stability,-0.11399311534225683,34,0,False,8.0,-0.875,no-savings,,,1,practically-equivalent
polymer_tm,polymer_tensile,confirmation,ridge-primary,100,15,17,15,-0.44813026599577926,-0.4387430359301237,0.009387230065655564,79.21459063862714,78.99815352832155,0.002162867180977199,-0.008425185776621776,0.012999040330796014,0.57,41.36603900785297,Polymer melting temperature,Polymer tensile strength,polymer,polymer,1,same-domain,structure-mediated mechanical relation,-0.343311334925847,32,0,False,8.0,-0.875,no-savings,,,1,practically-equivalent
polymer_tm,photo_e_pipi,confirmation,ridge-primary,100,15,17,15,-0.44813026599577926,-0.45057847832200976,-0.002448212326230561,79.21459063862714,79.29185927194955,-0.001108919899222234,-0.01310855569789199,0.014399124111418983,0.36,-10.78836311436317,Polymer melting temperature,Photoswitch E π-π* wavelength,polymer,molecular photoswitch,0,distant-control,small-molecule optical endpoint,-0.29481522873372623,0,0,False,8.0,-0.875,no-savings,,,0,practically-equivalent
