anchor_budget,draw,model,n_anchor_rows,n_anchor_formulations,n_test_rows,n_test_formulations,anchor_formula_groups,n,log_rmse,log_mae,log_r2,raw_rmse,raw_mae,raw_r2,spearman
5,5,source_frozen,5,5,1623,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""365b6175b75df1bbbe79241eb0b15f09610c022ab7fa6bf83a134c3435f67374"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1623,0.33878428980273617,0.25660039112218597,0.723179832741123,3.73844911425604,2.3769501274477314,0.6076812933340188,0.8665872991074902
5,5,source_shrinkage_adapter,5,5,1623,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""365b6175b75df1bbbe79241eb0b15f09610c022ab7fa6bf83a134c3435f67374"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1623,0.32175049974145126,0.24358170303418122,0.7503166048519432,3.4150125808277414,2.2730925027934603,0.6726286378779383,0.8721919344017487
5,5,target_only_ridge,5,5,1623,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""365b6175b75df1bbbe79241eb0b15f09610c022ab7fa6bf83a134c3435f67374"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1623,0.6754260906337202,0.5514739717713024,-0.10028924115894822,7.198445738505747,4.695924354579951,-0.4545663626195451,-0.07194523422152656
5,5,anchor_constant,5,5,1623,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""365b6175b75df1bbbe79241eb0b15f09610c022ab7fa6bf83a134c3435f67374"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1623,0.6930686695521142,0.5785635871592933,-0.15852053081358064,7.352490003716167,4.829467132602394,-0.517486915096572,
5,6,source_frozen,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.33786772035893975,0.2554770668635889,0.7237532310511967,3.726450492678624,2.364950670441973,0.6075175101072381,0.8663090429568292
5,6,source_shrinkage_adapter,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.31991061792440034,0.2428861401842926,0.7523370091280407,3.39649798282041,2.2872521585493004,0.6739439249605732,0.8715170630066074
5,6,target_only_ridge,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.6449689746287324,0.4967301273616403,-0.006656847216807593,6.539235052306737,4.382715467068124,-0.20860245197377392,0.06714029435362884
5,6,anchor_constant,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.6677797354610963,0.5470037334344854,-0.07912132640180003,7.148003507474039,4.683178237507513,-0.44410605259219915,
5,7,source_frozen,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""c729a45bce04656875723276de2599d94173557610e9d6788136aa587c3215a2"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.33812835111203987,0.25575003249822814,0.7237157222204883,3.729766170220068,2.365932147093765,0.6090415854400852,0.8672672348888433
5,7,source_shrinkage_adapter,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""c729a45bce04656875723276de2599d94173557610e9d6788136aa587c3215a2"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.31931832778732633,0.24094784908362543,0.7536000071360147,3.530745777704382,2.2635121056485015,0.6496515094410706,0.8724325671319775
5,7,target_only_ridge,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""c729a45bce04656875723276de2599d94173557610e9d6788136aa587c3215a2"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.6544779920539529,0.5125736596958184,-0.03510186914752933,6.8193305857176645,4.492507123083963,-0.30692553383515686,-0.0904848772818904
5,7,anchor_constant,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""c729a45bce04656875723276de2599d94173557610e9d6788136aa587c3215a2"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.6772973266322816,0.5589985940442918,-0.10854089989849802,7.243089551423093,4.744971554489601,-0.47439912104457127,
5,8,source_frozen,5,5,1621,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""af30e4c5470f5ac7cad437db38a048ae502cc0907ca4b9898be67d34f90b20cc"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1621,0.33808538747233435,0.255117072882729,0.7247997074117902,3.7362325301686568,2.369720053493826,0.6088348527840165,0.8669918480386583
5,8,source_shrinkage_adapter,5,5,1621,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""af30e4c5470f5ac7cad437db38a048ae502cc0907ca4b9898be67d34f90b20cc"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1621,0.3204919610004277,0.24241142133590785,0.752696438119656,3.432306854185991,2.2752858169389674,0.6698855213695276,0.8720749894433164
5,8,target_only_ridge,5,5,1621,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""af30e4c5470f5ac7cad437db38a048ae502cc0907ca4b9898be67d34f90b20cc"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1621,0.6519645630193809,0.4914889026732803,-0.023396840670312224,6.3899996158321555,4.38137119990015,-0.1441791291063037,0.08821111254589362
5,8,anchor_constant,5,5,1621,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""af30e4c5470f5ac7cad437db38a048ae502cc0907ca4b9898be67d34f90b20cc"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1621,0.660732594635646,0.5363602509740641,-0.051108513476645134,7.0924341139231695,4.653409310699514,-0.4095580869842812,
5,9,source_frozen,5,5,1630,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""66c0683c576dca8e13c3d47f6628e1374d5ed0ad03481c5a4b5a65b5e4d95b7b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1630,0.3381000787407987,0.2557959046782013,0.7232904204242523,3.7313311157889495,2.3711701348316194,0.6080365661601225,0.8665848793094912
5,9,source_shrinkage_adapter,5,5,1630,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""66c0683c576dca8e13c3d47f6628e1374d5ed0ad03481c5a4b5a65b5e4d95b7b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1630,0.32207483605410847,0.24618223532457262,0.748899695437027,3.3908328586405836,2.36094552206376,0.6763089136180658,0.8714422190992686
5,9,target_only_ridge,5,5,1630,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""66c0683c576dca8e13c3d47f6628e1374d5ed0ad03481c5a4b5a65b5e4d95b7b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1630,0.718149291211378,0.6030482558968013,-0.2484269148106022,7.456818620960748,4.892550217777729,-0.5653992923355262,-0.03320995288448599
5,9,anchor_constant,5,5,1630,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""66c0683c576dca8e13c3d47f6628e1374d5ed0ad03481c5a4b5a65b5e4d95b7b"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1630,0.7060071241993551,0.5936079701085911,-0.2065680406409316,7.4186546261956146,4.8819015243293356,-0.5494168703560587,
5,10,source_frozen,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.33786772035893975,0.2554770668635889,0.7237532310511967,3.726450492678624,2.364950670441973,0.6075175101072381,0.8663090429568292
5,10,source_shrinkage_adapter,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.31991061792440034,0.2428861401842926,0.7523370091280407,3.39649798282041,2.2872521585493004,0.6739439249605732,0.8715170630066074
5,10,target_only_ridge,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.6449689746287324,0.4967301273616403,-0.006656847216807593,6.539235052306737,4.382715467068124,-0.20860245197377392,0.06714029435362884
5,10,anchor_constant,5,5,1629,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""464014f4079970601872f934da4c06e3c58730e1efb295e6735a3bc9df39792f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1629,0.6677797354610963,0.5470037334344854,-0.07912132640180003,7.148003507474039,4.683178237507513,-0.44410605259219915,
5,11,source_frozen,5,5,1619,151,"[""25fa32d950cdf305f8d95defcc6c07b792e2447dc359de123d43ac8ce2009c72"",""84152c546b99712a964dfb49fc3947fb54da4d3dc8e6ac8667a390d197206d5f"",""a82f553f80ba8c9865f21e7220a8630c3956bfa2091460624b77406d7b6e223a"",""d598441fe1e20eda12d74fb07698721405420fd4610a91244b6b08bf174e8c18"",""fd8944d28a6765dc3db6a34157159537dc8e30c667e01bc96951d036ecdf86ed""]",1619,0.33653012662368187,0.2548221921891813,0.7230920043799203,3.7424242401540195,2.3810814689793003,0.6067417115313323,0.8660676844891139
