contrast,method,reference,budget,learner,scope,repeats,mean_relative_rmse_gain,median_relative_rmse_gain,positive_repeat_fraction,mean_r2_gain,cluster_ci95_low,cluster_ci95_high,cluster_randomization_p,holm_p
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,random_forest,supported_hard_ood_40pct,200,0.0005811593697062155,0.0002482991421858522,0.52,0.0012532500891334092,-0.0010729120561360883,0.0018711913081593346,0.5698430156984302,1.0
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,random_forest,supported_hard_ood_40pct,200,0.001808374022932542,0.001508372135727781,0.625,0.0037462341211498057,-0.0006579144075116838,0.0017831394621771579,0.37336266373362664,1.0
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,random_forest,supported_hard_ood_40pct,200,-0.0006957960217108349,-0.0005365759456030314,0.44,-0.00136864172131668,-0.002458404120351748,0.0009746586586239888,0.37866213378662134,1.0
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,random_forest,supported_hard_ood_40pct,200,0.0017622877523916182,0.0014321550095939477,0.57,0.00374086353084182,-0.00011180740524168725,0.002608760787798604,0.0775922407759224,0.3103689631036896
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,random_forest,source_supported_external,200,0.00015307746912609637,0.0009973804044275938,0.545,0.00040621357274498614,-0.0011405272786778442,0.0014711522054727253,0.8014198580141986,1.0
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,random_forest,source_supported_external,200,0.0010992142821060309,0.001225028316926989,0.575,0.0022941578198684017,-0.0004667567031410247,0.0018310944594688318,0.24137586241375864,0.7241275872412759
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,random_forest,source_supported_external,200,-9.913780999477595e-05,6.528548280115815e-05,0.505,-0.00020079129440122244,-0.002067653993920643,0.0013675348579449853,0.6419358064193581,1.0
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,random_forest,source_supported_external,200,0.001460607602673863,0.000973101552680227,0.555,0.003078567898971979,0.00011850428537321936,0.0024555134485912703,0.0321967803219678,0.1287871212878712
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,random_forest,full_external,200,0.00015307746912609637,0.0009973804044275938,0.545,0.00040621357274498614,-0.0011405272786778442,0.0014711522054727253,0.8014198580141986,1.0
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,random_forest,full_external,200,0.0010992142821060309,0.001225028316926989,0.575,0.0022941578198684017,-0.0004667567031410247,0.0018310944594688318,0.24137586241375864,0.7241275872412759
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,random_forest,full_external,200,-9.913780999477595e-05,6.528548280115815e-05,0.505,-0.00020079129440122244,-0.002067653993920643,0.0013675348579449853,0.6419358064193581,1.0
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,random_forest,full_external,200,0.001460607602673863,0.000973101552680227,0.555,0.003078567898971979,0.00011850428537321936,0.0024555134485912703,0.0321967803219678,0.1287871212878712
real_vs_recipient_only,recipient_plus_real_conductivity,recipient_only,120,random_forest,strict_early_cycle_external,200,-0.00546374683540776,-0.0037918791162312657,0.405,-0.0121491211829241,-0.01376359820007717,0.005062758613677321,0.3618638136186381,1.0
real_vs_shuffled_conductivity,recipient_plus_real_conductivity,recipient_plus_shuffled_conductivity,120,random_forest,strict_early_cycle_external,200,-0.00041923976350651996,0.0011724235481508443,0.535,-0.0008248589030220055,-0.010621482827577156,0.010532993899983908,0.9842015798420158,1.0
real_vs_voltage_control,recipient_plus_real_conductivity,recipient_plus_voltage_control,120,random_forest,strict_early_cycle_external,200,-0.00563258932954096,-0.0026204921006527573,0.42,-0.013546209061957321,-0.018929800439018124,0.007455177604245136,0.44835516448355167,1.0
real_vs_energy_control,recipient_plus_real_conductivity,recipient_plus_energy_control,120,random_forest,strict_early_cycle_external,200,-0.0001968827257010583,-0.0007195846491199216,0.495,-0.0002165798750843756,-0.007373811560661524,0.00815433778799356,0.9633036696330367,1.0
