edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,analysis_family,edge_role
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,12,years1_2_to_year3,20,0.45,0.5,9.0,10.0,0.0,0.0,0.0,0.0,0.15917615888665626,0.15917615888665626,0.37744360902255636,0.362406015037594,-0.04999999999999999,0.0,0.0,0.0,-0.01503759398496235,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,13,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.6666666666666666,0.6666666666666666,5.666666666666666,5.666666666666666,0.0,0.0,0.5655203619909502,0.5657013574660633,0.0,0.0,0.0,0.0,0.00018099547511307712,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,13,years1_2_to_year3,20,0.3,0.4,6.0,8.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.4285714285714286,0.26917293233082706,-0.10000000000000003,0.0,0.0,0.0,-0.15939849624060154,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,14,year1_to_year2,51,0.13725490196078433,0.0784313725490196,7.0,4.0,0.0,0.3333333333333333,0.0,2.833333333333333,0.2217863493931298,0.13146759071688052,0.5257013574660634,0.539366515837104,0.05882352941176472,0.3333333333333333,2.833333333333333,0.09031875867624928,0.013665158371040653,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,14,years1_2_to_year3,20,0.4,0.55,8.0,11.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,-0.02857142857142857,-0.13082706766917293,-0.15000000000000002,0.0,0.0,0.0,-0.10225563909774436,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,15,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.514841628959276,0.5153846153846153,0.0,0.0,0.0,0.0,0.0005429864253393424,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,15,years1_2_to_year3,20,0.35,0.35,7.0,7.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.3609022556390977,0.3984962406015037,0.0,0.0,0.0,0.0,0.03759398496240596,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,16,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.6666666666666666,0.6666666666666666,5.666666666666666,5.666666666666666,0.0,0.0,0.5732126696832579,0.5768325791855203,0.0,0.0,0.0,0.0,0.0036199095022624306,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,16,years1_2_to_year3,20,0.3,0.4,6.0,8.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.09757556374736609,0.5218045112781955,0.46917293233082696,-0.10000000000000003,0.0,0.0,0.0,-0.05263157894736853,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,17,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.6666666666666666,0.6666666666666666,5.666666666666666,5.666666666666666,0.0,0.0,0.6118552036199095,0.6081447963800904,0.0,0.0,0.0,0.0,-0.00371040723981908,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,17,years1_2_to_year3,20,0.4,0.5,8.0,10.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.09757556374736609,0.437593984962406,0.3639097744360902,-0.09999999999999998,0.0,0.0,0.0,-0.0736842105263158,primary,named-edge
