composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ag:0.10000000|Bi:0.10000000|Br:0.60000000|Cs:0.20000000,1.95,1.94,2.0625,20,25,Ag-Bi-Br-Cs,Cs2AgBiBr6,0.12250000000000005
Ag:0.10000000|Bi:0.10000000|Cl:0.60000000|Cs:0.20000000,2.77,2.77,2.77,2,2,Ag-Bi-Cl-Cs,Cs2AgBiCl6,0.0
Ag:0.10000000|Bi:0.10000000|Cs:0.20000000|I:0.60000000,1.75,1.75,1.75,1,1,Ag-Bi-Cs-I,Cs2AgBiI6,0.0
Ag:0.10000000|Bi:0.10000000|P:0.20000000|Se:0.60000000,2.31,2.31,2.31,1,4,Ag-Bi-P-Se,AgBiP2Se6,0.0
Ag:0.10000000|Bi:0.20000000|I:0.70000000,1.87,1.8650000000000002,1.87,3,3,Ag-Bi-I,AgBi2I7,0.004999999999999893
Ag:0.10000000|Br:0.60000000|Cs:0.20000000|Sb:0.10000000,1.785,1.64,1.9475,4,5,Ag-Br-Cs-Sb,Cs2AgSbBr6,0.3075000000000001
Ag:0.10000000|Br:0.60000000|Cs:0.20000000|Tl:0.10000000,0.87,0.8300000000000001,0.9099999999999999,2,3,Ag-Br-Cs-Tl,Cs2AgTlBr6,0.07999999999999985
Ag:0.10000000|Cl:0.60000000|Cr:0.10000000|Cs:0.20000000,1.5,1.5,1.5,1,1,Ag-Cl-Cr-Cs,Cs2AgCrCl6,0.0
Ag:0.10000000|Cl:0.60000000|Cs:0.20000000|In:0.05000000|Sb:0.05000000,2.81,2.81,2.81,1,1,Ag-Cl-Cs-In-Sb,Cs2AgSb0.5In0.5Cl6,0.0
Ag:0.10000000|Cl:0.60000000|Cs:0.20000000|In:0.10000000,2.65,2.425,3.2649999999999997,7,11,Ag-Cl-Cs-In,Cs2InAgCl6,0.8399999999999999
Ag:0.10000000|Cl:0.60000000|Cs:0.20000000|Sb:0.10000000,2.09,1.64,2.585,6,8,Ag-Cl-Cs-Sb,Cs2AgSbCl6,0.9450000000000001
Ag:0.10000000|In:0.10000000|O:0.60000000|Ti:0.10000000|V:0.10000000,3.2,3.2,3.2,1,1,Ag-In-O-Ti-V,Ag / InVO4–TiO2,0.0
Ag:0.10000000|In:0.10000000|S:0.80000000,1.27,1.27,1.27,1,1,Ag-In-S,(AgIn)t(In4)oS8,0.0
Ag:0.10526316|O:0.63157895|Sr:0.05263158|V:0.21052632,2.4,2.4,2.4,1,1,Ag-O-Sr-V,Ag2Sr(VO3)4,0.0
Ag:0.11111111|Bi:0.33333333|S:0.55555556,0.7,0.7,0.7,1,1,Ag-Bi-S,AgBi3S5,0.0
Ag:0.11111111|Fe:0.22222222|O:0.55555556|Sn:0.11111111,1.78,1.78,1.78,1,1,Ag-Fe-O-Sn,SnO2 / Fe2O3 / Ag,0.0
Ag:0.11111111|Mo:0.11111111|O:0.66666667|V:0.11111111,2.2,2.2,2.2,1,1,Ag-Mo-O-V,AgVMoO6,0.0
