draw,model,anchor_indices,evaluation_formulations,pairwise_concordance,eligible_pairs
37,calisol_rank_score,"[6, 13, 18]",16,0.5981308411214953,107
37,target_extra_trees,"[6, 13, 18]",16,0.5833333333333334,108
37,target_hist_gradient_boosting,"[6, 13, 18]",16,,0
37,target_linear,"[6, 13, 18]",16,0.7037037037037037,108
38,calisol_rank_score,"[1, 11, 13]",16,0.5979381443298969,97
38,target_extra_trees,"[1, 11, 13]",16,0.8041237113402062,97
38,target_hist_gradient_boosting,"[1, 11, 13]",16,,0
38,target_linear,"[1, 11, 13]",16,0.5463917525773195,97
39,calisol_rank_score,"[8, 13, 15]",16,0.5825242718446602,103
39,target_extra_trees,"[8, 13, 15]",16,0.5865384615384616,104
39,target_hist_gradient_boosting,"[8, 13, 15]",16,,0
39,target_linear,"[8, 13, 15]",16,0.6442307692307693,104
40,calisol_rank_score,"[8, 11, 13]",16,0.55,100
40,target_extra_trees,"[8, 11, 13]",16,0.74,100
40,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
40,target_linear,"[8, 11, 13]",16,0.66,100
41,calisol_rank_score,"[2, 13, 16]",16,0.5742574257425742,101
41,target_extra_trees,"[2, 13, 16]",16,0.6078431372549019,102
41,target_hist_gradient_boosting,"[2, 13, 16]",16,,0
41,target_linear,"[2, 13, 16]",16,0.7058823529411765,102
42,calisol_rank_score,"[0, 13, 17]",16,0.6237623762376238,101
42,target_extra_trees,"[0, 13, 17]",16,0.7254901960784313,102
42,target_hist_gradient_boosting,"[0, 13, 17]",16,,0
42,target_linear,"[0, 13, 17]",16,0.696078431372549,102
43,calisol_rank_score,"[8, 13, 16]",16,0.5436893203883495,103
43,target_extra_trees,"[8, 13, 16]",16,0.7211538461538461,104
43,target_hist_gradient_boosting,"[8, 13, 16]",16,,0
43,target_linear,"[8, 13, 16]",16,0.6923076923076923,104
44,calisol_rank_score,"[2, 13, 16]",16,0.5742574257425742,101
44,target_extra_trees,"[2, 13, 16]",16,0.6078431372549019,102
44,target_hist_gradient_boosting,"[2, 13, 16]",16,,0
44,target_linear,"[2, 13, 16]",16,0.7058823529411765,102
45,calisol_rank_score,"[8, 11, 14]",16,0.55,100
45,target_extra_trees,"[8, 11, 14]",16,0.77,100
45,target_hist_gradient_boosting,"[8, 11, 14]",16,,0
45,target_linear,"[8, 11, 14]",16,0.65,100
46,calisol_rank_score,"[4, 8, 11]",16,0.5865384615384616,104
46,target_extra_trees,"[4, 8, 11]",16,0.6538461538461539,104
46,target_hist_gradient_boosting,"[4, 8, 11]",16,,0
46,target_linear,"[4, 8, 11]",16,0.47115384615384615,104
47,calisol_rank_score,"[4, 8, 11]",16,0.5865384615384616,104
47,target_extra_trees,"[4, 8, 11]",16,0.6538461538461539,104
47,target_hist_gradient_boosting,"[4, 8, 11]",16,,0
47,target_linear,"[4, 8, 11]",16,0.47115384615384615,104
48,calisol_rank_score,"[8, 12, 13]",16,0.5353535353535354,99
48,target_extra_trees,"[8, 12, 13]",16,0.7676767676767676,99
48,target_hist_gradient_boosting,"[8, 12, 13]",16,,0
48,target_linear,"[8, 12, 13]",16,0.65,100
49,calisol_rank_score,"[8, 13, 17]",16,0.5533980582524272,103
49,target_extra_trees,"[8, 13, 17]",16,0.75,104
49,target_hist_gradient_boosting,"[8, 13, 17]",16,,0
49,target_linear,"[8, 13, 17]",16,0.7019230769230769,104
50,calisol_rank_score,"[8, 13, 17]",16,0.5533980582524272,103
50,target_extra_trees,"[8, 13, 17]",16,0.75,104
50,target_hist_gradient_boosting,"[8, 13, 17]",16,,0
50,target_linear,"[8, 13, 17]",16,0.7019230769230769,104
51,calisol_rank_score,"[2, 13, 16]",16,0.5742574257425742,101
51,target_extra_trees,"[2, 13, 16]",16,0.6078431372549019,102
51,target_hist_gradient_boosting,"[2, 13, 16]",16,,0
51,target_linear,"[2, 13, 16]",16,0.7058823529411765,102
52,calisol_rank_score,"[8, 11, 13]",16,0.55,100
52,target_extra_trees,"[8, 11, 13]",16,0.74,100
52,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
52,target_linear,"[8, 11, 13]",16,0.66,100
53,calisol_rank_score,"[8, 11, 13]",16,0.55,100
53,target_extra_trees,"[8, 11, 13]",16,0.74,100
53,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
53,target_linear,"[8, 11, 13]",16,0.66,100
54,calisol_rank_score,"[8, 12, 13]",16,0.5353535353535354,99
54,target_extra_trees,"[8, 12, 13]",16,0.7676767676767676,99
54,target_hist_gradient_boosting,"[8, 12, 13]",16,,0
54,target_linear,"[8, 12, 13]",16,0.65,100
55,calisol_rank_score,"[3, 13, 17]",16,0.594059405940594,101
55,target_extra_trees,"[3, 13, 17]",16,0.696078431372549,102
55,target_hist_gradient_boosting,"[3, 13, 17]",16,,0
55,target_linear,"[3, 13, 17]",16,0.5980392156862745,102
56,calisol_rank_score,"[8, 10, 13]",16,0.56,100
56,target_extra_trees,"[8, 10, 13]",16,0.73,100
56,target_hist_gradient_boosting,"[8, 10, 13]",16,,0
56,target_linear,"[8, 10, 13]",16,0.66,100
57,calisol_rank_score,"[8, 13, 16]",16,0.5436893203883495,103
57,target_extra_trees,"[8, 13, 16]",16,0.7211538461538461,104
57,target_hist_gradient_boosting,"[8, 13, 16]",16,,0
57,target_linear,"[8, 13, 16]",16,0.6923076923076923,104
58,calisol_rank_score,"[5, 8, 13]",16,0.5533980582524272,103
58,target_extra_trees,"[5, 8, 13]",16,0.375,104
58,target_hist_gradient_boosting,"[5, 8, 13]",16,,0
58,target_linear,"[5, 8, 13]",16,0.46153846153846156,104
59,calisol_rank_score,"[3, 13, 17]",16,0.594059405940594,101
59,target_extra_trees,"[3, 13, 17]",16,0.696078431372549,102
59,target_hist_gradient_boosting,"[3, 13, 17]",16,,0
59,target_linear,"[3, 13, 17]",16,0.5980392156862745,102
60,calisol_rank_score,"[8, 9, 13]",16,0.5454545454545454,99
60,target_extra_trees,"[8, 9, 13]",16,0.75,100
60,target_hist_gradient_boosting,"[8, 9, 13]",16,,0
60,target_linear,"[8, 9, 13]",16,0.66,100
61,calisol_rank_score,"[8, 11, 13]",16,0.55,100
61,target_extra_trees,"[8, 11, 13]",16,0.74,100
61,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
61,target_linear,"[8, 11, 13]",16,0.66,100
62,calisol_rank_score,"[5, 8, 13]",16,0.5533980582524272,103
62,target_extra_trees,"[5, 8, 13]",16,0.375,104
62,target_hist_gradient_boosting,"[5, 8, 13]",16,,0
62,target_linear,"[5, 8, 13]",16,0.46153846153846156,104
63,calisol_rank_score,"[8, 11, 13]",16,0.55,100
63,target_extra_trees,"[8, 11, 13]",16,0.74,100
63,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
63,target_linear,"[8, 11, 13]",16,0.66,100
64,calisol_rank_score,"[8, 10, 13]",16,0.56,100
64,target_extra_trees,"[8, 10, 13]",16,0.73,100
64,target_hist_gradient_boosting,"[8, 10, 13]",16,,0
64,target_linear,"[8, 10, 13]",16,0.66,100
65,calisol_rank_score,"[8, 11, 13]",16,0.55,100
65,target_extra_trees,"[8, 11, 13]",16,0.74,100
65,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
65,target_linear,"[8, 11, 13]",16,0.66,100
66,calisol_rank_score,"[3, 13, 17]",16,0.594059405940594,101
66,target_extra_trees,"[3, 13, 17]",16,0.696078431372549,102
66,target_hist_gradient_boosting,"[3, 13, 17]",16,,0
66,target_linear,"[3, 13, 17]",16,0.5980392156862745,102
67,calisol_rank_score,"[4, 8, 18]",16,0.5727272727272728,110
67,target_extra_trees,"[4, 8, 18]",16,0.6055045871559633,109
67,target_hist_gradient_boosting,"[4, 8, 18]",16,,0
67,target_linear,"[4, 8, 18]",16,0.42342342342342343,111
68,calisol_rank_score,"[1, 11, 13]",16,0.5979381443298969,97
68,target_extra_trees,"[1, 11, 13]",16,0.8041237113402062,97
68,target_hist_gradient_boosting,"[1, 11, 13]",16,,0
68,target_linear,"[1, 11, 13]",16,0.5463917525773195,97
69,calisol_rank_score,"[8, 9, 13]",16,0.5454545454545454,99
69,target_extra_trees,"[8, 9, 13]",16,0.75,100
69,target_hist_gradient_boosting,"[8, 9, 13]",16,,0
69,target_linear,"[8, 9, 13]",16,0.66,100
70,calisol_rank_score,"[8, 11, 13]",16,0.55,100
70,target_extra_trees,"[8, 11, 13]",16,0.74,100
70,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
70,target_linear,"[8, 11, 13]",16,0.66,100
71,calisol_rank_score,"[2, 13, 16]",16,0.5742574257425742,101
71,target_extra_trees,"[2, 13, 16]",16,0.6078431372549019,102
71,target_hist_gradient_boosting,"[2, 13, 16]",16,,0
