target,method,learner,repeat,sources,blend,selected_objective,q1_relative_rmse_gain,q4_relative_rmse_gain,gain_specific,q4_r2
electrolyte_conductivity,task_conditioned_wrong_safe_blend,random_forest,0,alloy_ys,0.0,18.783273996133843,0.0,0.0,0.0,-0.08364691778061806
electrolyte_conductivity,task_conditioned_bundle_safe_blend,extra_trees,0,te_electrical|te_power_factor|te_thermal,0.0,19.078913729562156,0.0,0.0,0.0,0.2940216129454787
electrolyte_conductivity,task_conditioned_wrong_safe_blend,extra_trees,0,alloy_ys,0.0,19.078913729562156,0.0,0.0,0.0,0.2940216129454787
electrolyte_conductivity,task_conditioned_bundle_safe_blend,ridge_alpha_10,1,te_electrical|te_power_factor|te_thermal,0.0,16.60439281584442,0.0,0.0,0.0,-2.4681995166324864
electrolyte_conductivity,task_conditioned_wrong_safe_blend,ridge_alpha_10,1,alloy_ys,0.0,16.60439281584442,0.0,0.0,0.0,-2.4681995166324864
electrolyte_conductivity,task_conditioned_bundle_safe_blend,random_forest,1,te_electrical|te_power_factor|te_thermal,0.0,20.230841124807597,0.0,0.0,0.0,0.20695860363692842
electrolyte_conductivity,task_conditioned_wrong_safe_blend,random_forest,1,alloy_ys,0.0,20.230841124807597,0.0,0.0,0.0,0.20695860363692842
electrolyte_conductivity,task_conditioned_bundle_safe_blend,extra_trees,1,te_electrical|te_power_factor|te_thermal,0.0,18.76281680730503,0.0,0.0,0.0,0.11284217431141574
electrolyte_conductivity,task_conditioned_wrong_safe_blend,extra_trees,1,alloy_ys,0.0,18.76281680730503,0.0,0.0,0.0,0.11284217431141574
electrolyte_conductivity,task_conditioned_bundle_safe_blend,ridge_alpha_10,2,te_electrical|te_power_factor|te_thermal,0.25,51.16439648393133,-0.010633280782317586,-0.01756638755434575,-0.006933106772028163,0.15441163001693903
electrolyte_conductivity,task_conditioned_wrong_safe_blend,ridge_alpha_10,2,alloy_ys,0.0,52.099921700011315,0.0,0.0,0.0,0.1833546463375586
electrolyte_conductivity,task_conditioned_bundle_safe_blend,random_forest,2,te_electrical|te_power_factor|te_thermal,0.0,17.736080251976382,0.0,0.0,0.0,-0.2761508397893242
electrolyte_conductivity,task_conditioned_wrong_safe_blend,random_forest,2,alloy_ys,0.0,17.736080251976382,0.0,0.0,0.0,-0.2761508397893242
electrolyte_conductivity,task_conditioned_bundle_safe_blend,extra_trees,2,te_electrical|te_power_factor|te_thermal,0.0,18.270545517100537,0.0,0.0,0.0,0.16444707682572435
electrolyte_conductivity,task_conditioned_wrong_safe_blend,extra_trees,2,alloy_ys,0.0,18.270545517100537,0.0,0.0,0.0,0.16444707682572435
