target,method,learner,repeat,train_n,sources,q1_relative_rmse_gain,q4_relative_rmse_gain,gain_specific,q4_r2
alloy_ys,all_five,extra_trees,2,30,alloy_uts|alloy_hardness|alloy_elongation|te_thermal|catalysis_h2,0.18795202168136158,0.14111727855887438,-0.0468347431224872,0.0967143344720941
catalysis_h2,primary,ridge_alpha_10,0,30,catalysis_voltage,-0.05677848669164898,0.0002803201487705227,0.0570588068404195,-3.2743873480916443
catalysis_h2,mechanism_bundle,ridge_alpha_10,0,30,catalysis_co|catalysis_voltage,0.2640897902609707,0.06204559229448582,-0.20204419796648487,-2.7625376120860574
catalysis_h2,all_five,ridge_alpha_10,0,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.37512133828443106,0.3317267558223831,-0.04339458246204797,-0.9099655758804894
catalysis_h2,primary,random_forest,0,30,catalysis_voltage,-0.1791062257712035,-0.11269369861503009,0.0664125271561734,-2.156375522671432
catalysis_h2,mechanism_bundle,random_forest,0,30,catalysis_co|catalysis_voltage,-0.13210421124457156,-0.09374398184558407,0.03836022939898749,-2.0497817585923026
catalysis_h2,all_five,random_forest,0,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,-0.0022754840957731463,0.10604596562341011,0.10832144971918325,-1.0373600550627362
catalysis_h2,primary,extra_trees,0,30,catalysis_voltage,-0.10912344438807693,-0.06286996521409745,0.046253479173979484,-2.8524584356561298
catalysis_h2,mechanism_bundle,extra_trees,0,30,catalysis_co|catalysis_voltage,0.04856461162210437,0.08666409843317788,0.03809948681107351,-1.8447149209531082
catalysis_h2,all_five,extra_trees,0,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.08422812880445969,0.14829669974799564,0.06406857094353595,-1.4737417126564059
catalysis_h2,primary,ridge_alpha_10,1,30,catalysis_voltage,-0.08854534056662879,-0.10921166680265108,-0.020666326236022298,-0.866579600055408
catalysis_h2,mechanism_bundle,ridge_alpha_10,1,30,catalysis_co|catalysis_voltage,0.1306723267934904,-0.16597229574946856,-0.296644622542959,-1.062500773916192
catalysis_h2,all_five,ridge_alpha_10,1,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.11623268866202827,0.021150402936522195,-0.09508228572550607,-0.45361565014837457
catalysis_h2,primary,random_forest,1,30,catalysis_voltage,-0.07091484505539508,-0.07482190250669393,-0.003907057451298851,-1.3624367728640832
catalysis_h2,mechanism_bundle,random_forest,1,30,catalysis_co|catalysis_voltage,0.12153992862512124,0.1172746925837188,-0.004265236041402443,-0.5934496095415738
catalysis_h2,all_five,random_forest,1,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.0128038778494446,0.025324419735822,0.012520541886377402,-0.9427071968071992
catalysis_h2,primary,extra_trees,1,30,catalysis_voltage,0.015483107706148726,0.06989787215128442,0.05441476444513569,-1.4595935870231145
catalysis_h2,mechanism_bundle,extra_trees,1,30,catalysis_co|catalysis_voltage,0.07036726444568366,0.027166488748739143,-0.04320077569694451,-1.6907857611450234
catalysis_h2,all_five,extra_trees,1,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.01881691041797874,0.040905281457868335,0.022088371039889594,-1.6153214459021572
catalysis_h2,primary,ridge_alpha_10,2,30,catalysis_voltage,-0.03358947680779647,-0.06565270088130645,-0.032063224073509984,-4.1065695838668175
catalysis_h2,mechanism_bundle,ridge_alpha_10,2,30,catalysis_co|catalysis_voltage,0.25001617263019216,-0.10629455604170616,-0.35631072867189834,-4.5035057517996515
catalysis_h2,all_five,ridge_alpha_10,2,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.24687718337363773,-0.06871825657452406,-0.3155954399481618,-4.135991908804367
catalysis_h2,primary,random_forest,2,30,catalysis_voltage,-0.04477592811961683,-0.024043582495491635,0.020732345624125195,-5.5745440085499505
catalysis_h2,mechanism_bundle,random_forest,2,30,catalysis_co|catalysis_voltage,0.18531139687067952,0.10508814085574865,-0.08022325601493087,-4.02098914907743
catalysis_h2,all_five,random_forest,2,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.1846234600135599,0.2643115510768006,0.0796880910632407,-2.3932560390972455
catalysis_h2,primary,extra_trees,2,30,catalysis_voltage,0.026633495703808165,0.012302582048696874,-0.01433091365511129,-5.526777571317905
catalysis_h2,mechanism_bundle,extra_trees,2,30,catalysis_co|catalysis_voltage,0.1587318237984428,0.05758680952743005,-0.10114501427101276,-4.942014233112839
catalysis_h2,all_five,extra_trees,2,30,catalysis_co|catalysis_voltage|te_zt|alloy_ys|electrolyte_conductivity,0.17855683203472886,0.12800582480475686,-0.050551007229971995,-4.087192168641842
electrolyte_conductivity,primary,ridge_alpha_10,0,30,te_electrical,-0.004387857437876635,0.01753554668307964,0.021923404120956277,-1.688666837836589
electrolyte_conductivity,mechanism_bundle,ridge_alpha_10,0,30,te_electrical|te_power_factor|te_thermal,0.09956371972756504,-0.007246912176419114,-0.10681063190398415,-1.8260197187781024
electrolyte_conductivity,all_five,ridge_alpha_10,0,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,0.08795542224016054,-0.08328309975973197,-0.1712385219998925,-2.268791606071605
electrolyte_conductivity,primary,random_forest,0,30,te_electrical,0.16485455465097199,0.11183792098465438,-0.053016633666317606,-0.08359508733275356
electrolyte_conductivity,mechanism_bundle,random_forest,0,30,te_electrical|te_power_factor|te_thermal,0.19978415175143094,0.14907869356879164,-0.0507054581826393,0.005370420551730093
electrolyte_conductivity,all_five,random_forest,0,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,0.2877658709238114,0.05293980905824159,-0.2348260618655698,-0.2320766802002312
electrolyte_conductivity,primary,extra_trees,0,30,te_electrical,0.13928569920182055,0.17838432328295523,0.03909862408113468,0.1041596417475632
electrolyte_conductivity,mechanism_bundle,extra_trees,0,30,te_electrical|te_power_factor|te_thermal,0.20729903938932354,0.21281730647130265,0.005518267081979111,0.17767354081267606
electrolyte_conductivity,all_five,extra_trees,0,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,0.19517123730987532,0.15045464380763635,-0.04471659350223897,0.04221875168239719
electrolyte_conductivity,primary,ridge_alpha_10,1,30,te_electrical,0.013018987176665324,0.00929932643996814,-0.003719660736697184,-0.5323723129870546
electrolyte_conductivity,mechanism_bundle,ridge_alpha_10,1,30,te_electrical|te_power_factor|te_thermal,-0.02069260895648475,0.09472087119205747,0.11541348014854222,-0.27951209533617316
electrolyte_conductivity,all_five,ridge_alpha_10,1,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,-0.009289464125170361,0.10032581544373398,0.10961527956890434,-0.26371720371322227
electrolyte_conductivity,primary,random_forest,1,30,te_electrical,0.00766817882090269,0.007492215306157833,-0.00017596351474485732,0.1511524103039874
electrolyte_conductivity,mechanism_bundle,random_forest,1,30,te_electrical|te_power_factor|te_thermal,-0.06628692427995173,0.013013087406937216,0.07930001168688894,0.16056965608090756
electrolyte_conductivity,all_five,random_forest,1,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,-0.041146321146174634,0.08985559958039716,0.1310019207265718,0.2861902444247456
electrolyte_conductivity,primary,extra_trees,1,30,te_electrical,-0.014412695995267054,0.0232387856375695,0.037651481632836555,0.12935512356077516
electrolyte_conductivity,mechanism_bundle,extra_trees,1,30,te_electrical|te_power_factor|te_thermal,0.007901927272976202,0.07891443657416794,0.07101250930119174,0.22578035424605503
electrolyte_conductivity,all_five,extra_trees,1,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,0.021265917937570447,0.018266167094459638,-0.0029997508431108093,0.12046778225147725
electrolyte_conductivity,primary,ridge_alpha_10,2,30,te_electrical,-0.01026477407478013,-0.01813351648438512,-0.00786874240960499,-46.61337384559155
electrolyte_conductivity,mechanism_bundle,ridge_alpha_10,2,30,te_electrical|te_power_factor|te_thermal,0.005532851030504148,-0.004638556368213717,-0.010171407398717865,-45.35954562146436
electrolyte_conductivity,all_five,ridge_alpha_10,2,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,0.10039442702552111,0.13213705215068397,0.03174262512516286,-33.59567286557854
electrolyte_conductivity,primary,random_forest,2,30,te_electrical,0.001933773748005278,-0.04642587662862965,-0.04835965037663493,-0.2098067829662289
electrolyte_conductivity,mechanism_bundle,random_forest,2,30,te_electrical|te_power_factor|te_thermal,-0.016120761435118723,-0.14104429249691253,-0.1249235310617938,-0.4384808341516715
electrolyte_conductivity,all_five,random_forest,2,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,0.08955082389764255,-0.15512861495623562,-0.24467943885387816,-0.4742113776204786
electrolyte_conductivity,primary,extra_trees,2,30,te_electrical,-0.0453312354084952,-0.024049255228823306,0.021281980179671894,0.40539920081937375
electrolyte_conductivity,mechanism_bundle,extra_trees,2,30,te_electrical|te_power_factor|te_thermal,-0.06902161140506714,0.03406970383689211,0.10309131524195925,0.47097600342272505
electrolyte_conductivity,all_five,extra_trees,2,30,te_electrical|te_power_factor|te_thermal|alloy_ys|catalysis_h2,-0.14468394572953838,-0.5533241550968729,-0.4086402093673346,-0.368068956239173
solubility,primary,ridge_alpha_10,0,30,hydration,0.0023753461602275096,0.004048334184737486,0.0016729880245099768,-0.21080350159027028
solubility,mechanism_bundle,ridge_alpha_10,0,30,hydration|pka_acid|pka_base,-0.0004648096596096089,0.0046790963570774915,0.005143906016687101,-0.20927032035591808
solubility,all_five,ridge_alpha_10,0,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,-0.0035284610591882416,0.002632422283176689,0.0061608833423649305,-0.21424866824664934
solubility,primary,random_forest,0,30,hydration,0.04205393352258588,0.04172738748977254,-0.0003265460328133393,-0.08859076174859726
solubility,mechanism_bundle,random_forest,0,30,hydration|pka_acid|pka_base,-0.015065628109925032,0.01795565359391373,0.033021281703838765,-0.1432696948087937
solubility,all_five,random_forest,0,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,-0.049148996995932066,-0.024113405953030777,0.02503559104290129,-0.24331906887189914
solubility,primary,extra_trees,0,30,hydration,0.03428090223173203,0.016872663888459427,-0.017408238343272604,-0.43058994886933744
solubility,mechanism_bundle,extra_trees,0,30,hydration|pka_acid|pka_base,0.020618140993405962,0.011275090090602005,-0.009343050902803957,-0.4469268553506027
solubility,all_five,extra_trees,0,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.05146890543638674,0.03604315248927281,-0.01542575294711393,-0.37534233363113545
solubility,primary,ridge_alpha_10,1,30,hydration,0.000994072130871841,0.0008640917120576067,-0.0001299804188142344,0.011544957968768976
solubility,mechanism_bundle,ridge_alpha_10,1,30,hydration|pka_acid|pka_base,0.00022173908275818058,0.0010925576767878999,0.0008708185940297193,0.011996953565249324
solubility,all_five,ridge_alpha_10,1,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.0008472659605970631,0.00399052691193826,0.0031432609513411965,0.017721306068179343
solubility,primary,random_forest,1,30,hydration,0.0010730407707772124,0.028560609056551875,0.02748756828577466,0.04383447267905605
solubility,mechanism_bundle,random_forest,1,30,hydration|pka_acid|pka_base,-0.053274919902089254,0.003568031521412083,0.056842951423501334,-0.005997653286349269
solubility,all_five,random_forest,1,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,-0.04516933032164105,0.011142389104355721,0.05631171942599677,0.00923835954508978
solubility,primary,extra_trees,1,30,hydration,0.0064619171803279645,-0.00455730349098719,-0.011019220671315154,-0.51878908517982
solubility,mechanism_bundle,extra_trees,1,30,hydration|pka_acid|pka_base,-0.002141579225378516,0.0421512030983225,0.04429278232370102,-0.3808355279570188
solubility,all_five,extra_trees,1,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,-0.01967752496790372,0.04171990791975464,0.061397432887658365,-0.382079318809172
solubility,primary,ridge_alpha_10,2,30,hydration,0.005154500841400891,-0.0013755281199644143,-0.006530028961365305,-0.49546495546594804
solubility,mechanism_bundle,ridge_alpha_10,2,30,hydration|pka_acid|pka_base,0.000112892579816467,-0.0013604874483756342,-0.0014733800281921013,-0.4954200320027413
solubility,all_five,ridge_alpha_10,2,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,-0.0036985184087558725,-0.014629968487975199,-0.010931450079219326,-0.5353156046062808
solubility,primary,random_forest,2,30,hydration,0.02978838487763339,0.02509169987190804,-0.00469668500572535,-0.6563903178515575
solubility,mechanism_bundle,random_forest,2,30,hydration|pka_acid|pka_base,0.002832822972964289,0.012764120596060096,0.009931297623095806,-0.6985448106232783
solubility,all_five,random_forest,2,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.0051192211389719175,0.03480870772492004,0.029689486585948124,-0.6235360551351223
solubility,primary,extra_trees,2,30,hydration,0.007211933987323862,-0.0022845904995870145,-0.009496524486910875,-0.7579846465613351
solubility,mechanism_bundle,extra_trees,2,30,hydration|pka_acid|pka_base,-0.02302656831282731,-0.03492624058342801,-0.011899672270600702,-0.8743546513997502
solubility,all_five,extra_trees,2,30,hydration|pka_acid|pka_base|photo_e_pipi|polymer_tg,-0.020987514221419003,-0.018252102443546542,0.002735411777872461,-0.8144441380577137
hydration,primary,ridge_alpha_10,0,30,solubility,0.026358257179583858,-0.000651654125820673,-0.02700991130540453,-0.120388649617851
hydration,mechanism_bundle,ridge_alpha_10,0,30,solubility|pka_acid|pka_base,0.027515660752358853,0.0008461517846287061,-0.026669508967730148,-0.11703709605704771
hydration,all_five,ridge_alpha_10,0,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.018761138423816544,0.0381182413001506,0.01935710287633406,-0.03525239228336674
hydration,primary,random_forest,0,30,solubility,0.03769769361158376,-0.04143582434324462,-0.07913351795482838,-0.18097805419644875
