scope,source,candidate_index,material_key,material_raw,is_true_top5_hit,target_value,selection_frequency_top20,median_selected_step,gate_frequency,mean_source_rank,mean_qualification,mean_target_ood,mean_source_support,mean_local_concordance,mean_source_score
external_candidate,estm_transport_neighbor,247,Ge:0.08571428571|Li:0.4285714286|O:0.4571428571|V:0.02857142857,Li3.75Ge0.75V0.25O4,False,-5.247183568811729,0.03,17.0,0.02,0.3472222222222222,0.14874486711822557,0.2497916666666667,0.7291666666666667,0.1907646188534774,0.00015242388975177128
external_candidate,estm_transport_neighbor,248,Ge:0.09770114943|Li:0.4252873563|O:0.4597701149|W:0.01724137931,Li3.70Ge0.85W0.15O4,False,-4.42021640338319,0.0,30.5,0.08,0.4444444444444444,0.14874486711822557,0.35659722222222223,0.7222222222222221,0.19453722661104014,0.0008226719081108437
external_candidate,estm_transport_neighbor,250,Ge:0.1111111111|Li:0.4444444444|O:0.4444444444,Li4GeO4,False,-7.568934310343481,0.08,13.5,0.04,0.4375,0.14874486711822557,0.2890277777777778,0.7083333333333333,0.197218456429087,0.00022353585753589897
external_candidate,estm_transport_neighbor,251,Ge:0.1111111111|Li:0.4444444444|S:0.1111111111|Se:0.3333333333,Li4GeSSe3,False,-4.82102305270683,0.96,4.0,0.63,0.7847222222222221,0.14874486711822557,0.8278472222222223,0.6736111111111112,0.18444880276417147,0.01613730074730763
external_candidate,estm_transport_neighbor,252,Ge:0.1111111111|Li:0.4444444444|S:0.2222222222|Se:0.2222222222,Li4GeS2Se2,False,-4.585026652029182,0.93,7.0,0.62,0.7916666666666665,0.14874486711822557,0.7358333333333333,0.6666666666666667,0.19437881140578953,0.014865220286923785
external_candidate,estm_transport_neighbor,253,Ge:0.1111111111|Li:0.4444444444|S:0.3333333333|Se:0.1111111111,Li4GeS3Se,False,-5.068542129310995,0.49,6.0,0.33,0.7777777777777779,0.14874486711822557,0.49326388888888884,0.6597222222222221,0.19962503757338998,0.0062618792144935875
external_candidate,estm_transport_neighbor,254,Ge:0.1111111111|Li:0.4444444444|S:0.4444444444,Li4GeS4,False,-6.698970004336019,0.07,14.0,0.03,0.6388888888888888,0.14874486711822557,0.2695138888888889,0.5416666666666667,0.20219996265214843,0.00027396220822043757
external_candidate,estm_transport_neighbor,255,Ge:0.1111111111|Li:0.4444444444|Se:0.4444444444,Li4GeSe4,False,-5.3124710387853655,0.93,3.0,0.66,0.6805555555555556,0.14874486711822557,0.8783333333333333,0.5972222222222222,0.18382488680701836,0.012872807341062187
external_candidate,estm_transport_neighbor,257,Ge:0.125|Li:0.25|O:0.5|Zn:0.125,Li2ZnGeO4,False,-14.1444808443322,0.41,21.0,0.56,0.10416666666666669,0.14874486711822557,0.62125,0.9861111111111112,0.21674370112095026,0.002360996903744623
external_candidate,estm_transport_neighbor,262,Ge:0.2916666667|Li:0.08333333333|O:0.625,Li2Ge7O15,False,-15.301029995663981,0.07,36.0,0.68,0.1597222222222222,0.14874486711822557,0.6859722222222223,0.8819444444444444,0.2060033524944183,0.0038917367399289114
external_candidate,estm_transport_neighbor,267,I:0.07066869301|Li:0.4680851064|S:0.3852583587|Sb:0.02887537994|Si:0.04711246201,Li6.16Si0.62Sb0.38S5.07I0.93,True,-1.7212463990471711,0.0,,0.0,0.9583333333333335,0.14874486711822557,0.27805555555555556,0.2777777777777778,0.16660829970254765,0.0
external_candidate,estm_transport_neighbor,268,I:0.07228915663|Li:0.4728915663|S:0.3795180723|Sb:0.04141566265|Si:0.03388554217,Li6.28Si0.45Sb0.55S5.04I0.96,True,-2.000869458712629,0.0,,0.0,0.9722222222222221,0.14874486711822557,0.30041666666666667,0.27083333333333337,0.1580231631673515,0.0
