edge_id,programme,target_task,source,evidence_set,relation,target_domain,source_domain,neighborhood,source_quality_r2,effect_relative_rmse,effect_ci_lo,effect_ci_hi,augmented_r2,reported_status,neighborhood_scaled,source_quality_clipped,credible_positive,strong_neighbor,same_domain,adjacent_condition,cross_dataset,distant_wrong,shuffled
hydration__pka_base,internal_aqueous,hydration,pka_base,internal-confirmation,cross-dataset-ionization,aqueous molecular thermodynamics,aqueous molecular acid-base,1.0,0.380404898658279,0.0003871441047129,-0.0026129943323794,0.003326616987951,0.1534516030500184,practically-equivalent,0.3333333333333333,0.380404898658279,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hydration__polymer_tg,internal_aqueous,hydration,polymer_tg,internal-confirmation,distant-control,aqueous molecular thermodynamics,polymer,0.0,0.3316237910651871,0.007231633326786,0.0025119569112789,0.0125540113852403,0.1648882520599203,practically-equivalent,0.0,0.3316237910651871,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hydration__solubility,internal_aqueous,hydration,solubility,internal-confirmation,cross-dataset-thermodynamic,aqueous molecular thermodynamics,aqueous molecular thermodynamics,3.0,0.4096569899012556,-0.0010346337246547,-0.01535272471563,0.0118553656879393,0.1508157860622247,practically-equivalent,1.0,0.4096569899012556,1.0,1.0,1.0,0.0,1.0,0.0,0.0
solubility__hydration,internal_aqueous,solubility,hydration,internal-confirmation,cross-dataset-thermodynamic,aqueous molecular thermodynamics,aqueous molecular thermodynamics,3.0,0.4627047025931091,0.0017459938939196,0.0006662728583404,0.0028045938244483,0.1330928105755909,practically-equivalent,1.0,0.4627047025931091,1.0,1.0,1.0,0.0,1.0,0.0,0.0
solubility__photo_e_pipi,internal_aqueous,solubility,photo_e_pipi,internal-confirmation,distant-control,aqueous molecular thermodynamics,molecular photoswitch,0.0,-0.2948152287337262,-0.0001631881543417,-0.0007566676244658,0.0007262375127371,0.1297266016091321,practically-equivalent,0.0,-0.2948152287337262,0.0,0.0,0.0,0.0,0.0,1.0,0.0
solubility__pka_acid,internal_aqueous,solubility,pka_acid,internal-confirmation,cross-dataset-ionization,aqueous molecular thermodynamics,aqueous molecular acid-base,2.0,0.2801971413180322,-0.0003054386323107,-0.0009160661533992,0.0001818453623284,0.1295414359376378,practically-equivalent,0.6666666666666666,0.2801971413180322,1.0,1.0,0.0,0.0,1.0,0.0,0.0
solubility__pka_base,internal_aqueous,solubility,pka_base,internal-confirmation,cross-dataset-ionization,aqueous molecular thermodynamics,aqueous molecular acid-base,2.0,0.380264346927831,-0.0002744268585995,-0.0010172141355975,0.0007812229868063,0.1296292031970502,practically-equivalent,0.6666666666666666,0.380264346927831,1.0,1.0,0.0,0.0,1.0,0.0,0.0
solubility__polymer_tg,internal_aqueous,solubility,polymer_tg,internal-confirmation,distant-control,aqueous molecular thermodynamics,polymer,0.0,0.3316237910651871,-0.000470941052322,-0.0007691674606516,-0.0001549305200081,0.1292929427491469,practically-equivalent,0.0,0.3316237910651871,1.0,0.0,0.0,0.0,0.0,1.0,0.0
catalysis_h2__alloy_ys,internal_catalysis,catalysis_h2,alloy_ys,internal-confirmation,distant-control,CO2 electroreduction,multi-principal-element alloy,0.0,0.3150891531964627,-0.0207229036765535,-0.0413815044457202,0.0009228976673959,0.2121574096054481,unresolved,0.0,0.3150891531964627,1.0,0.0,0.0,0.0,0.0,1.0,0.0
catalysis_h2__catalysis_voltage,internal_catalysis,catalysis_h2,catalysis_voltage,internal-confirmation,same-domain,CO2 electroreduction,CO2 electroreduction,2.0,-0.8244101594523467,-0.024166843417511,-0.0480134324106283,0.0438703964582253,0.2100195509275165,unresolved,0.6666666666666666,-0.8244101594523467,0.0,1.0,1.0,0.0,0.0,0.0,0.0
catalysis_h2__electrolyte_conductivity,internal_catalysis,catalysis_h2,electrolyte_conductivity,internal-confirmation,distant-control,CO2 electroreduction,solid electrolyte,0.0,0.4100609069794871,0.002187213927931,-0.0029788419783767,0.0101203953283618,0.2418619441250583,practically-equivalent,0.0,0.4100609069794871,1.0,0.0,0.0,0.0,0.0,1.0,0.0
catalysis_h2__te_zt,internal_catalysis,catalysis_h2,te_zt,internal-confirmation,distant-control,CO2 electroreduction,thermoelectric,0.0,0.2749497749396796,0.0160446863570916,-0.0029887972821149,0.0252726128735928,0.2585698209358701,unresolved,0.0,0.2749497749396796,1.0,0.0,0.0,0.0,0.0,1.0,0.0
electrolyte_conductivity__alloy_ys,internal_obelix,electrolyte_conductivity,alloy_ys,internal-confirmation,distant-control,solid electrolyte,multi-principal-element alloy,0.0,0.3150891531964627,0.000153555959317,-0.0057060463353348,0.0397593894927855,-3.76215383989994,unresolved,0.0,0.3150891531964627,1.0,0.0,0.0,0.0,0.0,1.0,0.0
electrolyte_conductivity__catalysis_h2,internal_obelix,electrolyte_conductivity,catalysis_h2,internal-confirmation,distant-control,solid electrolyte,CO2 electroreduction,0.0,0.2364169130709764,-0.0044133778291427,-0.0107013984996186,0.0017437939863631,-3.99744352714848,practically-equivalent,0.0,0.2364169130709764,1.0,0.0,0.0,0.0,0.0,1.0,0.0
electrolyte_conductivity__te_electrical,internal_obelix,electrolyte_conductivity,te_electrical,internal-confirmation,cross-domain-transport,solid electrolyte,thermoelectric,2.0,0.3428031662453789,0.0014424800835108,-0.0187215696474215,0.033498258344538,-3.819728253933936,unresolved,0.6666666666666666,0.3428031662453789,1.0,1.0,0.0,0.0,1.0,0.0,0.0
electrolyte_conductivity__te_power_factor,internal_obelix,electrolyte_conductivity,te_power_factor,internal-confirmation,cross-domain-transport,solid electrolyte,thermoelectric,1.0,0.4310351864936504,0.0017783011190597,-0.0320432119510801,0.0534010605368638,-3.747836602785221,unresolved,0.3333333333333333,0.4310351864936504,1.0,0.0,0.0,0.0,1.0,0.0,0.0
electrolyte_conductivity__te_thermal,internal_obelix,electrolyte_conductivity,te_thermal,internal-confirmation,cross-domain-transport,solid electrolyte,thermoelectric,1.0,0.5713319598750842,-0.0204955927912856,-0.04439556758384,0.0711297394748681,-3.864675210955014,unresolved,0.3333333333333333,0.5713319598750842,1.0,0.0,0.0,0.0,1.0,0.0,0.0
polymer_tensile__photo_e_pipi,internal_openpoly,polymer_tensile,photo_e_pipi,internal-confirmation,distant-control,polymer,molecular photoswitch,0.0,-0.2948152287337262,-0.0044905357983814,-0.0175688287978365,0.0072987953508483,-0.0617438505619889,practically-equivalent,0.0,-0.2948152287337262,0.0,0.0,0.0,0.0,0.0,1.0,0.0
polymer_tensile__polymer_elongation,internal_openpoly,polymer_tensile,polymer_elongation,internal-confirmation,same-domain,polymer,polymer,2.0,-0.1510138978018874,0.0078988602610362,-0.0024943052229512,0.0212682207766175,-0.0305809104899686,unresolved,0.6666666666666666,-0.1510138978018874,0.0,1.0,1.0,0.0,0.0,0.0,0.0
polymer_tensile__polymer_hardness,internal_openpoly,polymer_tensile,polymer_hardness,internal-confirmation,physical-neighbor,polymer,polymer,2.0,-1.2294345140638012,-0.0008125021833869,-0.0037847775342131,0.0022747619758083,-0.0528200462536678,practically-equivalent,0.6666666666666666,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
polymer_tensile__polymer_tg,internal_openpoly,polymer_tensile,polymer_tg,internal-confirmation,same-domain,polymer,polymer,1.0,0.3319578096337998,0.000388235171121,-0.0075814457010727,0.0090036485793816,-0.0491963162206451,practically-equivalent,0.3333333333333333,0.3319578096337998,1.0,0.0,1.0,0.0,0.0,0.0,0.0
polymer_tensile__polymer_young,internal_openpoly,polymer_tensile,polymer_young,internal-confirmation,physical-neighbor,polymer,polymer,3.0,-0.0170639455360029,0.0138397895769363,0.0017125713466934,0.0367129051222456,-0.0141475060031539,unresolved,1.0,-0.0170639455360029,0.0,1.0,1.0,0.0,0.0,0.0,0.0
polymer_tm__photo_e_pipi,internal_openpoly,polymer_tm,photo_e_pipi,internal-confirmation,distant-control,polymer,molecular photoswitch,0.0,-0.2948152287337262,-0.0011089198992222,-0.0131085556978919,0.0143991241114189,-0.4505784783220097,practically-equivalent,0.0,-0.2948152287337262,0.0,0.0,0.0,0.0,0.0,1.0,0.0
polymer_tm__polymer_crystallization,internal_openpoly,polymer_tm,polymer_crystallization,internal-confirmation,physical-neighbor,polymer,polymer,3.0,0.0099440194363701,0.0034202289672283,0.0009816715116304,0.007083154258368,-0.4364294554926405,practically-equivalent,1.0,0.0099440194363701,1.0,1.0,1.0,0.0,0.0,0.0,0.0
polymer_tm__polymer_td,internal_openpoly,polymer_tm,polymer_td,internal-confirmation,same-domain,polymer,polymer,2.0,-0.1139931153422568,0.0006907920937936,-0.0008573338506672,0.0022824673696705,-0.4462908621523351,practically-equivalent,0.6666666666666666,-0.1139931153422568,0.0,1.0,1.0,0.0,0.0,0.0,0.0
