sample_key,material_key,material_raw,source_reference,n_temperature,temperature_min_K,temperature_max_K,temperature_harmonic_K,Ea_eV,lnA,arrhenius_r2,family
Ba:0.0008333333333|Ga:0.1666666667|K:0.1658333333|Sb:0.6666666667@@https://doi.org/10.1021/acs.chemmater.7b01217,Ba:0.0008333333333|Ga:0.1666666667|K:0.1658333333|Sb:0.6666666667,K0.995Ba0.005GaSb4,https://doi.org/10.1021/acs.chemmater.7b01217,5,324.0,649.0,469.1811745706315,0.08166222537580745,10.448747434838275,0.9161508643161889,Ga-K-Sb
Ba:0.03703703704|Cr:0.3703703704|Se:0.5925925926@@https://doi.org/10.1021/acs.chemmater.5b02933,Ba:0.03703703704|Cr:0.3703703704|Se:0.5925925926,Ba0.5Cr5Se8,https://doi.org/10.1021/acs.chemmater.5b02933,8,300.0,862.0,554.6021855728033,0.07099903117606104,8.447286074748655,0.9308013176665977,Cr-Se
Ba:0.1111111111|Ca:0.005555555556|Gd:0.2166666667|Ni:0.1111111111|O:0.5555555556@@https://doi.org/10.1021/acs.inorgchem.7b00049,Ba:0.1111111111|Ca:0.005555555556|Gd:0.2166666667|Ni:0.1111111111|O:0.5555555556,Ca0.05BaGd1.95NiO5,https://doi.org/10.1021/acs.inorgchem.7b00049,8,526.0,1230.0,819.8287758425008,0.11502990315633267,5.971910026991518,0.9980150348620279,Gd-O
Ba:0.1111111111|Ca:0.01111111111|Gd:0.2111111111|Ni:0.1111111111|O:0.5555555556@@https://doi.org/10.1021/acs.inorgchem.7b00049,Ba:0.1111111111|Ca:0.01111111111|Gd:0.2111111111|Ni:0.1111111111|O:0.5555555556,Ca0.1BaGd1.9NiO5,https://doi.org/10.1021/acs.inorgchem.7b00049,8,421.0,1134.0,708.652492285224,0.12286594288643139,6.80359098483609,0.9908664695889701,Gd-O
Ba:0.1111111111|Ca:0.01666666667|Gd:0.2055555556|Ni:0.1111111111|O:0.5555555556@@https://doi.org/10.1021/acs.inorgchem.7b00049,Ba:0.1111111111|Ca:0.01666666667|Gd:0.2055555556|Ni:0.1111111111|O:0.5555555556,Ca0.15BaGd1.85NiO5,https://doi.org/10.1021/acs.inorgchem.7b00049,10,392.0,1275.0,744.921780924442,0.11845832160723418,7.443598736077697,0.9903206275802361,Gd-O
Ba:0.1111111111|Ca:0.02222222222|Gd:0.2|Ni:0.1111111111|O:0.5555555556@@https://doi.org/10.1021/acs.inorgchem.7b00049,Ba:0.1111111111|Ca:0.02222222222|Gd:0.2|Ni:0.1111111111|O:0.5555555556,Ca0.2BaGd1.8NiO5,https://doi.org/10.1021/acs.inorgchem.7b00049,9,489.0,1275.0,810.5928331219719,0.12857860507230495,7.412749012327143,0.9936840581533143,Gd-O
Ba:0.1111111111|Ca:0.02777777778|Gd:0.1944444444|Ni:0.1111111111|O:0.5555555556@@https://doi.org/10.1021/acs.inorgchem.7b00049,Ba:0.1111111111|Ca:0.02777777778|Gd:0.1944444444|Ni:0.1111111111|O:0.5555555556,Ca0.25BaGd1.75NiO5,https://doi.org/10.1021/acs.inorgchem.7b00049,9,486.0,1275.0,804.1088537479958,0.13192926539029926,7.518982829085197,0.990507643142791,Gd-O
Ba:0.1111111111|Gd:0.2222222222|Ni:0.1111111111|O:0.5555555556@@https://doi.org/10.1021/acs.inorgchem.7b00049,Ba:0.1111111111|Gd:0.2222222222|Ni:0.1111111111|O:0.5555555556,BaGd2NiO5,https://doi.org/10.1021/acs.inorgchem.7b00049,9,426.0,1272.0,757.6381917338996,0.11226031236926769,4.709952910048818,0.9901112843537387,Gd-O
Ba:0.14|Bi:0.06|Co:0.1|O:0.6|Ru:0.1@@https://doi.org/10.1021/acs.inorgchem.1c02442,Ba:0.14|Bi:0.06|Co:0.1|O:0.6|Ru:0.1,Ba1.4Bi0.6CoRuO6,https://doi.org/10.1021/acs.inorgchem.1c02442,4,318.0,618.0,440.2559717402932,0.14292938712418082,14.057855270600042,0.9948689360666911,O
Ba:0.16|Bi:0.04|Co:0.1|O:0.6|Ru:0.1@@https://doi.org/10.1021/acs.inorgchem.1c02442,Ba:0.16|Bi:0.04|Co:0.1|O:0.6|Ru:0.1,Ba1.6Bi0.4CoRuO6,https://doi.org/10.1021/acs.inorgchem.1c02442,4,318.0,618.0,440.2559717402932,0.14407455911039485,14.63320074359113,0.9938289597200922,Ba-O
