scope,seed,policy,budget,candidate_n,true_top_n,auc20,first_hit,recall_at_10,best_y_at_10,regret_at_10,recall_at_20,best_y_at_20,regret_at_20,recall_at_40,best_y_at_40,regret_at_40
hard_ood_40pct,62,composition_novelty,40,58,3,18.0,3,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_target_novelty,40,58,3,18.0,3,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,obelix_same_property_static,40,58,3,38.0,2,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,estm_transport_neighbor_static,40,58,3,51.0,1,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,borg_mechanical_static_control,40,58,3,3.0,18,0.0,-3.8538719643217614,1.1635021317476602,0.3333333333333333,-2.903089986991944,0.21272015441784298,1.0,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,ocx_catalysis_static_control,40,58,3,0.0,41,0.0,-3.0296531237699065,0.33928329119580525,0.0,-3.0296531237699065,0.33928329119580525,0.0,-3.0296531237699065,0.33928329119580525
hard_ood_40pct,62,shuffled_obelix_static_control,40,58,3,13.0,8,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_obelix_residual,40,58,3,22.0,1,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_estm_residual,40,58,3,18.0,3,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_borg_residual_control,40,58,3,21.0,3,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_ocx_residual_control,40,58,3,18.0,3,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_shuffled_obelix_control,40,58,3,18.0,3,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_multisource_residual,40,58,3,23.0,1,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,62,safe_multisource_novelty_band,40,58,3,0.0,31,0.0,-3.05453141486818,0.3641615822940789,0.0,-3.05453141486818,0.3641615822940789,0.3333333333333333,-3.022733787572707,0.33236395499860594
hard_ood_40pct,63,uniform_random,40,58,3,9.0,12,0.0,-3.0296531237699065,0.33928329119580525,0.3333333333333333,-3.022733787572707,0.33236395499860594,1.0,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,63,composition_novelty,40,58,3,18.0,3,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,63,safe_target_novelty,40,58,3,23.0,4,0.3333333333333333,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,63,obelix_same_property_static,40,58,3,38.0,2,0.6666666666666666,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,63,estm_transport_neighbor_static,40,58,3,51.0,1,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,63,borg_mechanical_static_control,40,58,3,3.0,18,0.0,-3.8538719643217614,1.1635021317476602,0.3333333333333333,-2.903089986991944,0.21272015441784298,1.0,-2.690369832574101,-4.440892098500626e-16
hard_ood_40pct,63,ocx_catalysis_static_control,40,58,3,0.0,41,0.0,-3.0296531237699065,0.33928329119580525,0.0,-3.0296531237699065,0.33928329119580525,0.0,-3.0296531237699065,0.33928329119580525
hard_ood_40pct,63,shuffled_obelix_static_control,40,58,3,49.0,2,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16,1.0,-2.690369832574101,-4.440892098500626e-16
