scope,seed,policy,cumulative_hit_auc_to_40,top5_hits_at_5,top5_recall_at_5,best_y_at_5,regret_to_pool_max_at_5,top5_hits_at_10,top5_recall_at_10,best_y_at_10,regret_to_pool_max_at_10,top5_hits_at_20,top5_recall_at_20,best_y_at_20,regret_to_pool_max_at_20,top5_hits_at_40,top5_recall_at_40,best_y_at_40,regret_to_pool_max_at_40
official_test,93,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,93,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,93,shuffled_thermoelectric_static_control,37.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,94,uniform_random,12.0,0,0.0,-3.5072396109731625,1.9051796196452002,0,0.0,-2.8601209135987635,1.2580609222708012,0,0.0,-2.8601209135987635,1.2580609222708012,1,0.16666666666666666,-2.280175785218263,0.6781157938903009
official_test,94,target_ucb_beta1,72.0,0,0.0,-3.3467874862246565,1.7447274948966942,0,0.0,-2.7594507517174,1.1573907603894378,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698
official_test,94,target_mean_greedy,47.0,0,0.0,-3.211831628858832,1.60977163753087,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,2,0.3333333333333333,-2.690369832574101,1.0883098412461385
official_test,94,composition_novelty,102.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,3,0.5,-1.6020599913279625,2.220446049250313e-16,4,0.6666666666666666,-1.6020599913279625,2.220446049250313e-16
official_test,94,thermoelectric_prior_static,128.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,94,target_source_rank_fusion,130.0,0,0.0,-4.1249387366083,2.5228787452803374,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,94,target_source_novelty_rank_fusion,129.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-2.065501548756432,0.4634415574284698
official_test,94,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,94,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,94,shuffled_thermoelectric_static_control,37.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,95,uniform_random,65.0,1,0.16666666666666666,-2.657577319177794,1.0555173278498315,1,0.16666666666666666,-2.657577319177794,1.0555173278498315,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698
official_test,95,target_ucb_beta1,0.0,0,0.0,-2.8210230527068307,1.2189630613788685,0,0.0,-2.8210230527068307,1.2189630613788685,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127
official_test,95,target_mean_greedy,0.0,0,0.0,-2.892790030352132,1.2907300390241698,0,0.0,-2.892790030352132,1.2907300390241698,0,0.0,-2.8601209135987635,1.2580609222708012,0,0.0,-2.795880017344075,1.1938200260161127
official_test,95,composition_novelty,86.0,0,0.0,-2.795880017344075,1.1938200260161127,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,4,0.6666666666666666,-1.6020599913279625,2.220446049250313e-16
official_test,95,thermoelectric_prior_static,128.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,95,target_source_rank_fusion,65.0,0,0.0,-4.552841968657781,2.950781977329818,0,0.0,-4.1249387366083,2.5228787452803374,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698
official_test,95,target_source_novelty_rank_fusion,55.0,0,0.0,-4.1249387366083,2.5228787452803374,0,0.0,-3.044754499211876,1.4426945078839137,1,0.16666666666666666,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698
official_test,95,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,95,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,95,shuffled_thermoelectric_static_control,37.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,96,uniform_random,0.0,0,0.0,-2.8210230527068307,1.2189630613788685,0,0.0,-2.8210230527068307,1.2189630613788685,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127
official_test,96,target_ucb_beta1,0.0,0,0.0,-3.1512249256599825,1.5491649343320202,0,0.0,-3.1512249256599825,1.5491649343320202,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127
official_test,96,target_mean_greedy,0.0,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127,0,0.0,-2.795880017344075,1.1938200260161127
official_test,96,composition_novelty,64.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,3,0.5,-2.280175785218263,0.6781157938903009
official_test,96,thermoelectric_prior_static,128.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,96,target_source_rank_fusion,45.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.795880017344075,1.1938200260161127,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698
official_test,96,target_source_novelty_rank_fusion,73.0,0,0.0,-4.1249387366083,2.5228787452803374,1,0.16666666666666666,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698
official_test,96,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,96,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,96,shuffled_thermoelectric_static_control,37.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,97,uniform_random,17.0,0,0.0,-4.275724130399211,2.6736641390712483,0,0.0,-3.1512249256599825,1.5491649343320202,0,0.0,-3.1512249256599825,1.5491649343320202,2,0.3333333333333333,-1.6020599913279625,2.220446049250313e-16
official_test,97,target_ucb_beta1,70.0,1,0.16666666666666666,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698
official_test,97,target_mean_greedy,78.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698
official_test,97,composition_novelty,58.0,0,0.0,-3.0757207139381184,1.4736607226101561,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,3,0.5,-1.6020599913279625,2.220446049250313e-16
official_test,97,thermoelectric_prior_static,128.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,4,0.6666666666666666,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,97,target_source_rank_fusion,129.0,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,2,0.3333333333333333,-2.065501548756432,0.4634415574284698,6,1.0,-1.6020599913279625,2.220446049250313e-16
official_test,97,target_source_novelty_rank_fusion,127.0,0,0.0,-3.7569619513137056,2.154901959985743,3,0.5,-2.065501548756432,0.4634415574284698,3,0.5,-2.065501548756432,0.4634415574284698,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,97,alloy_prior_static_control,18.0,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,0,0.0,-2.744727494896694,1.1426675035687317,1,0.16666666666666666,-2.7166987712964503,1.114638779968488
official_test,97,catalysis_prior_static_control,97.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,5,0.8333333333333334,-1.6020599913279625,2.220446049250313e-16
official_test,97,shuffled_thermoelectric_static_control,37.0,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.987445420464013,1.3853854291360508,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.657577319177794,1.0555173278498315
official_test,98,uniform_random,73.0,0,0.0,-3.255707016877324,1.6536470255493618,0,0.0,-2.795880017344075,1.1938200260161127,2,0.3333333333333333,-2.657577319177794,1.0555173278498315,4,0.6666666666666666,-1.6020599913279625,2.220446049250313e-16
official_test,98,target_ucb_beta1,70.0,0,0.0,-3.5686362358410126,1.9665762445130504,1,0.16666666666666666,-2.690369832574101,1.0883098412461385,2,0.3333333333333333,-2.690369832574101,1.0883098412461385,4,0.6666666666666666,-2.280175785218263,0.6781157938903009
official_test,98,target_mean_greedy,26.0,0,0.0,-3.211831628858832,1.60977163753087,0,0.0,-3.113509274827518,1.5114492834995559,0,0.0,-2.8601209135987635,1.2580609222708012,2,0.3333333333333333,-2.690369832574101,1.0883098412461385
official_test,98,composition_novelty,99.0,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,1,0.16666666666666666,-2.7166987712964503,1.114638779968488,3,0.5,-1.6020599913279625,2.220446049250313e-16,4,0.6666666666666666,-1.6020599913279625,2.220446049250313e-16
