material,Ea_eV,lnA,r2,npts
Mg3.07Sb1.5Bi0.46Se0.04,0.019217113710346515,9.621594014950938,0.9536138564880627,5
Mg3.07Sb1.5Bi0.47Se0.03,0.020577021090633137,9.708717692197075,0.9624071707241374,5
Mn2Cu3In3Te8,0.4167258783615467,13.547411172255275,0.9938293636122406,6
Rb7.88Au2.47Ge43.53,0.008784254968397043,6.491150466669132,0.9563203965945322,6
SnSe0.8S0.2,0.0841086063485532,9.440714091634538,0.9481493869642821,6
SnSe0.9S0.1,0.0892592869225956,9.915093313628223,0.9465593738286869,6
TaFeSb,0.12506147735442416,10.075048574376106,0.910542683086831,4
Ti0.99Mn0.01NiSn0.99Sb0.01,0.010362180027691566,11.774787917176111,0.9368293945933973,7
TiZr0.005NiSn,0.03664165418353646,11.868028423426603,0.9809423356180075,5
TiZr0.015NiSn,0.041606776556202305,11.92185028899166,0.988926676232065,5
TiZr0.025NiSn,0.050224805079238294,12.011130033821539,0.9987324831695948,5
Tl8.95Bi1.05Te6.0,0.13753518939899328,10.026701640395668,0.98454318097121,4
ZrNiSn,0.05049950443858416,12.036615093017451,0.9922679065931139,7
